4'比加莱长传球直接吊向前场禁区内！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
40'后点！加西亚！头槌破门！！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
40'GOOOOOOOOOAL！！！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
43'前场左路阿森西奥控球！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
43'阿森西奥分球给身旁的塞巴略斯！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
43'塞巴略斯再给到前场右路的卡瓦哈尔！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
43'卡瓦哈尔右边路弧线球传中！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
43'禁区后点！塞巴略斯出脚垫射！！！！！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
47'C罗拿球就被埃利放倒！埃利这是踩了脚后跟再拉倒C罗！非常恶劣！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'埃利因此被黄牌警告！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'阿森西奥开球出来！给到前场右路的卡瓦哈尔！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'卡瓦哈尔回传一下中场！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'这时候主裁判吹响了上半场比赛结束的哨音！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'半场战罢！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
49'塞巴略斯梅开二度！加西亚头槌破门！阿拉维斯主场1-2落后皇马！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
49'中场休息我们来回顾一下上半场的进球时刻！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
50'第9分钟，阿森西奥倒三角回敲给禁区内左侧的塞巴略斯！塞巴略斯右脚低平球抽射破门！皇马1-0                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'皮球先被瓦拉内解围出了底线！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'阿拉维斯的右侧角球！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'开球到禁区后点！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'纳瓦斯把球摘下没收！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'纳瓦斯发球给后场的拉莫斯！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
47'拉莫斯直传球给前场左侧伊斯科！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'伊斯科从包夹中把球给身前！ 布尔吉把球断下！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'布尔吉被上抢的伊斯科放倒了！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'阿拉维斯后场的定位球！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
48'开球给到前场左路！比加莱把球碰出了边线啊！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
49'皇马右路的边线球！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
49'发球给到前场中路的阿森西奥！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
49'阿森西奥塞球给到禁区内！被帕切科没收了！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
50'继续比赛！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
50'阿拉维斯的左侧角球！开到禁区内被纳瓦斯击打出去！                   47'下半场开场仅2分钟，伊斯科右路传中远点，C罗凌空扫射反弹球击中左侧立柱外侧弹出
63'禁区内埃利大脚把球解围！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
63'外围阿森西奥把球拿到！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
63'阿森西奥一脚斜线球给禁区内右侧的C罗！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
63'C罗左脚扣一下！过人！左脚再打！！！！！！！！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
63'Boooooooooooom！！！！！！！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
63'击中门柱弹出！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
64'加西亚外围得球反击！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
64'加西亚带球到前场被纳乔抢断！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
64'纳乔长传给到前场左路的阿森西奥！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
64'阿森西奥低平球横敲禁区！埃利把球顶出底线！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
64'皇马左侧角球！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
65'皇马左侧角球开到后点！wow！！！！拉莫斯！！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
66'中锋拉莫斯！头球破门！！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
66'但是！哔！拉莫斯越位进球！无效！                   63'第63分钟，伊斯科传球，C罗禁区右侧左脚弧线球射远角又憾中立柱
70'前场左路！穆尼尔被卡塞米罗撞倒！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
70'卡塞米罗的犯规！阿拉维斯中圈左侧的定位球！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
70'开球直接吊向禁区右侧！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
70'托雷斯！T9附体？！托雷斯插上垫射打门！！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
70'woooooooooooooooow！！！！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
71'皮球砸中了横梁！纳瓦斯惊出一身冷汗！！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
71'皇马球员赶紧补上大脚解围！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
71'阿森西奥中场的球权！给右侧插上的卡瓦哈尔！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
71'卡瓦哈尔传中找前点巴斯克斯！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
72'巴斯克斯头上漏过去了！皮球溜出了底线！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
72'阿拉维斯的球门球！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
72'帕切科开到前场右路！巴斯克斯把球断下来！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
73'皇马换人！略伦特换下功臣塞巴略斯！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
73'现在是皇马的右侧角球机会！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
73'阿森西奥吊向禁区内后点！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
73'被杜阿尔特头球解围！                   70'第70分钟，阿方索禁区边缘劲射偏转后击中右侧立柱
76'阿拉维斯中路的进攻！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
76'阿方索带球一路狂奔！！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
77'阿拉维斯这是抓住了皇马后防的失误！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
77'阿方索！！得天独厚的单刀机会！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
77'禁区前沿低射左下角！！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
78'duang！！！又是击柱！！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
78'天佑皇家马德里！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
79'比赛即将进入第80分钟！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
79'瓦拉内后场回传给门将纳瓦斯！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
79'纳瓦斯低平球开给后场左路拉莫斯！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
79'拉莫斯直传给到前场左路阿森西奥！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
79'阿森西奥分球给到左侧的纳乔！                   76'第76分钟，阿方索单刀捅射再次击中左侧立柱
