1'上半场比赛开始                   1'米利沃耶维奇第1分钟远射偏出
16'回传给孔帕尼                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
16'交给拉波尔特                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'斜长传找到了斯特林，回给沃克                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'斜长传找骊了萨内                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'直传被万比萨卡断下                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'萨内逼上来，万比萨卡将球带出了边线                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'门迪过来掷界外球                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'交给了拉波尔特                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
17'回传给门将埃德森                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'萨内左侧拿球交给门迪，交给中路的京多安                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'交给右侧的德布劳内                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'不断的倒脚                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'门迪交给京多安                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'不断地倒脚                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'门迪的过人被万比萨卡拦截出边线                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'领先后曼城依然控制大局                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'沃克回传给孔帕尼                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'交给中路的拉波尔特                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
18'阿圭罗回一下                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
63'有点不满                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
63'一轮混战，门迪带球出来                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
63'德布劳内接应转移给沃克                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
63'推进上来，传中路的阿圭罗                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
63'直传，席尔瓦接应回传                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
64'萨内左侧斜传门前，斯特林左脚推射左下角球进！                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
64'这一迦串配合相当漂亮                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
64'斯特林梅开二度！                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
64'曼城客场2：0领先                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'水晶宫左侧的角球                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'汤森德发出来，给得有点高                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'扎哈左侧倒三角传给范安霍尔特                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'沃克大脚解围                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'库亚特接应回传给了丹恩                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
66'长传上来，库亚特接应分右侧                   63'曼城第63分钟扩大比分，阿圭罗直传，席尔瓦禁区左侧下底回传，萨内斜传门前，斯特林小禁区前垫射左下角入网，2-0
81'压着大禁区线上的任意球机会                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
81'差一步就是点球                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
81'米利沃耶维奇站在球前                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
81'米利沃耶维奇大力抽射，打穿了人墙打进球门左下角！                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'球在门前有一个弹地，埃德森鞭长莫及了                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'水晶宫看到了希望                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'门迪交给了席尔瓦                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'回给门迪                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'回给席尔瓦，交给京多安                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'横传找到了斯特林                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'往回带                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'回传给沃克                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'回传给孔帕尼                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'不断地回传                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'交给了埃德森                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
82'长传上来被顶一下                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
83'德布劳内带球上前，被库亚特交球铲断                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
83'迈尔控球，分给范安霍尔特，斜吊禁区                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
83'扎哈胸部停下来但自己坐在草坪上                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
83'拉波尔特马上交球捅走                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
83'德布劳内中路带球，米利沃耶维奇倒地将球铲走                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'京多安控球交给了左仙的门迪                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'交给中路的京多安                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'接应的是席尔瓦回传给拉波尔特                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'席尔瓦接应分左侧的门迪                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'京多安再拿球，交给德布劳内，再分给斯特林                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
84'抽射门前，无人接应                   81'水晶宫第81分钟扳回一城，米利沃耶维奇禁区弧内任意球直接射门，皮球打穿人墙弹地后入左下角，1-2
