4'马洛卡右路传宗，赫梅德~在后点把球控制下来                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
8'硝烟已消散:上场对塞尔塔，我们第一二三四队长都没首发。梅西队长呢---现在的第四队长就是伊涅斯塔...梅西是未来的第四队长                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
8'今天在后卫线上巴萨两名小将得到了机会                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
8'巴尔特拉跟蒙托亚~难得在诺坎普有机会表现自己                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
9'小法突破之后被绊倒，巴萨的前场定位球                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
9'比拉诺瓦相较瓜迪奥拉其实用人方面更加保守                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
9'阿尔维斯~定位球直接轰门，打得太正！                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
9'蒂亚戈中场带球被断~                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
17'小法~禁区外尝试了一脚远射！                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
17'也是打得比较正，被门将抱住了                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
17'这个赛季小法的状态也很一般                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
17'更桑切斯一样都迷失了自己                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
18'反倒是一些小将打得很活，特别是特略                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
18'伊涅斯塔带球被多斯桑托斯干扰了一下，球带丢了                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
19'恩苏埃把球回敲，马洛卡需要缓一缓                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
19'边后卫助攻上来~多斯桑托斯！再横传门前                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
19'可惜没有队友包抄，赫梅德眼睁睁看着球划过禁区                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
19'赫梅德是以色列的国脚                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
20'在世界杯的欧洲区预选赛中他占据了射手榜的头名，打入了6球                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
20'小法~~~                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
20'Goooooooooal~~~~                   17'第17分钟，伊涅斯塔传球，法布雷加斯25码处劲射被埃奥特扑挡后没收
22'特略往底线抹，横传球被对方后卫解围                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
22'桑切斯~~~                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
22'Gooooooooooooooooooal~~~~                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
22'桑切斯终于进球了~~~天可怜见                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
23'又是小法~禁区左侧的抽射被门将扑出，球弹到了桑切斯面前~面对一个大空门，怎能浪费机会                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
23'虽然少了梅西，但是打联赛垫底的马洛卡应该是没悬念的                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
24'恩苏埃~想搓射球门右下角，平托的站位不错把球抱住                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
24'河中孔明灯:宋好像好久没打首发了，今天梅西替补了么？还是没进大名单---没有进入名单                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
25'小法跟桑切斯这都是急需要用进球和助攻找回自信的                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
25'马洛卡就是及时雨啊                   22'第22分钟，伊涅斯塔传球，法布雷加斯禁区左侧15码处劲射令埃奥特扑救脱手，桑切斯小禁区右侧边缘补射上角入网
26'但愿这两人能够从此走出阴霾                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
26'马洛卡逼得了一个角球                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
26'多斯桑托斯传中~巴尔特拉在禁区内大脚解围                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
27'马洛卡的球员示意巴萨有手球                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
27'但是裁判并没有理会                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
27'平托手抛球发动反击                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
27'伊涅斯塔~~~带球突然的推射！门将飞身把球扑出                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
28'特略~禁区外右脚一扣，左脚远射！球打高了                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
29'上半场打了快半个小时，马洛卡几乎没有还手之力                   26'第26分钟，胡顿角球混战中的凌空扫射打在蒂亚戈手上，但裁判未予判罚
32'宋又一次断球~交给了在边路的桑切斯                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
32'特略低平球传门前~~~                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
32'桑切斯？如果这脚球是他打的，那就太说不过去了                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
32'究竟是解围呢？还是射门！球没有往球门方向飞去                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
32'几乎是在小禁区里面的推射了                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
33'需要慢动作来看下                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
33'刚才桑切斯是被后卫在身后干扰了，球砸在了他的脚上...                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
34'算是帮助马洛卡解围了吧                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
34'多斯桑托斯~禁区线上突然起脚！低平球擦着立柱飞出                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
35'额，这球是赫梅德打的                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
35'蒂亚戈~停球被断了                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
35'阿尔法罗~几乎是在无人防守下的头球攻门！！！                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
35'球居然顶偏了                   32'第32分钟，特略左路传中，桑切斯小禁区边缘在凯文防守下摔倒，裁判未予理会
46'巴萨获得了一个位置不错的定位球                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
46'上半场要补1分钟                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
46'阿尔维斯~这球打得稍稍偏出                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'阿尔维斯瞄着球门左上角打的，只差一点                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
46'欢迎回来，下半场开始~                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'宋的精妙挑传，可惜桑切斯~没能第一时间停好球                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'小法~~~                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'Gooooooooooooooal~~~                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'帽子戏法！！！                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
47'这是小法回到巴萨的第一个帽子戏法！                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
48'伊涅斯塔前场反抢，把球送入禁区，小法拍马赶到~扣过最后一名后卫，面对门将冷静推射！                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
48'以前我们更多的看到的是小法的助攻帽子戏法                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
48'进球帽子戏法...至少我是第一次看见                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
48'不管是在阿森纳还是在巴萨                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
48'多斯桑托斯~搓脚搓射被后卫挡了一下                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
49'角球~传中被解围，球还是马洛卡在控制                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
49'连续的传中都被巴萨后卫抢到                   46'1分钟后，胡顿右路传中，阿尔法罗远点8码处头球攻门偏出
38'这一次桑切斯拉到右路，横敲~插上的小法迎球推射！将球送入了死角！                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
38'典型的巴萨风格的进球                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
38'桑切斯一个进球两个助攻...                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
39'桑切斯~~~                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
39'Gooooooooooooooal~~~                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
39'小法进球...桑切斯进球！小法进球....桑切斯进球~                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
39'这两人约好的吗                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
39'桑切斯接到小法的挑传~~~停球虽然有些大了，但是跟上之后左脚捅射！！！球应声入网                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
40'小法跟桑切斯都是两助攻两进球了                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
40'当然小法又一个是间接助攻                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
40'蒂亚戈在对方禁区前抢球犯规                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
41'马洛卡难道一场大屠杀                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
41'难逃...                   38'第38分钟，法布雷加斯长传，桑切斯停球后12码处单刀捅射入网，4-0
48'伊涅斯塔前场反抢，把球送入禁区，小法拍马赶到~扣过最后一名后卫，面对门将冷静推射！                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
48'以前我们更多的看到的是小法的助攻帽子戏法                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
48'进球帽子戏法...至少我是第一次看见                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
48'不管是在阿森纳还是在巴萨                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
48'多斯桑托斯~搓脚搓射被后卫挡了一下                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
49'角球~传中被解围，球还是马洛卡在控制                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
49'连续的传中都被巴萨后卫抢到                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
50'锋线上面就只有特略没有开胡了                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
50'阿尔维斯~看到了特略！传中球后卫挡出了底线                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
50'巴萨这么早就要换人？                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
50'小多斯桑托斯~~~                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
51'兄弟俩这下都在场上了                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
51'不过一个在马洛卡，一个在巴萨                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
51'霍纳桑多斯桑托斯换下小白                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
51'吉奥瓦尼多斯桑托斯是哥哥，霍纳桑是弟弟                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
51'为了下周中的欧冠，比拉诺瓦可以早一点换下主力了                   48'第48分钟，前巴萨边锋吉奥瓦尼-多斯-桑托斯切入禁区内的射门被巴特拉挡出底线
54'蒂亚戈今天状态很一般啊，又是他的停球失误                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
54'传说曼联已经看中了他                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
54'但是巴萨并不想让中卫中场天才球员离开                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
54'赫梅德~~~                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
54'球是进去了，但是越位                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
54'慢动作很难说究竟有没有越位                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
55'蒂亚戈回传球失误~还好小多斯桑托斯倒地铲球阻挡了对方的反击                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
55'霍纳桑几乎每个位置都打过                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
56'曾经有段时间他还被瓜迪奥拉安排到边后卫                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
56'其实中场才是小多斯桑托斯的最佳位置                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
56'场边掌声响起~~                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
56'阿比起来热身了~                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
57'在因病缺席了一年多比赛之后阿比终于有机会重新在诺坎普亮相                   54'第54分钟，吉奥瓦尼开出角球，替补出场的阿里斯门迪前点头球攻门滑门而过，阿尔法罗远点得到皮球却越位在先
58'特略~内切打门！球奔着远点而去，可惜擦柱而出                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
59'5比0领先之后巴萨也该收着打了                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
59'这个时候可千万别有人受伤                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
60'蒙托亚后场有些玩火，解围不及时                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
60'被对方球员抢断之后传中~平托将球接住了                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
60'阿尔维斯今天打得很积极，助攻不断~                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
60'只是前面没有了梅西，球不知道该往哪儿传了                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
61'多斯桑托斯~~变向过了皮克                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
61'被绊倒了~                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
61'裁判吹哨示意多斯桑托斯倒地的时候手球                   58'第58分钟，蒂亚戈传球，特略禁区左侧弧线球射门稍稍偏出远角
64'特略还想故技重施，对方后卫提前卡住了角度~射门被挡出                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
64'阿尔维斯倒在对方禁区前                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
64'裁判吹了阿尔法罗犯规，还掏出黄牌                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'这个定位球谁来打呢？                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'以前有梅西、哈维，今天有阿尔维斯、小多斯桑托斯                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'皮克~~~                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'皮克定位球射门~从来没见过啊                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'球打高了                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
65'皮克这球罚得速度跟力量都不错，压得也很低，但是打偏了                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
66'小法被德乌罗费乌换下                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
66'又是一个天才球员                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
67'特略大范围长传转移~德乌罗费乌停球之后传中被后卫挡出了边线                   64'第64分钟，阿尔法罗对阿尔维斯犯规被罚黄牌，皮克25码处任意球直接射门偏出
70'全场起立为阿比阿尔鼓掌                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
70'换下皮克，阿比达尔终于回来了                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
70'离开球场410多天了                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
72'游客1130: 会让阿比达尔进一个么---阿比在巴萨这么多年只进过一个联赛进球...                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
73'阿比达尔每一次触球都会引来场边的欢呼                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
73'不过刚才他的解围踢给了对方球员...                   70'第70分钟，阿比达尔替换皮克出场，全场掌声雷动
72'游客1130: 会让阿比达尔进一个么---阿比在巴萨这么多年只进过一个联赛进球...                   71'第71分钟，阿尔维斯右路传中，霍纳桑头球攻门偏出
73'阿比达尔每一次触球都会引来场边的欢呼                   71'第71分钟，阿尔维斯右路传中，霍纳桑头球攻门偏出
73'不过刚才他的解围踢给了对方球员...                   71'第71分钟，阿尔维斯右路传中，霍纳桑头球攻门偏出
74'特略还在为进球努力在着                   71'第71分钟，阿尔维斯右路传中，霍纳桑头球攻门偏出
74'                    71'第71分钟，阿尔维斯右路传中，霍纳桑头球攻门偏出
76'皮克长传~德乌罗费乌...制造了一个角球                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
76'蒂亚戈角球传中被后卫顶到~                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
77'禁区外阿尔维斯摆腿远射~~凌空打门打偏了                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
77'懒熊的胖胖:柠檬的电脑有发生了什么---？？？？                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
78'马洛卡打反击~                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
78'禁区外突施冷箭~阿尔法罗！                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
79'这球打得势大力沉，球奔着球门右侧而去                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
79'平托是毫无反应                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
79'不过球还是被阿比达尔挡了一下，角球                   76'第76分钟，巴萨角球被解围，阿尔维斯禁区前射门偏出
