1'上半场比赛开始                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
32'回做到中路，德布劳内护球有点困难，短传出了边线                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
32'席尔瓦前场护球被卡瓦尼绊倒                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
33'曼加拉斜长传上来，马尔基尼奥斯头球顶出边线                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
54'伊布拉希莫维奇拉边右路传中，给大了                   54'第54分钟，伊布直传，越位位置的马克斯维尔传中，小卢卡斯打入空门，进球被判无效
54'巴黎有机会，卡瓦尼传中，中路卢卡斯将球推射进空门，但越位在先                   54'第54分钟，伊布直传，越位位置的马克斯维尔传中，小卢卡斯打入空门，进球被判无效
65'卢卡斯右路来了，斜传，奥塔门迪鱼跃头球顶出底线                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
65'圣日耳曼前场右路的角球机会                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
66'卢卡斯传到门前，蒂亚戈席尔瓦头球攻门弹地后被乔哈特伸手将球托出横梁                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
66'圣日耳曼继续角球                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
66'卢卡斯发同一个点，这回双方都没有人碰到球                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
66'后点迪马利亚再送禁区，直接传出底线                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
67'帕斯托雷放铲扫倒了费尔南迪尼奥                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
67'曼城左路的任意球机会                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
67'帕斯托雷吃到黄牌                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
68'德布劳内背身接球被范德维尔背后蹬倒在地                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
68'范德维尔也吃到黄牌                   65'第65分钟，小卢卡斯开出角球，蒂亚戈-席尔瓦强力冲顶角度太正被乔-哈特扑出
79'曼城又来了，克里希左路传中，阿圭罗抢点捅射打偏了                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
79'帕斯托雷右路起速，被德布劳内背后将球捅掉                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
79'曼城球员打得越发轻盈                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
80'卢卡斯中场断球，斜塞                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
80'卡瓦尼第一下停得不好，勉强打门被出击的乔哈特封出                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
82'巴黎后腰位置防守力弱的缺点暴露无遗                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
82'席尔瓦接应界外球被拉比奥撞倒                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
82'曼城获得一个左肋部的任意球机会                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
82'席尔瓦传中落点太靠后了                   79'巴黎第79分钟险些扳平，小卢卡斯反击中直传，卡瓦尼禁区左侧的射门被乔-哈特及时出击扑出
86'伊布拉希莫维奇拉边接应，打一个脚后跟                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
86'卡瓦尼接应过渡到左路                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
86'马克斯维尔传中，伊布将球打进，不过越位在先                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
86'慢镜来看，越位非常明显                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
86'费尔南多挑传，也是给大了                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
87'范德维尔交给帕斯托雷                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
87'挑传，内收的萨尼亚大脚将球踢出边线                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
87'曼城再换人，18号德尔菲换下了21号席尔瓦                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
87'马尔基尼奥斯不断催促席尔瓦快点跑到场边                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
88'曼城这防守的意图太明显                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
89'回复：海阔天空84828  第一回合几比几？（2：2）                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
89'帕斯托雷后场送长传，乔哈特到禁区边缘将球没收                   86'第86分钟，马克斯维尔左路传中，伊布近距离捅射空门又因越位在先被判无效
