1'随着裁判一声哨响，上半场比赛开始                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
30'米尔纳开到点球点附近                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
30'范迪克争到皮球，顶向球门                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
30'太正了，被乔哈特抱住皮球                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
31'大脚开到前场，马蒂普得求传给阿诺德                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
32'再给凯塔，横传莫雷诺                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
32'大脚长传，塔尔科夫斯基护住皮球出了底线                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
41'大脚开到前场，马蒂普争抢犯规                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
41'前场阿利森定位球                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
41'伯恩利定位球                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
42'开到禁区，球进了                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
42'这球，，，，，，                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
42'越位了，巴恩斯头球攻门被吹越位                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
43'不算，回放显示确实越位                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
43'回到比赛吧                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
43'凯塔控球                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
44'传球直接出了边线，和莫雷诺没想到一起去                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
44'边线球掷出，沙奇里头球点给米尔纳                   41'第41分钟，布雷迪左路任意球传中，巴恩斯禁区边缘内第一时间半凌空扫射入网，但这粒进球因越位在先被判无效
54'韦斯特伍德得球，直塞巴恩斯                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
54'带球反击，一脚传中，出了底线，角球                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
54'古德蒙松开到后点                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
54'顶向中路，门前一片乱战                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
55'科克突然捅上一脚，球进了                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
56'第一下阿利森扑出了伍德的射门，但接下来伯恩利连续门前围抢，最后科克捅出一脚入网得分，。为伯恩利主场1比0领先                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
57'镜头给到场下的萨拉赫，已经在热身了                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
57'回到比赛，阿诺德边线控球                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
57'给到亨德森，再传沙奇里                   54'伯恩利第54分钟打破僵局，格维兹门松开出角球，塔尔科夫斯基远点头球攻门被阿利松勉强扑出，巴恩斯近距离捅射又被阿利松挡出，科克最后补射入网
69'阿诺德开到禁区后点                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
69'范迪克顶到中路，菲尔米诺插上                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
69'面对空门，轻推入网                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
70'这球防守队员还没反应过来呢                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
71'定位球到后点，范迪克顶到中路，菲尔米诺插上轻巧推射帮助利物浦反超比分                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
71'伯恩利换人                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
71'列侬换下布拉迪                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
71'沃克斯换下克里斯伍德                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
72'回到比赛                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
72'沃克斯上来就越位了                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
72'阿利森大脚开到中场                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
72'米尔纳头球点给阿诺德                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
72'列侬上来踢出边线                   69'利物浦第69分钟反超，阿诺德任意球直传禁区，范戴克小禁区左侧铲传门前，菲尔米诺近距离轻松破门，2-1
82'本杰明米得球开往前场中路                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
83'凯塔得到，传给沙奇里                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
83'分给阿诺德                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
83'直传沙奇里，横敲中路                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
83'凯塔跟进射门，哈特扑了一下                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
84'萨拉赫后点得到皮球，再传中                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
84'凯塔再射被封堵，外围利物浦队员也来一脚                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
84'被防守队员挡出底线，角球                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
85'伯恩利维德拉换上                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
85'角球开出，到了后点，被解围出来                   82'第82分钟，萨拉赫传球，凯塔禁区前劲射被扑出，萨拉赫小禁区右侧小角度再射仍被救出，萨拉赫传中，凯塔小禁区前射门被封堵，亨德森外围再射，凯塔小禁区边缘脚后跟射门被巴德斯利在门线前挡出
91'逼着维德拉给到队友，塔尔科夫斯基接球                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
91'再传中碰到范迪克出了底线，角球                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
91'下半场比赛补时4分钟                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
91'角球开出                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
91'门前又是混战                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
92'最后阿利森把球得到                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
93'手抛球给到斯图里奇，挑传给萨拉赫                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
93'带球快速推进，禁区右侧横敲中路                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
93'跟进的沙奇里左脚一推。入网得分                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
94'利物浦再入一球，3比1领先                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
94'回到比赛                   91'第91分钟，萨拉赫反击中外脚背传球，沙奇里10码处推射入网，3-1
