1'上半场比赛开始！！！                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
85'莫雷诺任意球攻门，越过人墙直奔球门右下角，纳瓦斯倒地将球封堵                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
85'塞拉右路拿球，再传禁区，被马塞洛挡出边线                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
85'佩雷斯右路拿球内切，再被放倒在地                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
86'西班牙人获得前场右路的任意球机会                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
86'莫雷诺任意球搓传到后点，没人接应，直接出了底线                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
86'6-0！！！                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
86'杜阿尔泰的乌龙大礼！！！                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
87'赫塞左路拿球，强突到禁区，面对冈萨雷斯，右脚一扣，左脚横传球，杜阿尔泰伸脚一垫，将球打进自家大门！！！                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
88'这球杜阿尔泰不碰，后点的C罗也已经到位                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
88'卡塞米罗中场拿球，亚伯拉罕上抢犯规                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
88'皇马前场再攻，赫塞左路拿球内切，传中                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
89'杜阿尔泰解围球，又差点乌龙啊，球偏出立柱一点点                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
89'皇马获得左侧角球机会，并未形成威胁！！                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
89'比赛常规时间已经进入最后一分钟！！！                   86'第86分钟，赫塞突入禁区左侧传中，奥斯卡-杜阿尔特伸腿挡入自家大门，6-0
