1'上半场比赛开始了                   1'双方第1分钟大打对攻
59'这球孙兴民探着脚打，如果支撑脚放前一点将球压住进的机会就大了                   57'红军第57分钟险些扩大比分，库蒂尼奥前场左边路拦截后传中，无人防守的斯图里奇小禁区边缘头球攻门稍稍高出
60'罗斯左路想断球反击，亨德森将球拦截出边线                   57'红军第57分钟险些扩大比分，库蒂尼奥前场左边路拦截后传中，无人防守的斯图里奇小禁区边缘头球攻门稍稍高出
63'凯恩扳平了比分！！！                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
63'登贝莱长传左路，埃里克森底线前将球一停一撩到门前，凯恩接应停球转射打球门左下角球进！                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
64'此时此刻值得来杯嘉士伯！                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
64'凯恩这球打得相当精准                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
64'阿里带球推进被埃姆雷坎绊倒                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
65'埃里克森搓到禁区，萨科头球顶出禁区                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
65'罗斯左路接应长传，凯恩横拔                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
66'埃里克森大力低射，米尼奥莱快速倒地将球挡出底线                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
66'孙兴民发角球被埃姆雷坎顶出禁区                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
66'阿德维尔德也打一脚，打偏太多了                   63'热刺第63分钟扳平比分，埃里克森左路底线附近外脚背传回皮球，哈里-凯恩禁区左肋10码处倚住洛夫伦防守后转身射入远角，1-1
79'凯恩提上来接应，挑传，阿里胸部停球大了，米尼奥莱将球没收                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
79'利物浦马上反过来有机会                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
79'克莱恩直传，奥里吉打手角被洛里封住                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
79'洛里的脚似乎出现问题                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
80'替补门将沃尔姆开始热身                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
80'查德利禁区右侧接应长传传中直接传出底线                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
81'奥里吉过了迪尔，再传中被后卫挡出底线                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
81'刚才罗斯带球推进被拦截                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
82'然后倒地可能拉伤了大腿                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
82'利物浦换人，24号乔阿伦换下了20号拉拉纳                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
82'库蒂尼奥的角球被罗斯顶出底线                   79'第79分钟，克莱因传球，奥里吉禁区右侧的射门被救出
85'奥里吉禁区内接应乔阿伦传球，回做                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
85'库蒂尼奥一停一射，球擦着立柱出底线                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
85'亨德森也来一脚远射，洛里倒地将球扑住                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
86'凯恩前场得球横拔，迪尔远射打在后卫身上                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
88'热刺换人，8号梅森换下了20号阿里                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
88'亨德森传球被洛里没收                   85'利物浦第85分钟险些绝杀，奥里吉禁区左侧回传，库蒂尼奥16码处低射擦左侧立柱偏出
