6'射门!!!AC米兰球员博阿滕大禁区外左脚射门,被对方守门员横身扑出.给他传球的是康斯坦特.                   6'开场6分钟，博阿滕禁区前沿左脚抽射被安杜哈尔倒地没收
82'卡塔尼亚球员帕格里亚伦加拼抢犯规,对手获得控球权.                   80'第80分钟，诺切里诺右路反击突入禁区回敲，无人盯防的罗比尼奥在门前9米处推射打飞
82'埃马纽尔森为AC米兰在对方半场,赢得一个任意球.                   80'第80分钟，诺切里诺右路反击突入禁区回敲，无人盯防的罗比尼奥在门前9米处推射打飞
89'AC米兰球员诺切里诺大禁区中央左脚射门,被防守球员封堵.给他传球的是博阿滕.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
89'射门!!!AC米兰球员罗比尼奥大禁区中央左脚射门,被对方守门员横身扑出.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
89'AC米兰球员埃马纽尔森大禁区中央右脚射门,命中门柱左侧立柱.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'AC米兰球员诺切里诺大禁区外右脚射门,被防守球员封堵.给他传球的是博阿滕.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'卡斯特罗为卡塔尼亚赢得一个任意球.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'AC米兰球员博阿滕拼抢犯规,对手获得控球权.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'AC米兰球员博阿滕因为恶意犯规,被裁判直接红牌罚下.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+2'进球啦！！！AC米兰球员沙拉维大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是康斯坦特. 卡塔尼亚 1-3 AC米兰.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+3'AC米兰换人,安布罗西尼换下罗比尼奥                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+5'卡塔尼亚球员罗林拼抢犯规,对手获得控球权.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+5'诺切里诺为AC米兰在右路,赢得一个任意球.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+5'黄牌！卡塔尼亚球员罗林因为恶意犯规,被主裁判出示黄牌.                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
90'+6'下半场结束,卡塔尼亚 1-3 AC米兰                   89'第89分钟，博阿滕右路突破回敲，诺切里诺左脚推射被封堵，罗比尼奥接着捅射又被安杜哈尔封出，埃马纽尔森在门前7米处左脚推射击中左门柱
49'卡塔尼亚球员巴里恩托斯拼抢犯规,对手获得控球权.                   47'补时第2分钟，康斯坦特反击分球，沙拉维突入禁区左侧距门9米处弧线球入远角，3比1，这是他第3次意甲梅开二度，本赛季联赛进球增至12粒
49'诺切里诺为AC米兰在对方半场,赢得一个任意球.                   47'补时第2分钟，康斯坦特反击分球，沙拉维突入禁区左侧距门9米处弧线球入远角，3比1，这是他第3次意甲梅开二度，本赛季联赛进球增至12粒
49'卡塔尼亚球员巴里恩托斯因为恶意犯规,被裁判出示了第二张黄牌.                   47'补时第2分钟，康斯坦特反击分球，沙拉维突入禁区左侧距门9米处弧线球入远角，3比1，这是他第3次意甲梅开二度，本赛季联赛进球增至12粒
