11'富力后场抢断，长传给到扎哈维                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
22'一扣摆脱防守，再趟球进禁区                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
23'点球点附近的抽射，被程月磊封堵                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
23'保利尼奥得到第二落点，再打，被挡出底线                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
23'恒大的左侧角球机会，没能形成威胁！                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
24'富力进球了！！1-0！！！                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
24'雷纳迪尼奥！！                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
27'郑智前场中路拿球，分球右侧冯博轩                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
27'冯博轩转移球到左侧找郜林                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
27'球先出了边线！！                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
28'恒大前场的进攻，高拉特禁区外拿球                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
29'分球左侧给前插的李学鹏                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
29'横传球到门前                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
29'进了，1-1！！                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
29'塔利斯卡！！不过边裁举旗越位在先，无效啊                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
30'主裁判马宁和视频裁判组沟通后确认，改判，进球有效！！                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
30'塔利斯卡刚刚进球，被吹越位无效后很激动，被裁判口头警告                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
30'上半场30分钟，双方球员场边喝水！！                   27'第27分钟，广州恒大淘宝扳平场上比分，高拉特斜传边路前插助攻的李学鹏，李学鹏送出传中球，中路及时拍马赶到的塔利斯卡扫射扳平比分
31'回到比赛中！！                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
32'恒大前场再攻，保利尼奥的过顶球到禁区                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
32'塔利斯卡插上头球轰门，太正了，被门将拿到！！                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
33'恒大前场进攻，保利尼奥中路拿球                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
33'斜传右前场找到前插的张琳芃                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
33'张琳芃的传中到门前，郜林的头球轰门，顶高！！                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
34'富力后场抢断，反击了                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
34'陈志钊的直塞球找到前插的扎哈维                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
34'扎哈维带球强突，禁区弧内起脚打门                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
34'曾诚倒地将球轻松封堵！！                   31'第31分钟，郜林禁区内一次近距离的头球攻门稍稍 高出横梁
35'富力前场再攻，雷纳迪尼奥的直塞找扎哈维                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
35'冯潇霆回防卡位，护送球出底线                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
35'身后争抢的扎哈维掀翻了冯潇霆，犯规！！                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
36'冯博轩前场右路强突，传中到后点                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
36'李学鹏上来拿球，下底传中到门前                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
36'第一点被弋腾头球解围出来                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
36'郑智禁区弧顶胸部停球，凌空抽射                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
36'程月磊双拳将球打出！！                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
37'扎哈维中圈拿球强突，梅方上抢卡位阻挡犯规                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
37'梅方被主裁判出示了黄牌警告！！                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
38'这也是本场比赛的第一张黄牌！！                   35'第35分钟，程月磊双拳击出了恒大队长郑智的一次禁区外远射
44'恒大前场进攻，高拉特中路拿球                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
44'斜塞禁区右侧找到前插的冯博轩                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
45'冯博轩趟两步，起脚打门，放了高射炮！1                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
45'这段时间恒大的进攻很犀利，不过是只开花不结果啊                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
45'郑智前场中路拿球，分球冯博轩                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
45'再给右侧的张琳芃                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'张琳芃的传中到门前                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'郜林的头球，直上直下                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'程月磊出击将球一打，没能打远                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'球落下后，程月磊将球揽入怀中！                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'上半场比赛比赛补时2分钟！！                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'扎哈维前场中路拿球，强突后分球给到左侧跟进的雷纳迪尼奥                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'雷纳迪尼奥停球调整一下，起脚抽射，打偏！！                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'这球扎哈维很不满，甩手抗议，雷纳迪尼奥举手表示歉意                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'下半场比赛开始！！                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'富力开球，从右向左进攻！！                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'恒大前场的进攻，保利尼奥左路强突                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
46'传中到禁区中路，塔利斯卡的头球摆渡                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'高拉特头球接力，被防守球员抢先解围                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'富力的中场过顶球找前插的扎哈维                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'扎哈维在和冯潇霆争抢中，球被解围出底线                   44'第44分钟，广州恒大淘宝错失反超比分良机，高拉特秒传冯博轩，冯博轩突入禁区内近距离射门高出横梁
47'扎哈维前场中路拿球，强突后分球给到左侧跟进的雷纳迪尼奥                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
47'雷纳迪尼奥停球调整一下，起脚抽射，打偏！！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
47'这球扎哈维很不满，甩手抗议，雷纳迪尼奥举手表示歉意                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'塔利斯卡中场拿球，分球保利尼奥                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'主裁判马宁鸣哨                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
47'高拉特头球接力，被防守球员抢先解围                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
47'富力的中场过顶球找前插的扎哈维                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
47'扎哈维在和冯潇霆争抢中，球被解围出底线                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'富力获得了右侧角球机会！！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'角球开出到后点，郜林头球解围                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'没能顶到，身边的扎哈维也是受到干扰                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'球弹地后出来，陈志钊拿到                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
49'起脚打门，被郑智挡出！！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
49'恒大中场抢断，反击了！！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
49'保利尼奥，2-1！！！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
50'于汉超左路拿球，强突禁区，横传中路给到保利尼奥，保利尼奥停球横拨闪开乌索，面对陈志钊的补防，左脚抽射打进！                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
50'恒大中场抢断，郑智分球高拉特                   47'经过2分钟的伤停补时，裁判吹响了半场结束的哨音，上半场广州富力与广州恒大淘宝暂1-1战平
48'塔利斯卡中场拿球，分球保利尼奥                   48'第48分钟，广州恒大淘宝反超比分
48'主裁判马宁鸣哨                   48'第48分钟，广州恒大淘宝反超比分
48'富力获得了右侧角球机会！！                   48'第48分钟，广州恒大淘宝反超比分
48'角球开出到后点，郜林头球解围                   48'第48分钟，广州恒大淘宝反超比分
48'没能顶到，身边的扎哈维也是受到干扰                   48'第48分钟，广州恒大淘宝反超比分
48'球弹地后出来，陈志钊拿到                   48'第48分钟，广州恒大淘宝反超比分
49'起脚打门，被郑智挡出！！                   48'第48分钟，广州恒大淘宝反超比分
49'恒大中场抢断，反击了！！                   48'第48分钟，广州恒大淘宝反超比分
49'保利尼奥，2-1！！！                   48'第48分钟，广州恒大淘宝反超比分
50'于汉超左路拿球，强突禁区，横传中路给到保利尼奥，保利尼奥停球横拨闪开乌索，面对陈志钊的补防，左脚抽射打进！                   48'第48分钟，广州恒大淘宝反超比分
50'恒大中场抢断，郑智分球高拉特                   48'第48分钟，广州恒大淘宝反超比分
51'再给郑智，禁区弧顶的远射，打偏！                   48'第48分钟，广州恒大淘宝反超比分
52'乌索前场中路拿球，回防的高拉特上抢犯规！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
52'富力获得了前场中路的任意球机会！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
52'雷纳迪尼奥任意球搓传到门前                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
52'被恒大球员解围出底线！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
52'富力的右侧角球机会！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
53'开出到门前，曾诚单掌一打，将球打向后点                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
53'陈志钊外围拿球，内切打门，打偏！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
53'下半场开始时卢琳换下的是陈伟铭，于汉超换下的冯博轩                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
54'郜林前场中路拿球，分球右侧给塔利斯卡                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
54'塔利斯卡右路内切，遭遇夹击                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
54'再给郜林，郜林的传中，被挡了出来                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
54'塔利斯卡拿球，再传门前，被解围出底线！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
54'恒大的右侧角球机会！！                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
55'角球开出到禁区，郜林的头球后蹭                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
55'塔利斯卡的头球再顶，被程月磊封堵出来                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
55'卢琳的解围球，打在队友身上，弹到了冯潇霆脚下                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
55'在搓传到禁区右侧，郜林的头球，顶偏                   52'第52分钟，雷纳尔迪尼奥开出的角球直接转向球门，曾诚迅速后撤步将球拖出横梁
58'乌索中场拿球，直塞给到扎哈维                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
58'扎哈维再给左侧的李提香，李提香的直塞找到张晨龙                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
59'张晨龙强突下底，张琳芃的补防放铲，铲翻了张晨龙，犯规                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
59'张琳芃被主裁判出示了 黄牌警告！！                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
59'富力获得了大禁区左侧的任意球机会！！                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
59'雷纳迪尼奥任意球搓传到后点，扎哈维力压冯潇霆的头球，顶偏！！                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
60'恒大前场的进攻，张琳芃的右路强突抽射，被程月磊双拳打出底线                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
61'恒大获得角球机会，没能形成威胁！！                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
61'富力的反击，长传给到乌索                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
61'乌索拿球强突，郑智身后回防                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
61'李学鹏补防过来，将球破坏                   58'第58分钟，张琳芃高速回追飞身铲倒了张晨龙被出示黄牌
62'郑智身后同时掀翻了乌索，犯规！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
62'郑智被主裁判出示了黄牌警告！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
62'富力获得了前场中路，靠近左侧的任意球机会！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
62'卢琳任意球搓传到点球点附近！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
63'扎哈维的抢点，被吹犯规在先，推翻了冯潇霆犯规！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
63'李提香后场拿球，过顶长传找扎哈维                   62'第62分钟，郑智防守战术犯规被黄牌警告
64'梅方的上抢，将球解围                   62'第62分钟，郑智防守战术犯规被黄牌警告
64'恒大的反击，郜林前场右路拿球                   62'第62分钟，郑智防守战术犯规被黄牌警告
64'穿裆变向，一过二啊                   62'第62分钟，郑智防守战术犯规被黄牌警告
64'郜林强突下底，急停摆脱补防的弋腾                   62'第62分钟，郑智防守战术犯规被黄牌警告
65'再横传门前，被回防球员抢在塔利斯卡之前，解围出底线                   62'第62分钟，郑智防守战术犯规被黄牌警告
65'恒大的右侧角球机会，开出到禁区，被解围！！！                   62'第62分钟，郑智防守战术犯规被黄牌警告
65'恒大前场再攻，传中到门前                   62'第62分钟，郑智防守战术犯规被黄牌警告
68'这个进球让程月磊很郁闷，场边的富力主帅斯托伊科维奇同样很失落，示意将球揽入怀中啊                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
68'雷纳迪尼奥前场右路拿球强突                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
68'高拉特回防身后上抢，绊倒了雷纳迪尼奥                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
68'高拉特被主裁判出示了黄牌警告！！                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
68'富力获得了前场右路的任意球机会！！                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
69'雷纳迪尼奥任意球斜传到禁区，乌索的头球，顶偏！                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
71'扎哈维前场背身拿球，转身强突                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
71'分球右侧给到常飞亚，常飞亚内切再给雷纳迪尼奥                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
71'中路强突，分球左侧卢琳                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
71'卢琳的横传球，被防守球员挡出                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
71'卢琳拿球再突，闪开梅方的防守，起脚打门，打偏！                   68'第68分钟，高拉特从后方踢倒同胞雷纳尔迪尼奥染黄
77'恒大前场的进攻，再次赢得角球！1                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
77'角球开出，并未形成威胁！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
77'全场比赛76分钟，双方场边补水！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
79'雷纳迪尼奥前场中路强突，梅方的上抢犯规！！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
79'富力获得前场中路的任意球机会！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
79'大禁区弧的正上方！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
80'扎哈维主罚，任意球直接轰门，高射炮！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
80'恒大换人：2号廖力生上，换下了郑智！！                   77'第77分钟，雷纳尔迪尼奥为恒大赢得禁区前任意球机会
86'目前双方的黄牌数：富力1-4恒大！！！                   86'第86分钟，广州富力用马俊亮换下了张晨龙
86'卢琳后场拿球，横传乌索                   86'第86分钟，广州富力用马俊亮换下了张晨龙
86'回传弋腾，长传前场找雷纳迪尼奥                   86'第86分钟，广州富力用马俊亮换下了张晨龙
87'雷纳迪尼奥左路强突下底，横传球被挡出底线                   86'第86分钟，广州富力用马俊亮换下了张晨龙
87'富力换人：26号马俊亮上，换下了张晨龙！！                   86'第86分钟，广州富力用马俊亮换下了张晨龙
87'扎哈维前场拿球，横切到禁区弧顶                   86'第86分钟，广州富力用马俊亮换下了张晨龙
87'起脚打门，太正了，被曾诚倒地没收                   86'第86分钟，广州富力用马俊亮换下了张晨龙
88'塔利斯卡中场抢断，分球保利尼奥                   86'第86分钟，广州富力用马俊亮换下了张晨龙
88'再给前场中路的高拉特，反击了                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'分球右侧塔利斯卡，带球到大禁区角上                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'等待保利尼奥上来，斜传分球                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'保利尼奥的下底传中到后点                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'于汉超拿到                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'恒大再进一个，4-1！！                   86'第86分钟，广州富力用马俊亮换下了张晨龙
89'保利尼奥梅开二度！！                   86'第86分钟，广州富力用马俊亮换下了张晨龙
90'于汉超禁区左侧拿球，起脚抽射，被程月磊一打，没能打远，门前的保利尼奥跟进头球顶进！                   90'第90分钟，卢琳右路传中，禁区内冯潇霆防守时手球犯规，裁判果断判罚点球，曾诚虽然判断对了方向但扎哈维射门力量过大，广州富力扳回一球
91'扎哈维前场中路拿球，遭遇围抢                   90'第90分钟，卢琳右路传中，禁区内冯潇霆防守时手球犯规，裁判果断判罚点球，曾诚虽然判断对了方向但扎哈维射门力量过大，广州富力扳回一球
