2'姆希塔良回给身后的帕帕斯塔索普洛斯！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
56'分球给前场中路拉卡泽特！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
56'拉卡泽特外围挑传打门！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
56'这球打偏出了右侧底线！球门球！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'伯纳多-席尔瓦给前场中路京多安！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'京多安分球给左侧门迪！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'门迪挑传球给后点！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'穆斯塔菲头球解围出左侧底线！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'曼城的左侧角球！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
58'德布劳内场边准备要上场了！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
59'在角球开出前，利希施泰纳和拉波尔特两人禁区内有些小摩擦。                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
59'裁判暂停比赛，给两人口头警告。                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
63'阿森纳前场右侧开球吊向禁区内后点！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
63'皮球被凯尔-沃克大脚破坏！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
63'阿奎罗得球顺势反击！快速推进！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
63'阿奎罗的单刀机会！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
63'面对切赫！！右脚低射！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
64'切赫把球扑了出去！！！wow！！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
64'穆斯塔菲大脚把球解围！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
64'京多安中场把球得到！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
64'分球给前场左侧门迪！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
65'门迪禁区左侧倒脚给斯特林！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
65'斯特林回给禁区内的门迪！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
65'门迪倒三角给禁区中央！！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
65'伯纳多-席尔瓦跟进左脚打门！！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
65'GOOOOOOOAL！球进了！伯纳多-席尔瓦进球了！！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
66'曼城2-0领先阿森纳！                   63'第63分钟，古恩多齐的失误让阿圭罗获得单刀机会，但阿根廷人突入禁区右侧12码处射门被切赫神勇救出
