1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
19'马夏尔背身拿球，没机会转身，回传后场罗霍                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
42'费莱尼前场中路的抢断，分球左侧博格巴                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
42'直塞卢卡库，再回传博格巴                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
42'博格巴分球左侧给到马夏尔                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
42'马夏尔拿球内切，斜传到后点                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
43'费莱尼的甩头轰门，击中右侧立柱弹出底线！！                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
43'迪耶中场拿球，面对逼抢，回传巴兰塔                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
43'巴兰塔的过顶长传找前插的奥博林                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'斯莫林将球解围出来                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'祖菲拿球，分球尤努西                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'尤努西的斜传球，被断了！！                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'曼联的反击，马夏尔左路拿球                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'强突到禁区，面对追防球员和出击的瓦茨利克                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'小禁区左侧的打门，被瓦茨利克挡出底线                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
44'曼联获得了左侧角球机会！！                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
45'角球开出，第一点被解围出来！！                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
45'罗霍外围拿球，直接起脚远射，打飞！！                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
45'巴塞尔右路的直塞球找朗                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
45'上半场没有补时，裁判鸣哨                   42'曼联第42分钟又与进球擦肩，马夏尔左路斜传，费莱尼10码处头球攻门蹭中皮球，皮球稍稍偏转后击中右侧立柱外侧弹出
67'巴塞尔前场再攻，左路的传中球                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
67'门前混战，球到了后点                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
67'朗躲在布林德身后的头球顶近角                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
67'击中横梁弹出了底线！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
67'巴塞尔错失破门良机！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
67'这段时间巴塞尔的进攻，给了曼联不小的压力啊！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
69'伊布蹲在场边，关注着场上的局势！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
69'巴塞尔前场再攻，斯蒂芬右路拿球                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
69'内切摆脱了布林德，面对罗霍的补防                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
70'趟球再突，对脚后，斯蒂芬摔倒在地                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
70'球出了底线！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
70'巴塞尔球员想要点球，裁判没理会！！                   67'第67分钟，迈克尔-朗混战中小禁区右侧的头球攻门击中近角立柱
89'阿坎吉后场拿球，伊布上抢犯规！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
89'巴塞尔进球了，1-0！！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
89'米契尔-朗！！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
90'斯蒂芬前场中路拿球，分球左侧给到上来的佩雷塔，佩雷塔横传门前，奥博林中路抢点没碰到，后点的米契尔-朗插上，推射近角打进！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
90'这球奥博林门前的抢点干扰，很关键！！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
91'下半场比赛补时3分钟！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
91'连续施压的巴塞尔，终于在比赛即将结束前，取得了进球！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'马蒂奇前场中路拿球，分球右侧达米安                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'达米安的传中，被挡出了边线！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'罗霍中线位置的过顶球到禁区                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'伊布头球后蹭，卢卡库再抢                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'被巴兰塔破坏出了底线！！                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
92'曼联获得右侧角球机会，开出到前点                   89'巴塞尔第89分钟绝杀，彼得雷塔禁区左侧传中，皮球横穿曼联防线，迈克尔-朗远点小禁区右侧小角度射入空门
