1'范崎哨响，比赛开始了                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
28'给到禁区内，莫雷诺争顶，冲撞石笑天犯规                   25'第25分钟孙世林开出角球，图雷顶球太正
38'直传给前场莫雷诺，未等转身被杨善平推倒了                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
38'辽宁连续的防守犯规，这次又是莫雷诺被放倒                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
38'犯规的是图雷，祭出了夺命飞腿，被黄牌警告                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
39'瓜林的定位球，直接吊入禁区，石笑天出击没收                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
39'瓜林前场把球断下，一个过顶传球                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
39'登巴巴启动很快，王亮回收过来，把球破坏掉                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
40'秦升左侧斜吊禁区，门前石笑天抢在莫雷诺之前，双龙出海把球击出                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
40'右路申花还有机会，曹赟定迅速突破，下底的传中                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
40'裁判哨响，判了球先出底线了                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
41'斯威特右路插上，护球转身，没有传出来                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
41'李建滨后场回敲李帅，差点失误                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
41'真是要了老命啊，有点短，好在李帅赶紧跑两步，解围出边线                   38'第38分钟，图雷对莫雷诺犯规吃到黄牌
47'图雷回撤拿球， 放一个长传到前面找孙世林                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'在给到斯威特，分给金泰延                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'金泰延横拨中路，孙世林远射被后卫挡出                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'登巴巴拉边过来接应                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'曹赟定准确给到，登巴巴护球被杨善平放倒在地                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'左侧定位球，瓜林和曹赟定都站在球前                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
47'最后还是瓜林来踢                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
48'绕过人墙，前点被金泰延挡出                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
48'莫雷诺外围，沉底在拨回给瓜林                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
48'瓜林传中，后点吕征卸球下来，凌空就射，擦着远门柱出去，好悬                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
49'辽宁右路的进攻，柏佳骏把球挡出边线                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
49'右路图雷拿球，传中落点不好                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
49'申花的反击，曹赟定左侧给到莫雷诺，突破推进                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
49'在跟登巴巴做配合，莫雷诺直塞禁区被斯威特挡出界外                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
49'斯威特防守很拼啊                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
50'吕征右路内切突破被詹姆斯推翻在地                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
50'右路位置不错的定位球啊，瓜林可以直接射了                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
50'瓜林还是选择传中，找后点                   47'第47分钟莫雷诺左侧底线附近把球传出，瓜林不停顿传到禁区右路，吕征巧打后角稍稍偏出
57'吕征下底传中，前点登巴巴包抄，差了一点点                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
57'后点王亮抢在莫雷诺之前挡出底线                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
57'角球开出，一个战术角球，登巴巴转身强射一脚                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
57'似传似射啊，近门柱被石笑天没收                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
58'李帅长传发起进攻，右路做球到中间，登巴巴回撤                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
58'登巴巴拼抢被斯威特放倒，有利进攻，裁判没吹                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
59'曹赟定得球，自己往前冲，再送直塞到禁区 前                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
59'球是被杨善平拦截                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
59'比赛暂停，登巴巴倒地不起，接受治疗                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
60'慢镜头来看，还真不是斯威特犯规，是登巴巴自己扭到了支撑脚，还是场地太硬啊                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
60'登巴巴摇着头，手拿一瓶水，往场边走                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
60'秦升左路的界外球                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
60'禁区内只有莫雷诺一个高点了                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
60'给到小禁区内，陶金争顶未果。石笑天出来收球                   57'第57分钟登巴巴在和麦克争抢时受伤倒地，他痛苦捂着左腿以手拍地，好在问题不大
46'莫雷诺禁区内护住，挡开阿萨尼                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'倒地一瞬间，给到左侧跟上的曹赟定                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'阿萨尼很精彩的一个铲抢，1防2啊                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'瓜林外围施展远射，打在后卫身上                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'图雷回撤拿球， 放一个长传到前面找孙世林                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'在给到斯威特，分给金泰延                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'金泰延横拨中路，孙世林远射被后卫挡出                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'下半场开始了，辽宁开球                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'斯威特头球给到前面                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'詹姆斯得球，回敲给到孙世林，在给杨善平                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'推给身前斯威特，斯威特长传左路                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'詹姆斯再次掉入越位陷阱                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
46'后场金基熙大脚，准确给到曹赟定                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'登巴巴拉边过来接应                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'曹赟定准确给到，登巴巴护球被杨善平放倒在地                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'左侧定位球，瓜林和曹赟定都站在球前                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
47'最后还是瓜林来踢                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
48'绕过人墙，前点被金泰延挡出                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
48'莫雷诺外围，沉底在拨回给瓜林                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
48'瓜林传中，后点吕征卸球下来，凌空就射，擦着远门柱出去，好悬                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
49'辽宁右路的进攻，柏佳骏把球挡出边线                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
49'右路图雷拿球，传中落点不好                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
49'申花的反击，曹赟定左侧给到莫雷诺，突破推进                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
49'在跟登巴巴做配合，莫雷诺直塞禁区被斯威特挡出界外                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
49'斯威特防守很拼啊                   46'1分钟后吕征右路传中，莫雷诺在杨善平压制下头球高出，下半场申花攻势占优
71'孙世林右路和王亮配合不默契，直接是将球送出去                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
71'这个球有些低级，伤士气                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
71'申花长传给到左路找插上的柏佳骏                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
72'胡延强祭出弹腿，对柏佳骏犯规                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
72'柏佳骏重重倒地，但胡延强也并非有意，慢镜头来看胡延强收脚了，但膝盖收不住，顶到了柏佳骏                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
72'左侧瓜林把球开出，送到禁区                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
72'远点莫雷诺争到落点，头球顶偏                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
73'秦升右路给到李运秋，转移一下给中路                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
73'左侧在给曹赟定，吊向禁区                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
73'莫雷诺插上，球给的有些深了                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
74'申花下半场加强了中前场的逼抢，直接遏制了辽宁的进攻                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
74'比赛来到了75分钟，场面还是波澜不惊啊                   71'第71分钟胡延强跃起争抢时膝盖顶翻柏佳骏，范崎判罚普通犯规，引发刚吃黄牌的李建滨不满
76'李建滨跟上接力，没有顶到，被阿萨尼解围出来了                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
76'左侧秦升的大力手榴弹界外球                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
77'禁区内又是阿萨尼，把球大脚解围出边线                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
77'倪玉崧，替下金泰延，申花用张璐换下吕征                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
77'75分钟，双方都做出调整                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
77'右侧秦升再给大力的界外球                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
77'杨善平挡出去                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
78'秦升继续的手榴弹，中超里印象最深的就是他和戈麦斯的手榴弹界外球                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
78'詹姆斯禁区内得球，反击不知道给谁啊，只好盲目先解围出来                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
78'申花长传到禁区前，登巴巴摆渡下来                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
78'这边胡延强把球拦截                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
79'斯威特回给王亮，再往前传，直接送出边线                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
79'登巴巴被替下，马丁斯上来                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
79'申花主动求变了，看看马丁斯能不能立个奇功                   76' 第76分钟辽宁用倪玉崧换下金泰延，申花用张璐换下吕征
78'秦升继续的手榴弹，中超里印象最深的就是他和戈麦斯的手榴弹界外球                   78'第78分钟申花用马丁斯换下登巴巴
78'詹姆斯禁区内得球，反击不知道给谁啊，只好盲目先解围出来                   78'第78分钟申花用马丁斯换下登巴巴
78'申花长传到禁区前，登巴巴摆渡下来                   78'第78分钟申花用马丁斯换下登巴巴
78'这边胡延强把球拦截                   78'第78分钟申花用马丁斯换下登巴巴
79'斯威特回给王亮，再往前传，直接送出边线                   78'第78分钟申花用马丁斯换下登巴巴
79'登巴巴被替下，马丁斯上来                   78'第78分钟申花用马丁斯换下登巴巴
79'申花主动求变了，看看马丁斯能不能立个奇功                   78'第78分钟申花用马丁斯换下登巴巴
80'詹姆斯中圈拿球，看图雷在跑，送一个直塞                   78'第78分钟申花用马丁斯换下登巴巴
80'图雷再次越位了。这个球不够聪明啊，先迂回一下更好                   78'第78分钟申花用马丁斯换下登巴巴
80'孙世林和莫雷诺争抢头球，莫雷诺压人犯规                   78'第78分钟申花用马丁斯换下登巴巴
80'莫雷诺人高马大，脚下活也非常细腻。不可多得啊                   78'第78分钟申花用马丁斯换下登巴巴
81'长传，前场图雷头球顶给詹姆斯                   78'第78分钟申花用马丁斯换下登巴巴
81'再回敲给到郑涛，吊到禁区前                   78'第78分钟申花用马丁斯换下登巴巴
81'没什么威胁啊，被陶金挡出                   78'第78分钟申花用马丁斯换下登巴巴
87'同伴在后面没有跟上啊                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
87'重新组织，右侧起球，传的不错                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
87'马丁斯包抄，石笑天把球祭出                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
87'外围右侧张璐再送一脚传中                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
87'孙世林挡下来，詹姆斯在把球解围出去                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
88'王亮后场拦截，直塞找詹姆斯                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
88'詹姆斯越位了                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
88'胡延强右边路防守对柏佳骏犯规了                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
88'动作比较大，招致了柏佳骏不满                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
89'申花定位球横敲到中间                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
89'在吊向禁区右侧，没有了，被解围                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
89'申花继续猛攻，王亮连人带球，把曹赟定踢翻在地                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
89'王亮黄牌在所难免                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
89'下半场补时3分钟                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
90'申花和绝杀擦肩而过                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
90'瓜林定位球选择直接射，力量超大                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
90'石笑天奋力挡出这个球                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
90'莫雷诺底线前救回来，在传中                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
90'门前造成乱战，球被王亮踢出边线                   87'第87分钟张璐右路传中，石笑天在马丁斯头顶上把球击出
88'王亮后场拦截，直塞找詹姆斯                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
88'詹姆斯越位了                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
88'胡延强右边路防守对柏佳骏犯规了                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
88'动作比较大，招致了柏佳骏不满                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
89'申花定位球横敲到中间                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
89'在吊向禁区右侧，没有了，被解围                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
89'申花继续猛攻，王亮连人带球，把曹赟定踢翻在地                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
89'王亮黄牌在所难免                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
89'下半场补时3分钟                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
90'申花和绝杀擦肩而过                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
90'瓜林定位球选择直接射，力量超大                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
90'石笑天奋力挡出这个球                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
