15'建业中场抢断，过顶球给到约翰逊                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
49'米西任意球斜传禁区到前点，没起来，直接被后卫解围                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
46'下半场比赛开始                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
46'建业开球，从右向左进攻                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
46'下半场建业率先换人：16号杨阔上，换下上半场有点受伤的6号谭望嵩                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
47'孙继海后场过顶长传到前场右侧找尤里                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
47'尤里头球顶到门前，周亚君门线上奋力将球打出底线                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'目前雨势依旧很大，不见小，门将见球不敢轻易拿哦                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'人和右侧角球机会，没能形成威胁                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'人和中场抢断，左路进攻赢得角球机会                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
49'米西角球开出，禁区混战中，萨利近距离抽射，被后卫挡出边线                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
22'这个进球是河南建业本赛季打进的第四球                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
22'于海前场拿球，直塞身后给尤里，尤里单刀赴会，打门球进，可惜边裁举旗了，越位在先，进球无效                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
23'慢镜头清楚显示，于海传球时尤里的越位相当明显，一个多身位哦                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
24'拉斐尔前场胸部停球，左脚分球左侧给买提江                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
24'买提江传球到禁区，只有约翰逊一个包抄，球被后卫解围                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
25'于海左路拿球，祝一帆的上抢滑铲，放倒了于海，犯规                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
25'孙继海后场左路拿球，背身护球时被拉斐尔抢断                   22'失球后，贵州人和立马组织反击，第22分钟，于海前场送出巧妙直塞，尤里插上形成单刀，并将球送入球门，不过裁判示意越位在先，进球无效
32'人和的机会啊，可惜啦，尤里                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
32'陈昌源右路横传球，尤里停球转身，接着一脚低射，球滑门而过                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
33'这球尤里前边的停球转身做的相当漂亮，可惜最后的打门没能踢正部位啊                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
34'张璐，悲催了！！！                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
34'张璐被主裁判出示了第二张黄牌，两黄变一红，被罚出场啦                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
35'张成林后场拿球，张璐一个滑铲，没能刹住脚，被主裁判出示了第二张黄牌                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
35'慢镜头回放显示，这球张璐的动作并无恶意，只是场地湿滑，没能收住脚啊                   32'第32分钟，贵州人和边路组织进攻，陈昌源边路传中，尤里禁区内接球后转身直接抽射，皮球滑门而过
40'这球就在球门正前方，距离球门20米左右                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
40'米西原地摆腿，弧线球，绕过人墙打向球门左上角，周亚君奋力扑出                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
41'因为雨天实话，周亚君也是不敢接，双手直接打出左侧边线                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
42'于海左路拿球，强突时遭遇三人包夹，失误啦                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
43'于海今天被建业照顾的很到位啊，只要前场拿球基本都是两人的围抢                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
43'杨昊前场和祝一帆争顶时被吹抬肘犯规                   40'第40分钟，贵州人和获得正对球门任意球机会，米西莫维奇弧线球攻门，周亚君飞身将球托出底线
48'米西禁区外接到队友横传，侧身凌空一脚扫射，打在边网上                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
48'这球米西的衔接相当到位，技术牛啊                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
48'陈昌源右路拿球，内切时被放倒                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
49'人和前场右路任意球，米西主罚                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
49'米西任意球斜传禁区到前点，没起来，直接被后卫解围                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
47'孙继海后场过顶长传到前场右侧找尤里                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
47'尤里头球顶到门前，周亚君门线上奋力将球打出底线                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
48'目前雨势依旧很大，不见小，门将见球不敢轻易拿哦                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
48'人和右侧角球机会，没能形成威胁                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
48'人和中场抢断，左路进攻赢得角球机会                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
49'米西角球开出，禁区混战中，萨利近距离抽射，被后卫挡出边线                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
50'祝一帆右路拿球反击，回防的陈杰身后拉人犯规                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
50'陈杰被主裁判出示了黄牌警告！！！                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
50'拉斐尔前场和约翰逊的配合，后者攻门被挡出                   47'第47分钟，尤里禁区内头球射门，周亚君飞身将球挡出底线
56'下半场也已经10分钟了，多一人的人和优势明显，但是建业的反击也是时时再给人和提醒                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
56'米西禁区外拿球，横带两步后突然起左脚抽射，周亚君将球扑出                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
57'张成林左路拿球，低平球到禁区                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
57'前点的陈子介一漏，后点上来的尤里没能踢上                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
58'建业的反击，买提江左路传球到禁区                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
58'第一点被孙继海抢在约翰逊之前解围                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
59'精彩回放：拉斐尔禁区外直塞给插入禁区的肖智，肖智得球横传中间，约翰逊包抄被萨利干扰，没能拿到                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
59'不过拉斐尔这脚传球相当漂亮，肖智完全可以打门，有点过于依靠外援啦                   56'第56分钟，米西莫维奇禁区外横带后突然起脚远射，周亚君反应迅速将球扑出
69'于海左路拿球，面对祝一帆的退防，横扫门前，前点陈子介没能碰到，后点包抄的尤里推射破门！！！                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
70'少一人作战，建业处于全面被动啊                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
70'全场比赛70分钟了，比分2-1，主场作战的建业落后，还少一人，接下来进攻得发力啦                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
71'张成林左路的过顶直传，于海没能停好，球出了底线                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
72'最后碰到了退防的建业球员身上出的底线，人和再次角球                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
72'角球开出，第一点被建业球员解围                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
72'建业的反击，买提江中路拿球，分边左侧给拉斐尔                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
72'拉斐尔的边路传中，被萨利头球解围                   69'第69分钟，于海左路拿球送出精准传中，前点陈子介漏过，门前的尤里轻松推射破门，贵州人和2-1反超比分
89'建业机会不多，看看能否把握                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
89'张力任意球斜传后点，孙继海将球一点，护送给出击的张烈拿到                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
90'不过主裁判吹罚了角球，认为张烈拿球时球已经先出了底线                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
90'建业角球开出，第一点被人和球员解围                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
90'肖智禁区外尝试远射，打飞                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
91'米西前场拿球，直塞打后卫身后，力量稍大，被后卫控制                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
91'人和换人：35号万厚良上，换下39号陈子介                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
91'同时，下半场比赛补时4分钟的牌子也出来啦                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
92'杨昊中圈左侧拿球，直塞找于海                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
92'于海背身拿球，转身时被抢断                   89'第89分钟，河南建业角球进攻被阻挡，禁区外肖智一脚远射将球打高
