4'布鲁诺长传找高迪，给大了，阿尔滨边线球。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
16'莫雷诺分给了曹赟定                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
17'曹赟定跟莫雷诺打出撞墙配合！莫雷诺单刀球进了！                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
17'莫雷诺跟曹赟定的二过一，由莫雷诺内切直接面对门将射门得分。                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
18'a3-小a :大宝从第三轮开始就一直是后腰了，我阿的陈涛，阿克拉姆，朱晓刚，张佳祺，全都伤了！(20:02--大宝不容易！                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
18'申花中路断球，曹赟定！                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
18'曹赟定挑进禁区被顶出，跟上的徐亮远射偏出。                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
19'阿尔滨后场控球。                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
19'于大宝长传，找到了孙铂，                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
21'徐亮后场长传找路易斯，被巴克曼顶出，阿尔滨的反击没打出来。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
21'这边发生冲突了！                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
22'莫雷诺急了，路易斯被冲上来阻抢的李学鹏踢到了。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
22'看看裁判怎么盘发啊。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
22'李学鹏吃到了一张黄牌。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
23'冲动的莫雷诺也吃到一张黄牌。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
23'王二丫-520 :巴蒂斯塔真的是个好教练(20:07)----毕竟是马拉多纳的队友啊！                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
23'于大宝也吃到一张黄牌，补发刚才踢倒王寿挺的那个有利球。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
24'路易斯在右路拿球！                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
24'莫雷诺接球后在禁区里传中无人包抄啊！                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
24'阿尔滨后场右路边线球。                   21'第21分钟，场上双方球员发生肢体冲突，李学鹏侵犯路易斯后莫雷诺凶狠推倒李学鹏
27'于汉超传后点，被曹秉局顶出，球权还在阿尔滨这边。                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
27'杨昌名名 :乐乐，！我在看甘肃台直播。又看你图文直播。精彩！上海2-1大连(20:12---太感动了！！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
27'申花又反击了！；路易斯右路！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
27'路易斯面对巴克曼突破右脚打门，稍稍偏出了球门左边立柱！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
28'看来阿尔滨后腰位置现在是吃紧啊！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
28'阿尔滨李学鹏左路的传中被曹秉局封出底线，角球。                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
29'布鲁诺角球开到中路，本科进攻犯规了。                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
29'阿尔滨后场右路打反击了！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
29'中路的于汉超停球打门稍稍偏出球门右立柱。                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
30'双方今天打的很好看！比赛质量很高！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
30'申花后场倒脚，寻找机会。                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
30'右边路莫雷诺！                   27'第27分钟，路易斯接莫雷诺妙传依靠个人速度甩开巴克曼强行射门，球被张指尖碰到后滚出底线
37'于汉超左路争顶犯规了，申花球。                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
37'申花长传找到了路易斯！                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
38'球来到徐亮脚下。                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
38'申花回到中场组织。                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
38'曹赟定左路传中，高迪的垫射高出球门！                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
39'后点很空啊！阿尔滨要注意防守了！                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
39'申花后场长传，拿到一个左路边线球。                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
40'又是徐亮的长传找路易斯，传的有些大。                   37'第37分钟，阿尔滨城门险些再次失守，曹S定的长传准确地找到了埋伏在后点的高迪，高迪在无人盯防的情况下一脚垫射球高出横梁，阿尔滨防线漏洞显而易见
53'左路吕鹏犯规了，扫倒了莫雷诺。                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
54'莫雷诺左脚外脚背大力射门被门将徐翀扑出！出了边线。                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
54'界外球打到禁区前，申花又拿到一个定位球！位置很好啊！                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
55'看看是徐亮还是莫雷诺来罚！                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
55'徐亮！                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
56'这个球还是稍稍偏出立柱左侧。                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
56'申花前场断球！                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
56'曹赟定的传中传的不好啊！高迪拿不到球。                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
56'阿尔滨的反击！                   53'第53分钟，莫雷诺禁区角附近大力抽射，张奋力将球扑出边线
59'于汉超被曹秉局放倒了，痛苦倒地                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
59'于汉超这一下伤的有些严重啊！                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
60'阿尔滨右路反击了！                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
60'小范围不断倒脚啊，球回到后场重新组织。                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
61'这边于汉超传中找到了布鲁诺，头球顶偏了！                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
62'阿尔滨这段时间攻的很凶啊！                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
62'阿尔滨长传，球到了申花这边，                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
62'曹秉局丢球了，阿尔滨的反击机会。                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
62'孙铂的传中直接出界了。                   59'第59分钟，于汉超在与申花球员身体对抗时痛苦倒地
65'申花后场断球，右边的高迪拿球。                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
65'转移到左路曹赟定！                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
65'申花拿到一个边线球。                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
65'换人了！阿尔滨用阿克拉姆换下了本科。                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
66'伊拉克国家阿克拉姆上场了                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
66'申花继续后场拿球，长传高迪越位了。                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
67'看看阿尔滨的反击！左边路于汉超！                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
68'于汉超回给阿克拉姆，阿克拉姆回做到后场。                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
68'这个时候又球员倒在地上                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
68'徐亮倒地了！                   65'第65分钟，阿尔滨进行人员调整，阿克拉姆替换本科登场
46'布鲁诺被王寿挺侵犯了，中路任意球机会！                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
46'距离有点远，无法直接打门啊                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
47'布鲁诺想打到后点，直接被耿晓峰拿下。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
46'看看于大宝的位置有没有变化。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
47'阿尔滨右边路进攻，杨博宇传中被保罗顶出。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
47'布鲁诺右路拿球！                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
47'找到了跟上的孙铂。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
48'转移到左边于汉超！                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
48'李学鹏助攻上来了。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
48'本科禁区里接球被柏佳俊破坏了。                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
49'申花后场断球反击，速度不快                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
49'路易斯！！中路！                   46'1分钟后，孙铂接阿克拉姆传球小禁区内爆射球高出球门
84'角球开出没有形成威胁，直接被解围了，球还在申花这边。                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
84'路易斯前场突破被于大宝犯规了，定位球。                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
85'徐亮的左脚打门又稍稍偏出球门！                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
85'今天任意球质量很高啊！                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
86'阿尔滨现在是有力使不出啊                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
86'申花又反击了！莫雷诺！                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
86'莫雷诺被孙铂犯规了                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
87'看看定位球怎么罚                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
87'阿尔滨后场控球。                   84'第84分钟，于大宝在本方禁区前沿推倒了路易斯，徐亮的任意球再次滑门而出
48'转移到左边于汉超！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
48'李学鹏助攻上来了。                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
48'本科禁区里接球被柏佳俊破坏了。                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
49'申花后场断球反击，速度不快                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
49'路易斯！！中路！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
50'路易斯被晋鹏翔放倒，任意球！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
50'这个位置不错，可以直接打门！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
51'徐亮左脚打球门左侧，稍稍偏出啊！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
51'徐亮这个任意球质量很高！                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
51'阿尔滨的反击，还是左路于汉超。                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
51'李学鹏过度给布鲁诺，布鲁诺找本科的时候失误了，本科抬脚过高。                   48'下半场经过3分钟的伤停补时，全场比赛结束的哨音响起
