8'阎世鹏左边路把球控制下来                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
60'亚泰的进攻，前场左侧再次赢得一个定位球                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
60'杜震宇踢了一个战术                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
61'直塞到禁区左侧，在敲回来，杜震宇在传，没起来，被挡住                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
61'常飞亚右边路打反击，被阎世鹏挡下                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
61'亚泰左路打穿对方防线，胡斯蒂下底，瞄着传，还是稍微高了一些                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
62'富力左路配合，下底传中被宋振瑜扑住                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
62'亚泰继续出牌，阎峰下来，换上阿克斯                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
62'阿克斯是匈牙利的国脚，但之前出场时间不多                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
72'富力派上张远就是继续对亚泰的防线施压，让对方不敢贸然出击                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
72'刚才小播断线一小下，耽误了2分钟，请大家见谅                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
73'姜至鹏左路拿球，胡斯蒂心态急躁，鲁莽犯规，领到黄牌                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
74'场上也是出现了小的争执，姜至鹏对胡斯蒂的犯规很不满                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
74'两人一直在说着什么                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
74'艾堃再出黄牌，这次给了于洋                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
75'亚泰右路下底，对方3人包夹，推给蒋哲                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
75'蒋哲传中，前点被张耀坤挡出                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
75'亚泰抓紧时间再攻，左路阿克斯直塞给插上的阎世鹏                   72'第72分钟，姜志鹏左路拿球，胡斯蒂心态急躁鲁莽犯规领到黄牌
87'胡斯蒂开入禁区，人丛中亚泰第一点争到了，但顶出的球威胁不大，被刘殿座没收                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
87'杜震宇左路拼抢唐淼的脚下球犯规                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
88'亚泰长传，给到前场的韩德明，韩德明1V2，没有把球控制下来                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
88'亚泰右侧再送斜传，后点莫雷诺没有争到                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
89'亚泰抓紧最后的时间继续猛攻                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
89'左路一系列配合之后球到了阎世鹏脚下                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
89'阎世鹏左脚传中，被后卫挡出边线                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
89'哦，对不起，是挡出底线                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
89'杜震宇开出左路角球，张远抢得落点，解围出底线                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
90'杜震宇再次开出角球，这次打后点，被对方先解围出来                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
90'下半场补时4分钟                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
90'亚泰横传转移，左侧杜震宇这边空了                   87'第87分钟，亚泰队前场右侧任意球打到禁区，伊斯梅洛夫抢点头球攻门被刘殿座扑住
