6'安德莱赫特球员德泽乌拼抢犯规,对手获得控球权.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
55'巴黎圣日耳曼球员伊布大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是莫塔.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
56'库亚特为安德莱赫特赢得一个任意球.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
56'巴黎圣日耳曼球员拉维齐拼抢犯规,对手获得控球权.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
56'Luka Milivojevic为安德莱赫特赢得一个任意球.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
56'巴黎圣日耳曼球员马克斯维尔拼抢犯规,对手获得控球权.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
57'安德莱赫特Luka Milivojevic受伤倒地,比赛暂停                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
58'暂停结束,球员们重新开始比赛.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
58'安德莱赫特球员米特洛维奇拼抢犯规,对手获得控球权.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
58'马基尼奥斯为巴黎圣日耳曼赢得一个任意球.                   55'第55分钟，莫塔开出角球，伊布远点小禁区边缘头球攻门偏出左侧立柱
63'巴黎圣日耳曼球员拉维齐大禁区左侧左脚射门,被防守球员封堵.给他传球的是马图伊迪.                   63'第63分钟，拉维奇禁区左侧的射门被范登-博雷挡出
63'范登伯雷将球处理出底线,巴黎圣日耳曼获得角球.                   63'第63分钟，拉维奇禁区左侧的射门被范登-博雷挡出
64'巴黎圣日耳曼球员小卢卡斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是伊布.                   63'第63分钟，拉维奇禁区左侧的射门被范登-博雷挡出
66'安德莱赫特球员德斯查克特拼抢犯规,对手获得控球权.                   63'第63分钟，拉维奇禁区左侧的射门被范登-博雷挡出
66'马图伊迪为巴黎圣日耳曼在对方半场,赢得一个任意球.                   63'第63分钟，拉维奇禁区左侧的射门被范登-博雷挡出
67'巴黎圣日耳曼球员阿莱士大禁区外尝试右脚射门,可惜皮球偏出球门.                   67'第67分钟，阿莱士任意球远射偏出
68'进球啦！！！安德莱赫特球员德泽乌大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是科尔杰斯坦. 巴黎圣日耳曼 0-1 安德莱赫特.                   67'第67分钟，阿莱士任意球远射偏出
70'射门!!!巴黎圣日耳曼球员伊布大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马图伊迪.                   67'第67分钟，阿莱士任意球远射偏出
70'进球啦！！！巴黎圣日耳曼球员伊布小禁区左侧右脚射门,球从左下角飞进球门,球进了! 巴黎圣日耳曼 1-1 安德莱赫特.                   67'第67分钟，阿莱士任意球远射偏出
70'射门!!!巴黎圣日耳曼球员伊布大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马图伊迪.                   70'但巴黎圣日耳曼第70分钟扳平比分，马图伊迪传球，伊布10码处射门打中门将后击中左侧立柱弹回，伊布小角度补射空门入网，1-1
70'进球啦！！！巴黎圣日耳曼球员伊布小禁区左侧右脚射门,球从左下角飞进球门,球进了! 巴黎圣日耳曼 1-1 安德莱赫特.                   70'但巴黎圣日耳曼第70分钟扳平比分，马图伊迪传球，伊布10码处射门打中门将后击中左侧立柱弹回，伊布小角度补射空门入网，1-1
72'安德莱赫特球员德斯查克特拼抢犯规,对手获得控球权.                   70'但巴黎圣日耳曼第70分钟扳平比分，马图伊迪传球，伊布10码处射门打中门将后击中左侧立柱弹回，伊布小角度补射空门入网，1-1
72'维拉蒂为巴黎圣日耳曼在对方半场,赢得一个任意球.                   70'但巴黎圣日耳曼第70分钟扳平比分，马图伊迪传球，伊布10码处射门打中门将后击中左侧立柱弹回，伊布小角度补射空门入网，1-1
73'安德莱赫特球员普拉耶特大禁区外左脚射门,被防守球员封堵.给他传球的是科尔杰斯坦.                   70'但巴黎圣日耳曼第70分钟扳平比分，马图伊迪传球，伊布10码处射门打中门将后击中左侧立柱弹回，伊布小角度补射空门入网，1-1
82'安德莱赫特球员科尔杰斯坦手球犯规,对手获得球权.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
82'安德莱赫特球员科尔杰斯坦因为故意手球,被裁判出示了第二张黄牌.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
83'安德莱赫特球员德泽乌拼抢犯规,对手获得控球权.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
83'梅内斯为巴黎圣日耳曼在对方半场,赢得一个任意球.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
84'巴黎圣日耳曼球员莫塔大禁区外左脚射门,被防守球员封堵.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
84'Chancel Mbemba Mangulu将球处理出底线,巴黎圣日耳曼获得角球.                   82'第82分钟，克杰斯坦手球犯规累计两张黄牌被罚下
