6'右侧配合被断                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
15'内少中路包抄垫了一下                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
15'阿尔瓦雷斯把球击出                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
16'外围再抢，苏神越位                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
16'布拉沃后场接球，一记大脚开出                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
16'沃斯把球拦下，在给边路的塞内                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
16'布拉纳斯助攻上来，分边右侧                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
17'阿尔巴呼啸而来，一记飞铲把球破坏出边线                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
17'巴萨后场抢断，反击给内少                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
18'右路罗贝托跟进，横敲到中间，被埃尔南德斯挡下                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
18'塞尔塔把球交给塞内，到了前场拉边                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
28'梅西任意球直接破网                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
29'梅西金左角任意球轰门，再度绕过人墙，这次没偏直奔十分角，擦着横梁下沿入网，阿尔瓦雷斯扑救不及                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
29'这个球梅西的射门是大师级的，对阿尔瓦雷斯来说，想扑出来太难                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
29'布斯克茨左侧给到梅西，再找内少                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
30'内少面对3人围抢，传球没有通过                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
30'阿尔维斯右侧在搓入禁区，内少斜线插上                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
30'苏神禁区内在做给梅西，梅西原地的搓射，没有力量，被没收                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
31'巴萨得分之后进攻也是越打越顺                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
31'苏神中路强突，左侧内少空了，虽然看到空当，但苏神这一脚并未能传过去                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
31'右侧马罗得球，往前挑                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
31'巴萨中场的抢断                   28'巴萨第28分钟取得领先，梅西右路30码处任意球直接射门，皮球绕过人墙入右上死角
39'古德蒂禁区内和阿尔巴争夺，古德蒂抢先拿到，阿尔巴收脚不及，把古德蒂钩倒                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
39'古德蒂点球命中                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
40'古德蒂亲自主罚，也没什么假动作，直接大力抽射左下角，布拉沃判断正确，无奈球速太快，扑救不及啊                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
40'塞尔塔在很被动的情况下扳平了                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
41'这个球阿尔巴自己也是比较懊恼，本来第一时间可以解围，但还是想控制下来结果被古德蒂拿到了球                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
41'小白前场送过顶到禁区                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
42'罗贝托插上，做球给苏神                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
42'苏神左侧小角度抽射，偏出                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
42'内少左路得球，面对马罗                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
42'内少强行突破，往内线走，马罗防守失位，直接踢翻内少                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
42'马罗也得到黄牌，塞尔塔已经3张了                   39'塞尔塔第39分钟扳平，圭德蒂禁区右侧抢断阿尔巴后被绊倒，前曼城前锋亲自主罚点球命中，1-1
56'古德蒂前场和小马哥争顶被吹犯规                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
56'古德蒂不满意，嘴里喋喋不休                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
56'阿尔巴要发定位球古德蒂上来拉了他一把，两人发生小争执                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
57'布拉尔边路防守犯规                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
57'巴萨禁区内有机会，小白低射被阿尔瓦雷斯挡出                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
57'普拉纳斯赶紧解围                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
58'给小白传球的是梅西，这个球给的太舒服了                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
58'阿尔维斯把球搓入禁区内，连续一脚传球，最后内少的打门踢高                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
59'巴萨下半场提速，运动战明显更加积极                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
59'巴萨再次领先了                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
59'这次是苏神的破门                   56'第56分钟，梅西传球，伊涅斯塔14码处左脚劲射又被塞尔吉奥扑出
59'巴萨下半场提速，运动战明显更加积极                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
59'巴萨再次领先了                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
59'这次是苏神的破门                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
60'苏神右侧接球，拨给梅西，自己往禁区内插，梅西心领神会精确的搓进去，苏神包抄面对出击的阿尔瓦雷斯不停球直接打，轰入左上角                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
61'巴萨连续的组合拳终于又取得领先，巴萨水银泻地的进攻进球也是早晚的事                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
62'巴萨换人，一下就是俩                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
62'罗贝托被拉基蒂奇换下，比达尔替下阿尔维斯                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
62'塞尔塔还是先静观其变，不换人                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
62'小马哥拿球，一个长传到左边路                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
62'内少插上，胸部一停，有点停大了                   59'巴萨第59分钟再度超出，梅西挑传，反越位成功的苏亚雷斯小禁区前第一时间垫射入网，2-1
75'哦，射门的是沃斯                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
75'沃斯这个球射的质量一般般啊                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
75'巴萨再入一球，苏神梅开二度啊                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
76'塞内左边路防守犯规吃到黄牌，巴萨正是利用这个定位球获得破门机会                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
76'MSN之间的配合                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
78'梅西禁区前沿一记挑传，内少左侧包抄过来，抹过防守，过掉出击的阿尔瓦雷斯，小角度射门球是压在门线上，苏神后点轻轻一碰，想不打进都不行啊，球就在门线上                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
78'塞尔塔换人，古德蒂下来，德拉季奇上                   75'巴萨第75分钟扩大比分，梅西反击中右路内切后直传，内马尔拉球晃过门将后小角度射门，皮球被马略封堵滑门而过，苏亚雷斯及时捅入空门，3-1
80'拉基蒂奇接应一下，右路皮克拿球，准备分边比达尔                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
80'皮克刚要传，比达尔自己奔跑中倒地了，皮克只能自己来                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
81'皮克这个突破能力，还是不做评价拉，反正被后卫轻松抢断了                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
81'内少左侧插入到禁区肋部                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
82'有机会，单刀面对出击的门将，轻轻一搓，力量太小了                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
82'球在门线前被布拉尔解围                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
82'梅西右侧底线突破乔尼犯规，点球                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
83'梅西亲自来踢这个点球，马上300球啊                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
83'我去，点球居然踢了一个配合                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
83'梅西点球助跑，令人意外的拨到旁边，苏神跟上一记推射破网                   80'第80分钟，布斯克茨传球，内马尔单刀射门被塞尔吉奥勉强扑挡，卡布拉尔门线前将皮球带出
85'巴萨报仇了，戏耍塞尔塔报本赛季首回合之仇                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
85'沃斯被换下场                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
85'巴萨又进球了，这次是拉基蒂奇                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
86'这次是苏神的助攻                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
87'苏神左侧拿球，搓入禁区内，拉基蒂奇中路包抄，一脚垫射，打出吊门，绕过出击的阿尔瓦雷斯破网                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
87'拉基蒂奇庆祝动作也有意思，球衣反穿                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
87'但拉基蒂奇还是因为这个庆祝动作吃到黄牌                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
88'塞尔塔右侧进攻                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
88'吊入禁区后点，奥博夫跟上，射门差之毫厘，未能碰到                   85'第85分钟，苏亚雷斯斜传，拉基蒂奇12码处第一时间吊射入网，5-1
91'巴萨又来机会了                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
91'内少终于收获进球了，6球血洗啊！！！MSN都取得进球了                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
92'塞尔塔进攻受阻，巴萨反击，右侧苏神得球，准确的搓到禁区左侧给到插上的内少，内少面对出击的阿尔瓦雷斯，这次搓射还是四两拨千斤，球慢慢滚入大门                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
92'下半场补时2分钟                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'内少左侧拿球，精湛的过人技术戏耍对方                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'内少要收敛一些啊，否则对手恼怒恐怕内少要挨踢                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'内少赢得一个角球                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'战术角球开出，给到图兰                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'在给到中路布斯克茨                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'回敲给身后小马哥，小马哥在往前推进                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
93'这个时候裁判哨响了                   91'第91分钟，苏亚雷斯斜传，内马尔禁区左侧单刀破门，6-1
