1'纳瓦斯为曼城赢得一个任意球.                   1'开场不到1分钟，弗莱泽-坎贝尔点球点附近假摔侥幸逃脱处罚
69'卡迪夫城安德鲁-泰勒受伤倒地,比赛暂停                   69'第69分钟，内格雷多替换哲科出场
70'暂停结束,球员们重新开始比赛.                   69'第69分钟，内格雷多替换哲科出场
72'卡迪夫城球员F-坎贝尔拼抢犯规,对手获得控球权.                   69'第69分钟，内格雷多替换哲科出场
72'莱斯科特为曼城赢得一个任意球.                   69'第69分钟，内格雷多替换哲科出场
75'曼城球员亚亚-图雷大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是克里希.                   75'第75分钟，亚亚-图雷远射偏出
76'曼城球员纳斯里大禁区中央右脚射门,被防守球员封堵.给他传球的是阿圭罗.                   75'第75分钟，亚亚-图雷远射偏出
76'曼城球员席尔瓦大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是阿圭罗.                   75'第75分钟，亚亚-图雷远射偏出
77'曼城换人,米尔纳换下费尔南丁霍                   75'第75分钟，亚亚-图雷远射偏出
78'克里希将球处理出底线,卡迪夫城获得角球.                   75'第75分钟，亚亚-图雷远射偏出
79'进球啦！！！卡迪夫城球员F-坎贝尔球门线跟前,球从左下角飞进球门,球进了!助攻的是惠廷汉姆. 卡迪夫城 2-1 曼城.                   79'卡迪夫城第79分钟反超比分，维丁汉姆开出角球，前曼联青训前锋弗莱泽-坎贝尔远点近距离用肩膀将皮球挡入，2-1
81'梅德尔将球处理出底线,曼城获得角球.                   79'卡迪夫城第79分钟反超比分，维丁汉姆开出角球，前曼联青训前锋弗莱泽-坎贝尔远点近距离用肩膀将皮球挡入，2-1
81'曼城球员席尔瓦大禁区左侧左脚射门,被防守球员封堵.给他传球的是克里希.                   79'卡迪夫城第79分钟反超比分，维丁汉姆开出角球，前曼联青训前锋弗莱泽-坎贝尔远点近距离用肩膀将皮球挡入，2-1
81'射门!!!曼城球员哈维-加西亚大禁区中央头球,被对方守门员横身扑出.给他传球的是席尔瓦.                   79'卡迪夫城第79分钟反超比分，维丁汉姆开出角球，前曼联青训前锋弗莱泽-坎贝尔远点近距离用肩膀将皮球挡入，2-1
82'惠廷汉姆将球处理出底线,曼城获得角球.                   79'卡迪夫城第79分钟反超比分，维丁汉姆开出角球，前曼联青训前锋弗莱泽-坎贝尔远点近距离用肩膀将皮球挡入，2-1
81'梅德尔将球处理出底线,曼城获得角球.                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
81'曼城球员席尔瓦大禁区左侧左脚射门,被防守球员封堵.给他传球的是克里希.                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
81'射门!!!曼城球员哈维-加西亚大禁区中央头球,被对方守门员横身扑出.给他传球的是席尔瓦.                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
82'惠廷汉姆将球处理出底线,曼城获得角球.                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
83'卡迪夫城换人,康维换下贝拉米                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
83'射门!!!曼城球员哈维-加西亚大禁区中央头球,被对方守门员横身扑出.给他传球的是米尔纳.                   81'第81分钟，席尔瓦传中，哈维-加西亚头球攻门正入马绍尔下怀
87'进球啦！！！卡迪夫城球员F-坎贝尔小禁区右侧头球,球从左下角飞进球门,球进了!助攻的是康维. 卡迪夫城 3-1 曼城.                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'卡迪夫城换人,穆特奇换下金甫炅                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+2'进球啦！！！曼城球员内格雷多大禁区中央头球,球从左上角飞进球门,球进了!助攻的是席尔瓦. 卡迪夫城 3-2 曼城.                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+3'卡迪夫城换人,卡利纳斯换下F-坎贝尔                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+4'曼城球员席尔瓦一脚直塞球给阿圭罗,但是边裁举旗显示后者已经越位.                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+5'曼城球员阿圭罗大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是席尔瓦.                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+7'曼城球员内格雷多小禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是萨巴莱塔.                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
90'+7'下半场结束,卡迪夫城 3-2 曼城                   87'卡迪夫城第87分钟扩大比分，科维开出左侧角球，弗莱泽-坎贝尔远点小禁区边缘力压萨巴莱塔头球破门，3-1
