1'主裁判一声哨响，上半场比赛开始                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
16'吕永君19:59预测杨家伟先进球回复：进一步大胆预测在比赛进行的几分钟的时候呢                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
16'上海申鑫队前场控球，王赟转移球到右侧，再低平球传中，丁海峰把球破坏出边线                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
17'上海申鑫队前场右侧掷界外球                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
17'查尔顿分球交给姜嘉俊，再快速前插，姜嘉俊再横敲，肇俊哲回防把球破坏出来                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
18'上海申鑫队中场拦截，球转移到右侧，慢慢渗透～                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
19'现在辽宁宏运队的防守也挺谨慎的～扎稳篱笆，不给对方可乘之机                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
19'辽宁宏运队断球走中路快速的推进，禁区前沿失误了～球被乔尼拦截下来                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
19'上海申鑫队这段时间的控制球率有所上升呀～                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
19'上海申鑫队前场控球，回传到乔尼的脚下，耐心的倒倒脚                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
32'吴高俊犯规吃到黄牌～                   32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
33'上海申鑫队今天是主打左路，吴高俊面临的压力比较大                   32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
33'乔尼在对方的逼抢下把球传给了刘殿座～                   32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
33'王赟带球推进，到中圈弧转移到右侧～                   32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
34' 壹颗心瑷你20:19辽足混到了这种程度，哎，宏运是傻13回复这话怎么说的                    32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
34'于涛左路的传中球，到后点，金泰延头球顶出来                   32'第32分钟吴高俊中场附近抱摔杨家威吃到黄牌
46'主裁判一声哨响，下半场比赛开始                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
46'凯撒上场能否起到更好的进攻作用呢？                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
47'吕永君20:49下半场还是看王贇凯杀啦，加油成耀东回复：凯撒真上场啦～                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
47'凯撒拿球，交给叶重秋，球被对方破坏出来～                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
48'上海申鑫队的进攻赢得任意球机会，王赟来主罚，开到禁区内，张鹭跃起把球没收                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
48'辽宁宏运队中场控球，杨善平回传球给王博，再转移到左侧组织进攻                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
48'上海申鑫队中场断球打反击，不过叶重秋的传球打到了裁判的身上，反击没打成                   46'第46分钟孙凯任意球直接旋到小禁区，双方队员挤在一起，张鹭抢先一步把球接稳
50'这是什么招术？                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
50'上海申鑫队控球走左路推进，斜传到禁区内，凯撒吸引防守，中路杨家威的头球攻门，太正，被门将没收                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
51'金泰延的传中，詹姆斯头球摆渡，第二落点被上海申鑫队的队员抢到，快速打反击                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
51'上海申鑫队的长传球，力量太大了，直接给了吴高俊                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
51'辽宁宏运队后场控球，吴高俊分球给到丁海峰的脚下                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
51'辽宁宏运队的长传球，詹姆斯被林裕焕犯规，背后推人犯规                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
52'辽宁宏运队获得禁区左侧的任意球机会                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
52'肇俊哲来主罚任意球，开到禁区内，乔尼抢点头球顶出来                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
52'金泰延外围的射，偏出了底线～                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
53'丘陵也有海拔20:55我辽不要辜负东北人民的希望啊，要拿分啊。回复：进球的重任由谁来承担？                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
53'禁区前沿凯撒横跨两步，突然的拔脚远射，球稍稍高过门梁出了底线～                   50'此球也是开场50分钟以来，比赛双方制造出的最大威胁场面
52'辽宁宏运队获得禁区左侧的任意球机会                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
52'肇俊哲来主罚任意球，开到禁区内，乔尼抢点头球顶出来                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
52'金泰延外围的射，偏出了底线～                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
53'丘陵也有海拔20:55我辽不要辜负东北人民的希望啊，要拿分啊。回复：进球的重任由谁来承担？                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
53'禁区前沿凯撒横跨两步，突然的拔脚远射，球稍稍高过门梁出了底线～                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
54'凯撒上场能进球吗？A.能　B.不能[qiangda]                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
55'用户bzrz32wrib20:57辽宁今年倒第三回复 赛季还早呢～要有信心                    52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
55'上海申鑫队后场控球，乔尼转移球给到林裕焕的脚下，到中场直接长传                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
55'凯撒拿球没有停好，不过马上反抢成功，转移到右侧                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
55'王赟的传后点被顶出来，再传中后卫头球解围了                   52'第52分钟凯撒禁区外摆脱凯撒后射门稍稍打高
61'辽宁宏运队准备换人啦～                   61'第61分钟宏运用胡延强换下金泰延
61'金泰延下场换上了胡延强                   61'第61分钟宏运用胡延强换下金泰延
62'胡延强在刚刚结束的全运会中有非常不错的表现呀                   61'第61分钟宏运用胡延强换下金泰延
62'胡延强的上场能否改善一下场上辽宁宏运队的局面呢？                   61'第61分钟宏运用胡延强换下金泰延
63'叶重秋转移球到左侧，杨家威抢先把球护住                   61'第61分钟宏运用胡延强换下金泰延
63'上海申鑫队前场继续控球～王皓回防犯规，放倒了叶重秋                   61'第61分钟宏运用胡延强换下金泰延
63'王皓从主裁判哪儿申请到一张黄牌                   61'第61分钟宏运用胡延强换下金泰延
63'上海申鑫队获得禁区前沿的任意球机会                   61'第61分钟宏运用胡延强换下金泰延
63'王赟来主罚任意球～距离球门有点近                   61'第61分钟宏运用胡延强换下金泰延
64'任意球直接打门，球蹭到了防守队员变向出了底线                   61'第61分钟宏运用胡延强换下金泰延
64'上海申鑫队获得角球机会                   61'第61分钟宏运用胡延强换下金泰延
64'王赟来主罚角球，开到前点被防守队员挡出来                   61'第61分钟宏运用胡延强换下金泰延
67'场面显得有点平淡～                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
67'刘峻楠右路的传中球被挡出来                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
67'上海申鑫队继续控球，杨家威禁区前沿的打门被门将没收                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
68'辽宁宏运队的队员围攻主裁判，认为对方抬脚太高～主裁判解释一下，并没有掏牌                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
69'上海申鑫队右路迭球推进，球转移到于涛的脚下                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
70'这段时间上海申鑫队的进攻也慢了些～在控球时间上辽宁宏运队多了一些                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
70'上海申鑫队右侧迭球推进，在中路没办法渗透呀，又转移出来，这进攻也太有耐心了                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
70'詹姆斯断球，快速打反击，交给耶夫蒂奇，再回传                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
70'詹姆斯的快速推进！一过一没有能够成功，反抢犯规了                   67'第67分钟姜嘉俊从詹姆斯脚下断球，杨家威不管三七二十一，接着球就射，结果再次打高
71'孙凯犯规放倒了胡延强～吃到黄牌                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
72'辽宁宏运队获得禁区右侧的任意球机会，距离底线比较近                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
72'肇俊哲来主罚角球，开到前点，凯撒头球顶出来                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
72'王皓外围控球，耐心的交给中场的队员重新组织进攻                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
72'丁海峰的斜长传，落点太差了～                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
73'辽宁宏运队右路的直传球，耶夫蒂奇快速下底～林裕焕倒地滑铲，把球破坏出了底线                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
73'角球开到禁区内，被门将没收了～                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
74'中场胡延强犯规，放倒了叶重秋，延缓对方的反击                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
74'胡延强吃到黄牌                   71'第71分钟孙凯铲在右路倒挑球内切的胡延强吃到黄牌
75'上海申鑫队的进攻赢得一个角球机会                   75'第75分钟吴毅臻换下杨家威，接着王S角球开出，凯撒闪开肇俊哲的贴身防守，跃起头球顶正
76'角球由王赟来主罚，开到禁区内，凯撒抢点攻门，力量不足，张鹭后撤着把球摘了下来                   75'第75分钟吴毅臻换下杨家威，接着王S角球开出，凯撒闪开肇俊哲的贴身防守，跃起头球顶正
78'上海申鑫队换人：杨家威下场换上了吴毅臻                   75'第75分钟吴毅臻换下杨家威，接着王S角球开出，凯撒闪开肇俊哲的贴身防守，跃起头球顶正
78'辽宁宏运队控球走左路的进攻，赢得任意球机会                   75'第75分钟吴毅臻换下杨家威，接着王S角球开出，凯撒闪开肇俊哲的贴身防守，跃起头球顶正
78'任意球还是由肇俊哲来主罚，距离球门有点远呀                   75'第75分钟吴毅臻换下杨家威，接着王S角球开出，凯撒闪开肇俊哲的贴身防守，跃起头球顶正
79'任意球开到禁区弧顶，头球摆渡第二落点被对方抢到                   79'第79分钟辽宁队用孙世林换下王皓
80'上海申鑫走右路推进，直塞球被丁海峰抢到，反抢时犯规了～                   79'第79分钟辽宁队用孙世林换下王皓
80'辽宁宏运队换人：王皓下场换上了孙世林                   79'第79分钟辽宁队用孙世林换下王皓
81'胡延强的右路突破，球被乔尼破坏出了底线                   79'第79分钟辽宁队用孙世林换下王皓
81'辽宁宏运队获得角球机会，肇俊哲来主罚                   79'第79分钟辽宁队用孙世林换下王皓
81'角球开到禁区内，刘殿座出击，单拳打出了禁区                   79'第79分钟辽宁队用孙世林换下王皓
81'丁海峰左路再传球被王赟挡出来，肇俊哲控球，摆脱再传球被挡出来                   79'第79分钟辽宁队用孙世林换下王皓
81'上海申鑫队控球反击，走右路快速的推进，王赟横向盘带球被对方拦截下来                   79'第79分钟辽宁队用孙世林换下王皓
82'争顶时林裕焕压人犯规～                   79'第79分钟辽宁队用孙世林换下王皓
88'下半场比赛补时四分钟                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
90'耶夫蒂奇直传球到禁区内，张野快速前插，球还是被后卫护住了！                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
90'孙凯前场争顶时犯规～                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
91'辽宁宏运队右路起球，传到禁区内，王赟前点没拦截住，禁区内的詹姆斯转身扫射，球击中横梁弹出来～                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
91'辽宁宏运队再次卷土重来，赢得一个角球机会                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
91'肇俊哲主罚角球，开到前点，被对方队员抢到护给了门将                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
91'不出意外，比赛将以平局结束了～                   88'第88分钟王亮换下吴高俊，辽宁队要把防守进行到底
52'辽宁宏运队获得禁区左侧的任意球机会                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
52'肇俊哲来主罚任意球，开到禁区内，乔尼抢点头球顶出来                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
52'金泰延外围的射，偏出了底线～                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
53'丘陵也有海拔20:55我辽不要辜负东北人民的希望啊，要拿分啊。回复：进球的重任由谁来承担？                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
53'禁区前沿凯撒横跨两步，突然的拔脚远射，球稍稍高过门梁出了底线～                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
54'凯撒上场能进球吗？A.能　B.不能[qiangda]                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
55'用户bzrz32wrib20:57辽宁今年倒第三回复 赛季还早呢～要有信心                    52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
55'上海申鑫队后场控球，乔尼转移球给到林裕焕的脚下，到中场直接长传                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
55'凯撒拿球没有停好，不过马上反抢成功，转移到右侧                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
55'王赟的传后点被顶出来，再传中后卫头球解围了                   52'主裁王哲对丁海峰、姜嘉俊和张鹭各出一张黄牌，比赛补时接近7分钟后结束，双方0比0战平
