1'上半场比赛开始！                   1'第1分钟，拜仁牢牢掌握控球优势
56'里贝里左路拿球被踢倒                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
56'里贝里倒地后道格拉斯-科斯塔也是故意将球踢到里贝里身上                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
56'里贝里对这样的做法也是很火，有一个报复动作                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
57'两队球员也是纠缠到了一起                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
57'裁判过来，也是进行干扰没有让冲突升级                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
65'顿涅茨克矿工后场又是一个抢断                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
65'阿隆索拦截的时候犯规                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
66'裁判向阿隆索出示了第二张黄牌！                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
66'两黄变一红被罚下场                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
66'拜仁这边要准备换人                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
67'顿涅茨克矿工任意球并没有往门里打                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
67'巴德施图贝尔要准备上了                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
67'弗雷德前场拿球给到边路                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
68'顿涅茨克矿工没有什么机会将球回敲                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
68'拜仁中场断球，里贝里中路来接球                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
68'罗本右路拿球突破被破坏                   65'拜仁第65分钟遭遇打击，阿隆索背后推倒特谢拉，吃到第2张黄牌被罚下
83'罗本右路人球分过后内切到禁区内                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
83'打门被后卫用身体挡了出来                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
83'球来到了里贝里这边                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
83'左路的下底传中被后卫挡出底线                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
84'顿涅茨克矿工换人，泰松下，惠灵顿上！                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
84'拜仁角球开出                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
84'皮亚托夫单拳将球击出                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
84'施魏因施泰格这边又得到一张黄牌！                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
84'中场拦截防守惠灵顿犯规                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
86'拉基茨基中场抢球有一个瞪踏                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
86'比赛常规时间还剩下最后的5分钟                   83'第83分钟，罗本右路内切射门拉基茨基封堵，他投诉对方手球，但马连科没有中断比赛
46'里贝里拿球转移出了边线                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
46'下半场比赛开始！                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
46'下半场比赛由拜仁开球                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
46'顿涅茨克矿工中场拿球被断                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
46'里贝里左路推进也是被干扰                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
47'罗本右路接球后回敲                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
48'拜仁现在也是找不到办法                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
48'顿涅茨克矿工后场站的很好                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
49'拜仁长传送禁区，这球落点不好                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
49'拜仁禁区内拿球，形成乱战                   46'补时第1分钟，里贝里背后踢倒内姆，再次与对方发生冲突，斯尔纳将其抱开
