1'好的，比赛开始了！                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
50'幸好圣索内的打门打的很高，否则罗兰多就要成罪人了。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
51'国际米兰的进攻，帕拉西奥的打门很有隐蔽性，稍稍偏出。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
52'恭喜以下用户获得直播室会员资格: 手机用户2675848340                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
52'洛佩斯前场突破获得角球。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
57'今天伊卡尔迪表现很出色啊，给现场嘘他的观众一个有力的回击。                   57'第57分钟，长友佑都左路传中，伊卡尔迪头球偏出
59'国米连续的进攻，先是伊卡尔迪禁区内打门被挡，之后长友佑都传中伊卡尔迪又顶高了。                   57'第57分钟，长友佑都左路传中，伊卡尔迪头球偏出
59'桑普多利亚换人了，奥比昂下，克尔斯蒂希奇上。                   57'第57分钟，长友佑都左路传中，伊卡尔迪头球偏出
60'十四岁的天5015976004 :感觉国米总能制造冷门，对阵弱旅经常失分，打中上游球队也会出人意料的获胜，雯雯姐你觉得呢------感觉这是一个球队态度问题啊！                   57'第57分钟，长友佑都左路传中，伊卡尔迪头球偏出
60'十四岁的天5015976004 :感觉国米总能制造冷门，对阵弱旅经常失分，打中上游球队也会出人意料的获胜，雯雯姐你觉得呢------感觉这是一个球队态度问题啊！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
61'帕拉西奥的好机会！左路小角度打门被达克斯塔挡出了！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
61'球进了！！！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
61'萨穆埃尔头球顶进死角！！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
62'我爱你AC米兰队和武汉队 :帕拉西奥，请问主持人雯雯，为什么新浪不直播中甲联赛，不能因为是低级别比赛就不直播啊，麻烦您向领导建议一下------好的，我们会注意这个问题的！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
63'这下国米就稳多了。                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
63'又进了！！伊卡尔迪的梅开二度！！                   60'第60分钟，伊卡尔迪传球，帕拉西奥突入禁区左侧，距门9米处大力斜射被达科斯塔封出近角，埃尔纳内斯左侧开出角球，萨穆埃尔在门前9米处顶进左下角，2比0
46'国际米兰还是不能掉以轻心啊，桑普多利亚上半场好机会可是相当多的。                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
47'好的上半场结束了！                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
47'好的，下半场比赛开始了！                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
48'光辉盖伦是好兄妹 :雯雯，在你眼里谁是新浪第一直播员?我肯定说是你------谢谢你的支持啊~我会努力的！                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
48'这场国际米兰一定要扩大优势啊，否则桑普多利亚的进攻很有威胁，很有可能进球。                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
48'国际米兰的角球！                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
48'国米球员拿到第一点，但是没有顶正位置                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
49'达克斯塔大脚解围失误了，被国米打了一个反击。                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
49'但是长友佑都传中被挡，之后的进攻长友佑都越位了。                   46'1分钟后，索里亚诺直传，马克西-洛佩斯禁区前沿转身低射稍偏出左门柱
79'4比0！！！                   79'第79分钟，帕拉西奥左路与阿尔瓦雷斯打出踢墙配合，突入禁区左侧距门7米处推进远角，4比0
80'帕拉西奥获得单刀机会，面对门将推射远角！非常精彩的打门！                   79'第79分钟，帕拉西奥左路与阿尔瓦雷斯打出踢墙配合，突入禁区左侧距门7米处推进远角，4比0
80'为了感谢大家的支持，比赛结束后我会抽取三名幸运球迷最为会员！                   79'第79分钟，帕拉西奥左路与阿尔瓦雷斯打出踢墙配合，突入禁区左侧距门7米处推进远角，4比0
81'米利托上场了，换下了科瓦契奇，久违了啊。                   79'第79分钟，帕拉西奥左路与阿尔瓦雷斯打出踢墙配合，突入禁区左侧距门7米处推进远角，4比0
82'桑普多利亚的反击也有一定效果，禁区内一脚捅射逼得一个角球。                   79'第79分钟，帕拉西奥左路与阿尔瓦雷斯打出踢墙配合，突入禁区左侧距门7米处推进远角，4比0
85'隆巴多上了。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
86'现在桑普多利亚也是练练小将了。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
86'国米禁区内还有机会，但是埃尔纳内斯的传球太高了。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
87'回蓦阑珊处 :国米加油，红军球迷顶你，今晚真开心呀，主播，上墙------你今晚一定很幸福。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
87'我爱你AC米兰队和武汉队 :雯雯姐姐，抽我当会员吧，我是武汉人，武汉卓尔队的铁杆球迷，希望直播中甲联赛啊，谢谢。我还喜欢米兰队和罗马队，希望罗马队夺得今年联赛冠军------希望最后你有机会获得会员。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
88'国米的反击，阿尔瓦雷斯右路连续晃动，球被破坏了。                   85'第85分钟，米利托分球，丹布罗西奥右侧距门13米处左脚打高
