1'上半场比赛开始                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
13'邵佳一直塞找前插的格隆，许博上抢犯规                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
14'国安获得前场右路的任意球机会，邵佳一主罚                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
14'邵佳一任意球开到后点，富力球员解围                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
15'富力的反击，后场长传到前场左路                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
15'张辛昕拿球，面对雅库布的上抢，转身                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
15'球丢啦，雅库布抢断，拿球进入禁区                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
15'禁区左侧的下角度打门，打在边网上                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
16'这球雅库布有点独，中间已经有队友接应了啊                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
16'客户端用户：哪个电视台直播呀？（北京体育、劲爆体育）                   13'第13分钟，北京国安前场右路获得任意球机会，邵佳一主罚任意球到球门后点，许博及时头球解围
17'邵佳一在中场争顶时受伤倒地，富力很友好的将球踢出边线                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
17'上半场17分钟了，比分还是0-0，富力的机会稍多一点                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
18'刘成的后场长传球找拉斐尔，国安球员抢先拦截                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
18'国安的反击，后场直塞打后卫身后                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
19'格隆在接应中，被许博放倒在地                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
19'国安获得前场左路的任意球机会，张稀哲主罚                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
19'任意球开出到禁区，石笑天出击，单拳将球打出底线                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
19'国安右侧角球机会，张稀哲主罚                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
19'角球开出，到点球点附近，富力球员解围                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
20'富力前场的进攻，雅库布禁区线上拿球转身                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
20'接着挑传禁区找接应队友，杨智出击将球揽入怀中                   17'第17分钟，许博后场左路拦截斯隆犯规，北京国安任意球机会，张稀哲主罚到禁区内石笑天飞身将球击出底线
23'杨运拿球分边，达维回防将球碰出边线                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
23'富力被迫换人：唐淼换下受伤的罗斯伊顿                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
23'格隆右路拿球，短传给到张稀哲                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
24'张稀哲的下底传后点，朴成包抄将球打偏                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
24'许博后场拿球，交给拉斐尔                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
24'拉斐尔带球过了中线，过顶找雅库布                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
25'雅库布停球，边路起球到禁区                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
25'国安后卫头球解围，达维跟上的凌空抽射                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
25'杨智准备很充分，侧扑将球拦截                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
26'国安的进攻赢得左侧角球机会                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
26'角球开出到前点，第一点还是被富力球员解围                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
26'富力的反击，拉斐尔拿球过度给到卢琳                   23'第23分钟，广州富力前场右路起球到国安禁区内，张永海头球解围不远，大禁区前沿达维选择直接凌空射门，可惜角度和力度都欠奉，守门员轻松没收
29'张远因累计黄牌停赛，罗伊斯顿受伤下场，现在雅库布又伤。。。。                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
29'邵佳一禁区前沿拿球，短传找进入禁区的格隆                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
29'李喆抢先一步将球踢到边路给刘成                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
30'刘成的后场大脚解围，被扑上来封堵的邵佳一将球碰出边线                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
30'雅库布回来了，一瘸一拐的坚持着比赛                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
30'国安前场的进攻，杨运30米开外的一脚远射，直接放了高射炮                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
31'马季奇中场争抢中拉倒了达维，犯规                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
31'达维任意球直接斜传前场左路给卢琳                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
32'卢琳拿球横带，一扣，摆脱上抢的张永海                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
32'没机会起脚，在过度找达维                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
32'马季奇上抢将球拦截，回传杨智控制                   29'第29分钟，北京国安中场耐心组织进攻，杨云中路控制下去稍作调整起右脚远射，可惜高出了横梁许多
37'邵佳一禁区线上胸部停球，靠着唐淼的转身抽射                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
37'可惜没能踢正部位，直接是个高射炮                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
37'李建华右边路传球到禁区弧顶                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
38'雷腾龙争顶时身后撞倒了卢琳                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
38'富力获得位置极佳的任意球，就在禁区弧内                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
38'拉斐尔、达维和卢琳都在球前，看谁罚                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
39'拉斐尔的任意球大力轰门，直接打在人墙上出边线                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
39'富力的边路传中，拉斐尔争点攻门，顶偏                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
40'国安的前场进攻，格隆横传球找队友                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
40'唐淼上来直接大脚将球开到前场                   37'第37分钟，广州富力禁区前沿赢得位置极佳任意球机会，拉斐尔主罚选择直接劲射，球打在人墙上弹出并未制造太多威胁
41'我们看到张烁离开了替补席，富力又要换人啦                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
41'雅库布受伤无法坚持，被迫被张烁换下                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
42'国安前场的失误，富力的反击                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
42'拉斐尔拿球进入禁区，面对马季奇的防守                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
42'自己趟球过大，再抢时身后推倒了马季奇，犯规                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
43'国安前场进攻，格隆的一脚远射，踢飞啦                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
43'上半场比赛已经进入尾声，比分还是0-0                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
44'李建华的过顶球找张烁，张烁胸部停球被身后的国安球员撞倒                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
44'不过主裁判并没有表示，国安的反击                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
44'张辛昕边路拿球，强突被李建华将球碰出边线                   41'第41分钟，拉斐尔前场右路接连突破多人防守，可惜处理球有点独背后有犯规动作
47'格隆争顶时被吹压人犯规                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
47'马季奇中场的拼抢中放倒了达维                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
48'卢琳前场拿球，边路起球到后点找拉斐尔                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
48'力量稍大，拉斐尔转身将球拿到                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'底线内切时被张辛昕将球解围出底线                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'富力右侧角球机会，并没形成威胁                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'伤停补时也倒计时啦                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'刘成右边路拿球，邵佳一的反抢，身后拉人犯规                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
47'结果人过去了，自己趟球也大了，直接出了底线                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
47'富力前场的进攻，李建华右路拿球内切                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
47'到了禁区外，直接起左脚的怒射，打偏啦                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
48'富力这边派唐淼对格隆如影随形，不离身啊                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
48'格隆背身拿球，靠住唐淼的转身下底传中                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'还是被唐淼抢先一步将球碰出了底线                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'国安获得右侧角球机会，张稀哲主罚                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'角球开出到禁区，第一点被富力球员解围                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
49'马季奇得到第二落点，再传中，还是没威胁啊                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
50'富力的前场进攻，达维的打门打在后卫身上出底线                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
50'富力获得右侧角球机会，卢琳主罚                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
50'卢琳角球开前点，直接被张辛昕化解                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
50'张辛昕的直传球失误，富力前场抢断反击                   47'下半场易边再战，第47分钟，李健华右路内切中路，起左脚劲射球高出了横梁
48'卢琳前场拿球，边路起球到后点找拉斐尔                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
48'力量稍大，拉斐尔转身将球拿到                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'底线内切时被张辛昕将球解围出底线                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'富力右侧角球机会，并没形成威胁                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'伤停补时也倒计时啦                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'刘成右边路拿球，邵佳一的反抢，身后拉人犯规                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
48'富力这边派唐淼对格隆如影随形，不离身啊                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
48'格隆背身拿球，靠住唐淼的转身下底传中                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'还是被唐淼抢先一步将球碰出了底线                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'国安获得右侧角球机会，张稀哲主罚                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'角球开出到禁区，第一点被富力球员解围                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
49'马季奇得到第二落点，再传中，还是没威胁啊                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
50'富力的前场进攻，达维的打门打在后卫身上出底线                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
50'富力获得右侧角球机会，卢琳主罚                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
50'卢琳角球开前点，直接被张辛昕化解                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
50'张辛昕的直传球失误，富力前场抢断反击                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
51'拉斐尔禁区线上的打门被杨智倒地将球揽入怀中                   48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
51'视频-达维凌空爆射落叶球 杨智侧身飞扑稳稳化解                    48'第48分钟，广州富力前场右路配合，唐淼斜塞禁区前沿空挡，达维得球转身劲射球打在后卫身上出了底线
51'拉斐尔禁区线上的打门被杨智倒地将球揽入怀中                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
51'视频-达维凌空爆射落叶球 杨智侧身飞扑稳稳化解                    51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
52'富力后场的过顶长传找张烁，张永海将球解围                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
52'富力前场抢断，拉斐尔和队友的撞墙配合                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
53'拉斐尔穿裆过掉张永海，张永海上前一步，阻挡犯规                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
53'富力获得前场任意球机会，卢琳主罚                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
53'卢琳的任意球攻门，继续打近角上角，踢高啦                   51'第51分钟，拉斐尔前场右路突破造张永海犯规获得前场任意球机会，卢琳主罚任意球直接射门，可惜球稍稍高出了横梁
56'今天杨智的发挥很不错，基本没什么错误，几次出击也是很及时                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
56'富力的前场进攻再次获得任意球机会                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
57'卢琳的任意球开到禁区，达维抢点甩头攻门，杨智球门线上将球扑出                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
57'这个扑救世界级的啊，非常漂亮                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
57'富力进球啦！！！                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
58'卢琳建功！！！！                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
59'达维禁区左侧得球，左脚的打门击中立柱弹出，拉斐尔跟上一漏，卢琳插上迎球怒射，球贴着右侧立柱进网                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
59'同时，国安也换人了：利马换下朴成                   56'第56分钟，广州富力打破场上僵局，前场右路起球到球门后点达维巧妙胸部停球后起左脚劲射，球打在立柱上弹到另外一端，卢琳无人盯防推射破门，场上比分改写为1比0
67'富力又进球啦                   65'第65分钟，广州富力前场左路策动进攻，唐淼直塞球前场空挡，卢琳高速跟进起脚传中，张烁门前抢点垫射，杨智扑了一下也无法阻挡皮球入网，场上比分改写为2比0
67'张烁替补建功！！！                   65'第65分钟，广州富力前场左路策动进攻，唐淼直塞球前场空挡，卢琳高速跟进起脚传中，张烁门前抢点垫射，杨智扑了一下也无法阻挡皮球入网，场上比分改写为2比0
68'卢琳左路拿球，斜传禁区前点，张烁插上接应，右脚的垫射，杨智将球扑了一下，还是没能阻挡球进网，比分2-0                   65'第65分钟，广州富力前场左路策动进攻，唐淼直塞球前场空挡，卢琳高速跟进起脚传中，张烁门前抢点垫射，杨智扑了一下也无法阻挡皮球入网，场上比分改写为2比0
76'国安继续角球机会，开到后点，石笑天直接将球没收                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
76'富力换人：梁岩峰换下一传一射的卢琳！！！                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
77'富力右路的进攻赢得角球机会                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
77'战术角球开出，国安后场的逼抢                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
77'国安后场抢断，长传球到左前场给到王皓                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
77'王皓看到利马处于越位，自己拿球，一脚斜射                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
78'没什么力量，直接被石笑天轻松拿到                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
78'富力左边路的起球到后点，张烁包抄，迫使对方后卫将球解围出底线                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
78'富力获得右侧角球机会，达维主罚                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
79'还是战术角球，李建华回敲达维                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
79'达维低平球传到禁区，第一点被国安球员解围                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
79'李建华回防中的战术犯规                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
79'王晓龙中场拿球失误，拉斐尔的抢断                   76'第76分钟，北京国安快速反击，王皓得球左路急进横来中路起右脚远射，可惜力度欠奉守门员轻松没收
83'富力前场传接球失误，国安左路的反击                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
83'许博补防过来，将球从张辛昕脚下踢出边线                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
84'郎征的传球失误，富力抢断，将球给到达维                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
84'达维前场控球，不紧不慢，面对雷腾龙的上抢，横传失误                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
85'恒大那边目前2-0申花，进球的是申花旧将郜林和张琳芃                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
85'国安的前场进攻赢得角球机会                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
