1'主裁判一声哨响，上半场开始了                   1'巴萨第1分钟控制比赛，黄色潜水艇甘于收缩防守应对
21'梅西任意球主罚，直接是搓一个角度，找右上角                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
21'但是这球没有发力太轻了。。被门将轻松没收                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'费尔南德斯大脚开起来                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'中圈附近罗德里格得球，左侧在给科斯塔                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'斜传直塞被皮克拿下                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'往前送斜线，苏神回撤，右侧拉边                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'一脚传中进去，后点梅西得球，在给到门前                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
22'内少小禁区包抄，外脚背低射，有了                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
23'来自MSN的配合进球                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
23'右侧苏神起球传中，后点梅西把球拿好，冷静的塞到门前，内少包抄，停球顺势外脚背轻拨，打进                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
23'巴萨还是比较顺利的打开了局面                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
24'右侧罗贝托拿球，横敲给小白                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
24'大范围转移到左侧内少，突破到禁区边缘                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
24'横敲到弧顶内，穆萨基奥上抢解围                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
24'后场皮克交给拉基蒂奇，中路找梅西                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
24'大范围转移，左侧内少拿球，埋头骨干                   21'巴萨第21分钟取得领先，苏亚雷斯突入禁区右侧传球，梅西禁区左侧射门打中马里奥偏转，内马尔近距离单刀捅射入网
32'在给门将特尔施特根，向前，弧顶找到小白                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
32'连续的传递，巴萨式配合                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
32'内少左侧被马里奥断下                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
32'马里奥大范围的转移，科斯塔拿球                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
32'在给身前的特里格罗斯，横敲罗德里格                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
32'再分右侧索尔达多，低球向前直塞                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
33'给的非常好，巴坎布反越位。。。单刀了                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
33'长驱直入，，杀到小禁区右侧，低射，推入近角                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
34'多斯桑托斯断球，直塞给到前插的巴坎布，长驱直入，单刀冷静推入，嗜血啊。。。                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
34'黄潜果然不好惹啊。很快扳平了                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
34'罗贝托右侧拿球，横敲给苏神                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
34'苏神禁区外转身强射，冈萨雷斯堵住枪口，弹出了底线                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
34'右侧内少角球开起                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'找到前点，小白后蹭，拉基蒂奇后点控制                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'在给外围迪涅，回敲乌姆蒂蒂，转到右侧                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'梅西接球，横敲小白，低传直塞                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'左侧迪涅高速前插，但是越位了                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'貌似是个误判啊                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
35'费尔南德斯定位球开起                   32'比利亚雷亚尔第32分钟扳平，索尔达多直传，巴坎布甩开皮克突破至禁区右肋10码处单刀射入近角，1-1
46'中路定位球，特里格罗斯主罚，直接大力远程发炮                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'特尔施特根稳稳没收                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'大脚开出来                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'左侧进攻，内少拿球推进                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'连续的过人，禁区前沿倒地，但自己马上站起来，横拨给梅西                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'梅西禁区前沿连续的摆脱，，左脚兜射一个标志性的内脚背弧线                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'有了，，，球进了                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
47'梅西，巨星表现。。自己闪过了一条防线，之后的射门是打在对方身上折射入网。。现象级的表演                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
47'左侧内少一条龙，禁区前沿左侧无法继续遭遇紧逼后拨给梅西，梅西带球摆脱，禁区前沿怒射折线入网                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'下半场开始了，黄色潜水艇开球                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'巴坎布回敲冈萨雷斯                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'直传给到特里格罗斯，斜传右侧                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'马里奥拿球，回敲给穆萨基奥，再往前给                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
46'苏神把球断下，向前给到左侧内少                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
47'杀入禁区边缘，直奔底线，横敲                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
47'低球传中，费尔南德斯倒地扑住                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
47'梅西本赛季已经打入50球，也是五大联赛里本赛季第一个打入50球的人                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'费尔南德斯大脚开起来                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'中圈附近，多斯桑托斯左侧给到罗德里格                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'转移到右侧马里奥拿球                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'回敲给穆萨基奥，斜传向前                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'给到右侧，迪涅拼抢下来                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
48'交给中路皮克，斜传到右侧这边                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'罗贝托拿球，横敲中间苏神，护球转身在向前输送炮弹                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'身前没有同伴插上，费尔南德斯把球收走                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'大脚开起来                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'前场右侧，梅西把球控制，横敲中路小白                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'再分到右侧，索里亚诺回防抢断                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
49'大步流星往前反击，皮克过来破坏出边线                   46'比利亚雷亚尔1分钟后还以颜色，索里亚诺左路传中，无人防守的索尔达多小禁区边缘头球攻门偏出
45'中圈附近梅西回来接应，在给右侧                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
45'罗贝托上来，挑传禁区中央                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
45'苏神头球摆渡，，第二点马里奥解围                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
45'外围多斯桑托斯拿球反击，中路直塞                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
45'索尔达多拿球被放倒了                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
45'拉基蒂奇的犯规                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'中路定位球，特里格罗斯主罚，直接大力远程发炮                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'特尔施特根稳稳没收                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'大脚开出来                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'左侧进攻，内少拿球推进                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'连续的过人，禁区前沿倒地，但自己马上站起来，横拨给梅西                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'梅西禁区前沿连续的摆脱，，左脚兜射一个标志性的内脚背弧线                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'有了，，，球进了                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
47'梅西，巨星表现。。自己闪过了一条防线，之后的射门是打在对方身上折射入网。。现象级的表演                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
47'左侧内少一条龙，禁区前沿左侧无法继续遭遇紧逼后拨给梅西，梅西带球摆脱，禁区前沿怒射折线入网                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'下半场开始了，黄色潜水艇开球                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'巴坎布回敲冈萨雷斯                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'直传给到特里格罗斯，斜传右侧                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'马里奥拿球，回敲给穆萨基奥，再往前给                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
46'苏神把球断下，向前给到左侧内少                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
47'杀入禁区边缘，直奔底线，横敲                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
47'低球传中，费尔南德斯倒地扑住                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
47'梅西本赛季已经打入50球，也是五大联赛里本赛季第一个打入50球的人                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'费尔南德斯大脚开起来                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'中圈附近，多斯桑托斯左侧给到罗德里格                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'转移到右侧马里奥拿球                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'回敲给穆萨基奥，斜传向前                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'给到右侧，迪涅拼抢下来                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
48'交给中路皮克，斜传到右侧这边                   45'巴萨第45分钟再次超出，布斯克茨传球，梅西突破至20码处劲射打中马里奥后偏转入右下角，2-1
69'特尔施特根大脚开出                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
69'中路特里格罗斯把球拦截，斜传左侧，裁判哨响，索里亚诺越位了                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
69'巴萨快发，中路找苏神，护球，和同伴一个撞墙                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
69'转身到了禁区右肋，苏神再拿球                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
69'转身抽射，，，有了，小角度                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
70'MSN一人一个，全开胡了                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
71'罗贝托分球给到小禁区右侧插上的苏神，苏神带了一步，一扣，晃开防守，大力金刚腿抽远角，费尔南德斯碰了一下，但未能阻止皮球入网                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
71'巴萨后场控球，皮克横敲给布教授                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
71'在交给梅西，连续的传递，后场乌姆蒂蒂拿球                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
72'在给到布教授，低传向前，拉基蒂奇回敲小白                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
72'在选择向后，皮克低传向前，中路给梅西                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
72'梅西拿球被放倒了，裁判掏出黄牌，给到索尔达多                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
72'巴萨扩大领先优势的话，这场基本应该能够确定拿下了                   69'巴萨第69分钟扩大比分，塞尔吉-罗伯托传球，苏亚雷斯转向摆脱阿尔瓦罗后在小禁区右上角外劲射被扑挡后入网，3-1
77'机会来了，小角度单刀机会，面对出击的门将，选择挑射                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
77'费尔南德斯单掌把球扑下                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
77'这球内少有点随意了啊，想当然了                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
77'费尔南德斯大脚开出来                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
78'中路苏神得球，在分到禁区前沿                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
78'梅西拿球倒地了，，裁判没有表示                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
78'穆萨基奥后场把球开起来                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
78'前场中路巴坎布前插，瞬间出现了单刀机会                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'过掉出击的特尔施特根，转身在传，皮克倒地滑铲解围                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'巴萨这防线，确实不怎么稳啊                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'外围内少拿球被穆萨基奥放倒                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'穆萨基奥吃到黄牌                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'巴萨继续换人，小马哥替下罗贝托                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
79'巴萨后场定位球开出                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'左侧乌姆蒂蒂低传，给到苏神                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'在和同伴来一个配合，分到右侧找梅西                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'快速推进，杀到禁区前沿                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'右侧斜塞进去，，内少包抄越位                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'比利亚雷亚尔后场定位球开起来                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
80'前场中路乌姆蒂蒂得球，在给小白，交给右侧小马哥                   77'第77分钟，特尔施特根出击拦截落空，在仅剩空门的情况下，皮克禁区内做出漂亮铲断
82'苏神垫了一脚，正好打在科斯塔手臂上，裁判给了点球                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
82'点球的同时，主裁还给科斯塔一张黄牌                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
82'梅西主罚，操刀。。左脚一个轻松的勺子                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
83'费尔南德斯完全判断错误，勺子点球直接吊入网窝                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
83'本赛季个人第五个点球，第35个联赛进球                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
83'巴萨继续换人，戈麦斯上来，替下拉基蒂奇                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
84'巴萨彻底锁胜，比利亚雷亚尔堪称西甲仅次于马竞的这条防线，没有经受住考验啊                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
84'右侧马里奥拿球，直传向前                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
84'桑索内插上越位了                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
84'后场右侧给梅西，斜线直传                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
84'内少接球，在给前插的阿尔巴                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'回敲给小白，在传，被特里格罗斯断下                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'转到左侧，多斯桑托斯直传向前                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'桑索内再一次越位                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'巴萨后场给到布教授，在给梅西，横拨中间的内少                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'内少挑传到禁区，穆萨基奥把球挡出                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
85'外围拼抢，内少反抢犯规                   82'第82分钟，内马尔禁区左侧转身过人后传中，苏亚雷斯10码处抽射被J-科斯塔用手封堵，梅西罚入勺子点球，4-1
