6'维拉蒂分右侧默尼耶！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
38'反击给内马尔！背身拿球被断了！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
38'特拉奥雷弧顶得球直接远射！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
39'被防守球员挡了一下！球被布冯拿到！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
39'反击给中路姆巴佩！交给内马尔！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
39'内马尔突破球被断了！反抢踢人犯规！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
39'裁判给了内马尔黄牌！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
39'这球蹬踏了！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
40'巴黎换人了！科雷尔换下卡瓦尼！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
41'里昂中路分右侧特拉奥雷！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
41'挑传中路被防守球员挡出！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
45'布冯长传前场！维拉蒂拼抢犯规！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
45'裁判给了维拉蒂黄牌！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
45'这裁判似乎比较容易出牌呢！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
45'里昂外围一脚远射！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
46'球被布冯没收了！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
46'里昂右侧进攻！直塞球被清理出边线！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'默尼耶短传姆巴佩！转身反击推进！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'姆巴佩被图萨尔特踢倒犯规！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'裁判给了图萨尔特黄牌！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
48'两黄变一红！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
48'图萨尔特被罚下！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
48'这下两边都是10个人！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
46'裁判哨响！下半场开始了！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
46'巴黎中圈开球！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'巴黎中路直塞禁区左侧！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'姆巴佩单刀推射！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
47'被门将扑出啊！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
48'球被解围出去！                   45'第45分钟，奥亚尔禁区外突然起脚射门，布冯倒地将球扑住
48'两黄变一红！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
48'图萨尔特被罚下！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
48'这下两边都是10个人！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
50'姆巴佩右侧强行突破禁区！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
50'对抗倒地！裁判没有表示！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
48'球被解围出去！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
49'里昂左侧传中！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
49'混乱中球到了禁区中路！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
49'科尔内的推射！被布冯拿到！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
49'科尔内右侧强行突破！球被解围出去！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
50'维拉蒂后场推进！被门迪犯规了！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
51'巴黎后场推进！给到中圈维拉蒂！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
51'直传内马尔！转身分左侧迪马利亚！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
51'回传中路内马尔！交给马尔基尼奥斯！                   48'第48分钟，蒂亚戈-席尔瓦禁区内解围失误，科尔内近距离推射被布冯扑住
56'里昂左侧三角进攻！越位在先了！                   56'第56分钟，姆巴佩突入禁区想要过门将，被洛佩斯化解
57'巴黎反击直传禁区姆巴佩！                   56'第56分钟，姆巴佩突入禁区想要过门将，被洛佩斯化解
57'球被解围出去啊！                   56'第56分钟，姆巴佩突入禁区想要过门将，被洛佩斯化解
59'奥亚尔绊倒内马尔犯规！裁判给了黄牌！                   56'第56分钟，姆巴佩突入禁区想要过门将，被洛佩斯化解
59'巴黎前场任意球！距离球门很远！                   56'第56分钟，姆巴佩突入禁区想要过门将，被洛佩斯化解
46'球被布冯没收了！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
46'里昂右侧进攻！直塞球被清理出边线！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'默尼耶短传姆巴佩！转身反击推进！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'姆巴佩被图萨尔特踢倒犯规！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'裁判给了图萨尔特黄牌！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
48'两黄变一红！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
48'图萨尔特被罚下！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
48'这下两边都是10个人！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
46'裁判哨响！下半场开始了！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
46'巴黎中圈开球！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'巴黎中路直塞禁区左侧！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'姆巴佩单刀推射！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
47'被门将扑出啊！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
48'球被解围出去！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
49'里昂左侧传中！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
49'混乱中球到了禁区中路！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
49'科尔内的推射！被布冯拿到！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
49'科尔内右侧强行突破！球被解围出去！                   46'1分钟后，巴黎扩大比分，内马尔突入禁区后强行射门被对方封堵，姆巴佩跟上抽射，球打在门柱后弹向另一侧门柱后再弹入网，巴黎2-0领先里昂
69'里昂右侧角球给到小禁区！球被布冯摘下！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
69'内马尔左侧反击！直塞给姆巴佩！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
69'姆巴佩单刀了！冷静推射！！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
70'GOOOOOOOOOOAL！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
70'姆巴佩完成帽子戏法！！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
70'里昂已经无力回天了！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
72'贝尔纳特左侧回传维拉蒂！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
72'交给蒂亚戈-席尔瓦！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
72'挑传禁区左侧！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
72'球给大了出了底线！                   69'第69分钟，巴黎继续进球，内马尔前场分球，姆巴佩突入禁区再次获得单刀机会，面对洛佩斯轻巧挑射破门，上演帽子戏法，巴黎4-0领先里昂
78'里昂右侧反击横传！被默尼耶解围出底线！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
78'里昂右侧角球！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
79'角球给到后点！默尼耶头球解围！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
79'德佩左侧得球！传中到中路！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
79'蒂亚戈-席尔瓦大脚解围了！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
80'布冯挑传右侧默尼耶！回传蒂亚戈-席尔瓦！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
80'直传中路马尔基尼奥斯！分左侧贝尔纳特！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
80'贝尔纳特二过一配合！突破禁区！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
81'球被铲了一下！最后贝尔纳特出了底线！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
81'德佩中路突破突然吊门！                   78'第78分钟，门迪远射没有吃正部位，将球打飞
88'内马尔左侧得球推进！突破禁区！                   88'第88分钟，姆巴佩传中，内马尔尝试倒钩射门将球打高
88'横向内切球被捅出去！                   88'第88分钟，姆巴佩传中，内马尔尝试倒钩射门将球打高
88'贝尔纳特左侧挑传禁区右侧！                   88'第88分钟，姆巴佩传中，内马尔尝试倒钩射门将球打高
89'内马尔倒钩打门打飞了！                   88'第88分钟，姆巴佩传中，内马尔尝试倒钩射门将球打高
