8'中路横敲被恩东断下，回敲给洛维                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
11'身前交给菲尔米诺，内切突破                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
11'杀到禁区左侧，洛维紧跟过来，一个大脚出去                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
11'后场右侧，洛夫伦得球，在给身边詹，过渡到克拉万脚下                   8'利物浦第8分钟连续施压，马内传球，斯图里奇禁区右侧的射门被曼诺内扑出
19'右肋直塞，斯图里奇跟上射门，被曼诺内封堵出去                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
19'利物浦继续疯狂施压                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
19'米尔纳左侧低传进来                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
19'拉拉纳停球被逼得无法转身，奥谢解围出边线                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'左侧菲尔米诺交给中间马内                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'弧顶外张弓搭箭，怒射，，吉洛鲍吉挡出                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'外围马内在给到禁区，左侧拉拉纳在传                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'拉尔森挡出底线                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'右侧角球开出，，进球了                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
20'利物浦客场顺利取得领先，进球的是斯图里奇                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
21'右侧角球开出，禁区中央洛夫伦抢先垫了一下，小禁区右侧斯图里奇跟上头球，砸入网窝                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
21'非常酷毙帅呆的一记回头望月                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
22'米尔纳左侧推进，长传冲吊                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
22'吉洛鲍吉把球断下，长传再给出来                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
22'詹中路得球，回敲给洛夫伦，身前在给詹，低球给到右侧马内                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
22'往前走，拉拉纳得球，遭遇逼抢，往回带                   19'利物浦第19分钟取得领先，米尔纳开出角球，洛夫伦禁区边缘内扫射门前，斯图里奇近距离头球破门
47'拉拉纳停球手球了，没有能够逃过裁判法眼                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'桑德兰后场长传出来                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'边路克莱因头球解围出边线                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'贾努扎伊边路突破，下底传中                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'造成角球机会                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'上半场最后时刻桑德兰角球有机会哦                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'右侧角球开出，质量不高啊                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'米尼奥莱出击，稳稳摘下                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'上半场结束了                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'利物浦界外球给到斯图里奇，回敲给拉拉纳                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'往前走，在给克莱因，没机会，回敲洛夫伦                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'在转移到左侧克拉万，斜传身前的拉拉纳                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
47'中路在交给马内，分边到右侧                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'拉拉纳45度，斜吊，禁区中央                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'第一点被解围                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'贾努扎伊外围得球，在给前面迪福                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'背身拿球，横敲中路，被詹拦截                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'詹反击过来，直塞禁区左肋                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'斯图里奇插上，，强力的插入，，可惜越位了                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
48'曼诺内大脚开出                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
49'中场桑德兰积极上抢，把球权拿下                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
49'回敲给吉洛鲍吉，大脚开出                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
49'后场马内把球拦截，在给詹，右侧分拉拉纳                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
49'回敲给到克拉万，左侧挑传找莫雷诺直接送出了界外                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
50'维纳尔杜姆系了一下鞋带                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
50'比赛继续，桑德兰界外球直接扔到了拉拉纳面前                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
50'右侧交给克莱因，罗德维尔抢断                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
50'回敲吉洛鲍吉，斯图里奇凶猛的逼抢上来                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
50'吉洛鲍吉直接踢出边线                   47'桑德兰2分钟后错过反超机会，迪福单刀突入禁区被米尼奥莱出击扑出，博里尼禁区右侧补射被克拉万挡偏出远角
56'长传调度，左侧找到莫雷诺，前场压上                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
56'中路给斯图里奇，低球斜传到右路                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
56'克莱因跟上，吊向禁区                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
56'还是桑德兰的球员破坏出去                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
57'右路桑德兰交给洛维，长传到前场                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
57'莫雷诺把球破坏出边线                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
57'界外球给到底线附近，博里尼底线护球被断                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
57'桑德兰前场反抢，禁区内博里尼调整之后，射门被后卫挡出                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
58'迪福捡到球权，再射，，又是被挡出                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
58'贾努扎伊外围传中，，詹有手球嫌疑                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
58'桑德兰要点球，，裁判没理睬                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
58'这球确实是打在手臂上了，不过之前判过一个点球，裁判不会再轻易判点了                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
59'克拉万分到洛夫伦脚下，中路在给詹                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
59'左侧转到莫雷诺，回敲身后拉拉纳                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
59'45度斜吊禁区，第一下进攻队员争到                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
59'但是见高不见远啊，奥谢补一脚解围                   56'利物浦第56分钟错过机会，克莱因右路传中，但马内近距离头球攻门蹭偏
72'又是利用角球的破门，，，马内                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
72'右侧角球开出，前点争顶，吉洛鲍吉头球甩到后点，乌龙助攻，，马内后门柱轻松推射空门                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
73'渣叔换人，维纳尔杜姆被奥里吉替下                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
73'博里尼前场拿球，给到曼基略，回敲到吉洛鲍吉                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
73'大脚往前甩一个                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
73'莫雷诺头球回顶给到米尼奥莱                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
73'大脚开出来                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
74'奥里吉前场得球，自己挑球过人                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
74'右路面对范安霍尔特，被断了                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
74'曼基略后场分边，在给到恩东                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
74'中路拉尔森直塞到前面，找迪福                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
74'在给到贾努扎伊，左侧没机会，回敲到后面                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
75'奥谢给到拉尔森，大范围斜传                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
75'贾努扎伊左侧拿球，在给中间                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
75'迪福禁区前沿摔倒，裁判没有理会                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
75'拉拉纳交给奥里吉，左侧在给莫雷诺                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
75'利物浦不着急了，慢慢来                   72'利物浦第72分钟再次超出，斯图里奇同拉拉纳配合后劲射被扑出，吉洛博吉角球混战中前点头球解围失误，马内近距离推射破门，2-1
84'迪福继续站上点球点                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
84'迪福助跑，右脚爆射左侧，，还是同样的位置，这次是骗过了米尼奥莱打进                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
84'迪福点球很稳嘛                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
85'桑德兰今天是2个点球破门，利物浦是2个角球破门，有意思                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
85'场边渣叔也是乐了，，今天看来真是不走运                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
85'时间还有，，利物浦想要3分抓紧吧                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
85'拉拉纳也被补了黄牌，好像是刚才吹点时候对裁判口出不逊                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'马内中路斜传，左侧菲尔米诺背身拿球                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'转身倚住后卫，强起一脚，，没什么威胁。被没收                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'奥谢左侧给到范安霍尔特，在挑传                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'洛夫伦把球解围出去                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'中路詹得球，在给左侧菲尔米诺                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
86'低传给到奥里吉，恩东防守撞倒了奥里吉                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'左侧定位球机会                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'莫雷诺主罚，送到禁区中央                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'克拉万人丛中跃起，头球一甩                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'这球太远了，没多少力量，被曼诺内轻易收下                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'卢卡斯中圈拼下球权，回给克拉万，在给门将                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
87'大脚开出                   84'桑德兰第84分钟再次扳平，拉尔森禁区前任意球射门打在人墙中的马内手上，裁判判罚极刑，迪福再射左下角入网，2-2
