21'张晓彬左路和杨笑天的配合，可惜后者并未跑到接应位置                   21'上半场第21分钟海森接吕文君送球，禁区左路小角度射门得分
51'上港左路起球到后点，吕文君头球摆渡，被舜天球员破坏                   50'第5分钟舜天快速反击，吉翔右路传中，吴曦中路推射远角稍偏
52'张晓彬拿球，直塞想给萨米尔，打在了上港球员身上                   50'第5分钟舜天快速反击，吉翔右路传中，吴曦中路推射远角稍偏
53'上港前场连续传切配合，王燊超禁区内拿球，起脚打门，打在了防守球员身上                   50'第5分钟舜天快速反击，吉翔右路传中，吴曦中路推射远角稍偏
66'下半场比赛也已经20分钟了，比分1-2，舜天主场落后                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
67'孔卡后场背身拿球，转身横切，再送过顶找武磊                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
67'武磊停球，抬头一看没有队友上来，控制一下                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
67'武磊横传中间想给达维，力量轻了点，被断                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
67'上港中场抢断，左路反击                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
67'海森禁区左上角拿球，斜塞打身后                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
68'武磊跟进推射破门，可惜边裁举旗，越位在先，进球无效！！！                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
69'达维中场拿球，横传左侧给上来的孙祥                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
69'孙祥再给武磊，武磊转移球找孔卡                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
69'球被舜天球员上来破坏出边线                   66'第21分钟上港把握住一次机会，吕文君左路得球后向前直塞，海森摆脱奥特森，在近乎零角度的位置强行射门，张思鹏站位靠外，皮球蹭着张思鹏的手后飞入大门远角，1比0，上海上港第一次实质射门就取得进球
