28'重庆力帆队进球啦！费尔南多，1-0                   28'第28分钟，山东鲁能后防线回传失误，费尔南多断球单刀破门
52'刘彬彬要上场啦！                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
52'邓小飞大脚开球到前场，西塞解围出边线                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
53'鲁能泰山队换人：刘彬彬上场，换下金敬道                   50'下半场易边再战，第50分钟，蒿俊闵中路送出弧线球传中，西塞快速插上远距离甩头攻门，球被邓小飞没收
57'这谁啊？费尔南多，刚过中线就一脚大力吊门！高出                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
57'佩莱右路真丧尽天良示，打在对方脚后跟上出边线                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
57'重庆力帆队快速反击，左路攻到前场，吉尔把球防下来                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
57'吉尔一对一的能力还是非常强的                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
58'吴兴涵左路一对一突破横传禁区，被陈雷挡出底线                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
58'鲁能泰山队得到角球机会                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
58'蒿俊闵发角球到前点，陈雷将球顶出                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
59'刘洋左路横传，对方顶出来                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
59'吴兴涵左路横传，佩莱回传球，戴老板左脚打门！高出                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
59'刚才是刘洋的一脚回传，非常漂亮                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
60'刘彬彬右路强突横传低平球，被挡出边线                   57'第57分钟，吴兴涵带球被断球，费尔南多晃过蒿俊闵后看到王大雷站位靠前，选择直接吊射，球稍稍高出横梁
63'蒿俊闵前场左路拿球，费尔南多上抢，球出边线                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
63'吴兴涵在前场停球时手球犯规                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
63'刘洋左路带球到前场，交给佩莱！                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
64'佩莱带球突破一脚打门，打在对方身上变向出底线                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
64'险些打进啊！                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
64'鲁能泰山队得到角球机会                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
64'蒿俊闵发角球到禁区内，吉尔抢点头球顶门！稍稍高了一点！                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
65'鲁能泰山队长传球，佩莱回传                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
65'吴兴涵左路强横传禁区！直接从另一侧出底线                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
66'鲁能泰山队高压节奏，重庆力帆队能不能坚持跟上！                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
66'王彤外围得球，一脚大力远射！打偏了                   63'第63分钟，刘洋边路突破内切中送出直塞，佩莱插上直接低射，球打在后卫身上形成吊射，球擦着立柱偏出
66'鲁能泰山队高压节奏，重庆力帆队能不能坚持跟上！                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
66'王彤外围得球，一脚大力远射！打偏了                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
67'重庆力帆队连换两人！                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
67'郑涛上场换下丁捷                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
68'王维成上场换下南松                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
68'佩莱右路接球，被断，反抢犯规                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
69'刘彬彬右路得球，横传禁区！到后点                   66'第66分钟，蒿俊闵分球，王彤禁区外突然发力远射偏出
75'刘彬彬右路传中，对方破坏出边线                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
75'蒿俊闵右路斜传禁区！！吴兴涵被拉倒在地！                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
75'陈雷的犯规啊！！裁判没有吹？                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
76'中场双方争顶，吴兴涵被推倒                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
76'鲁能泰山队就是走右路！斜传禁区又被破坏                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
77'吉尔在前场得球，挑传佩莱，大了一点                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
78'蒿俊闵中场背身传球，打在对方手上                   75'第75分钟，蒿俊闵直接斜传禁区，陈雷禁区内拉倒吴兴涵，但主裁判并未判罚点球
81'费尔南多右路突破打门，吉尔挡了一下，王大雷没收                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
81'刘彬彬右路横传禁区！佩莱头球顶门，可惜顶偏了                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
82'鲁能泰山队进球啦！！佩莱！！！1-1                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
82'佩莱赛季首粒进球！！！                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
83'张弛右路横传禁区！佩莱停球后在多人防守下小角度打门！皮球直奔死角！                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
83'重庆力帆队进攻，张弛防守犯规！                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
83'主裁判给张弛出示了黄牌！                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
83'放倒了彭欣力                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
84'费尔南多发角球到禁区内，被顶出来                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
84'鲁能泰山队快速反击！吴兴涵交给西塞                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
84'重庆力帆队断球反击，被西塞断下来                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
84'佩莱在前场接球！被放倒在地！                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
84'鲁能泰山队得到位置不错的任意球机会                   81'第81分钟，刘彬彬边路弧线球传中，佩莱甩头攻门高出横梁
88'任意球发到禁区内，太低了些                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
88'前场鲁能泰山队断球，蒿俊闵转移到左路，对方解围                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
88'张弛右路接刘彬彬的回传球，强突大力打门！高出横梁                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
89'卡尔德克在前场抢球时犯规                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
89'鲁能泰山队得到后场任意球                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
89'王大雷示意全队压上                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
89'王大雷大脚七球到前场，佩莱顶了一下                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
90'张弛直传球，刘彬彬横传禁区！被挡出来                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
90'蒿俊闵中场传球失误，传到对方脚下                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
91'下半场要补时 4 分钟                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
91'鲁能泰山队换人：成源上场，换下刘洋！                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
91'作为U23 球员，刘洋表现不俗！                   88'第88分钟，张弛边路拿球内切突然起脚远射，球稍稍打高
