5'加比奥内塔在前场左中睡接球，脚后跟传球出边线                   5'开场5分钟，山东鲁能利用快速反击觅得机会
11'塔尔德利左路接球，横传球，被断                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
11'杭州绿城队又进球啦！2-0，阿甘                   8'第8分钟，杭州绿城打破僵局，冯刚刚过中场得球送出远距离长传，戴琳盯人不紧，罗竞不等皮球落地直接凌空大门，球穿王大雷裆下入网，杭州绿城1-0领先
13'皇马、阿森纳，有哪支球队在10分钟就丢两球？然后再去追？                   13'第13分钟，杭州绿城扩大比分
14'鲁能泰山队短传配合，右路到前场                   13'第13分钟，杭州绿城扩大比分
14'蒙蒂略右路下底横传，被挡出底线，角球机会                   13'第13分钟，杭州绿城扩大比分
14'角球发到前点，对方破坏出来                   13'第13分钟，杭州绿城扩大比分
15'尤西雷后场控球，横传转移                   13'第13分钟，杭州绿城扩大比分
15'鲁能泰山队长传球，被对方破坏回来                   13'第13分钟，杭州绿城扩大比分
15'戴琳后场控制球，交给左路的郑铮                   13'第13分钟，杭州绿城扩大比分
16'杭州绿城队断球长传前场左路，阿甘接球横向突破右脚低射，被王大雷没收！                   13'第13分钟，杭州绿城扩大比分
18'杭州绿城队右路攻到前场，直传球被断                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
18'中场杭州绿城队断球，右路传球，斯皮拉诺维奇被放倒                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
18'蒙蒂略的犯规，送给杭州绿城队中场右翼任意球机会                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
19'刚才犯规的应该是阿洛伊西奥，受伤倒在地上                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
19'塔尔德利中场得球，转身突破被断                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
19'杭州绿城队中路直塞球，没能过去                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
20'张文钊右路横传禁区，传得高了些，阿洛伊西奥和蒙蒂略都顶不到！                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
20'阿甘前场左路得球，和赵明剑一对一，强突到禁区内，被包夹                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
21'用户5555042411：就喜欢看鲁能的比赛，进球多啊！！！[回复]:也是，今天丢球也多                   18'第18分钟，山东鲁能前场丢球被打反击，赵宇豪送出斜塞球，阿甘得球边路内切后远射，球被站位较好的王大雷没收
30'任意球发到禁区内，阿洛伊西奥头球甩门，球进！                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
30'助理裁判给无情的吹掉了！不过从慢镜来看，越不越位在两可之间！                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
30'蒙蒂略右路强突，被挡在身后                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
31'鲁能泰山队斜长传，阿甘倒勾解围，球出边线                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
32'绿城队后卫看到球传到禁区内，有点慌乱，头球顶向门将，更象是在进攻！                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
32'绿城队大脚长传前场，王大雷出击把球没收                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
33'塔尔德利在前场抢球出边线                   30'第30分钟，山东鲁能任意球配合，阿洛伊西奥门前头球顶入球门，但边裁示意越位在先，进球无效，慢镜头显示，边裁有误判嫌疑
45'绿城队左路挑传进攻，传得大了些，直接出底线                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
45'上半场比赛结束，杭州绿城队2-0领先鲁能泰山队！                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
46'下半场比赛开始                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
46'杭州绿城队开球，回传一脚，再走左路进攻                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
46'杭州绿城队左路攻到前场，对方把球破坏出边线                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
47'界外球发出来，鲁能泰山队断球传到中场，又送还给对手                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
47'绿城长传前场左路找罗竞，李微把球破坏出边线                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
48'绿城队左路下底，对方护球出底线，球门球                   45'第45分钟，蒙蒂略过人后送出挑传，张文钊快速插上小角度射门，球被防守队员挡出
60'任意球直接打门，皮球贴着左侧立柱偏出！                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
60'这个任意球的质量还是真高                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
61'杨旭在禁区内接球，转身一脚打门！高啦！                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
62'张弛在中场争头球时推人犯规                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
63'阿洛伊西奥右路强行横突，曹海清把球破坏出底线，角球                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
63'蒙蒂略发角球到禁区内，戴琳头球顶门，被挡出来                   60'第60分钟，阿甘禁区前沿拿球摆脱时被放倒，冯刚操刀主罚弧线球转下角，球擦着立柱偏出
67'绿城队外围远射，被王大雷扑了一下                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
67'鲁能泰山队再换人：吴兴涵上场，换下张弛                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
67'鲁能泰山队要打三后卫                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
68'塔尔德利传球，吴兴涵突破造成赵宇豪犯规                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
69'这是个吃牌子的动作                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
69'鲁能泰山队得到前场任意球机会                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
69'蒙蒂略发任意球打门，打在了对方队员身上                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
70'杨旭突破传给塔尔德利，打配合，塔尔德利再传球，杨旭过去没能停到球                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
70'蒙蒂略一脚远射，打高啦                   67'第67分钟，山东鲁能后场传球失误，杭州绿城断球后直接大力远射，球被王大雷倒地侧身将球扑出
70'杨旭突破传给塔尔德利，打配合，塔尔德利再传球，杨旭过去没能停到球                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
70'蒙蒂略一脚远射，打高啦                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
71'赵明剑右路大脚传球，被挡出边线                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
72'鲁能泰山队在前场传球失误，绿城队快速反击                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
72'陈柏良右路带球快速反击，被断                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
72'瑞鲁能泰山队急需要一粒进球，如果能扳回一球，对方的压力就大了                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
72'赵明剑右路斜传禁区，阿洛伊西奥头球顶门，没能顶正                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
73'杭州绿城队换人：程谋义上场，换下陈柏良                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
73'杭州绿城队这次换人，就是为了加强防守                   70'第70分钟，杨旭禁区内带球被解围，蒙蒂略禁区外胸部停球后凌空抽射，球再次高出横梁
73'杭州绿城队换人：程谋义上场，换下陈柏良                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
73'杭州绿城队这次换人，就是为了加强防守                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
74'鲁能泰山队换人：刘彬彬上场，换下阿洛伊西奥                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
74'刘彬彬右路下底突破横传，制造了角球                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
74'蒙蒂略发角球到禁区内，对方抢点顶出来                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
75'吴兴涵左路强突转身，被破坏出底线，角球                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
75'蒙蒂略发角球到前点，对方顶出来                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
75'鲁能泰山队连续打门，都打不透啊！均被挡回来                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
76'鲁能泰山队右路下底横传禁区，杨旭争顶时被吹了犯规                   73'第73分钟，程谋义换下陈柏良，刘彬彬换下阿洛伊西奥
84'塔尔德利左路强突横传禁区，被破坏出来                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
85'刘彬彬带球突破，曹海清放铲犯规！吃到了黄牌                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
85'鲁能泰山队得到任意球机会                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
85'任意球发到门前，对方把球破坏出来                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
86'阿甘在前场得球，分到边路                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
86'冯刚接应突破，造成对方犯规                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
86'杭州绿城队得到任意球机会                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
87'低平球发到禁区内，乱军中球顶起来，尤西雷把球顶出底线                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
87'战术角球发出来，郑铮抢球又出底线                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
87'杭州绿城队再次得到角球机会                   84'第84分钟，曹海清放倒刘彬彬，被黄牌警告
