1'上半场开始了，拉科开球                   1'巴萨第1分钟展开围攻
25'三脚传递撕开防线，劳雷拖在最后苏神不越位                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
26'小白左侧直塞到禁区前沿弧顶位置，梅西不停球直接做给禁区内的苏神，劳雷远端拖在后面，苏神单刀面对曼努轻松推射得手                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
27'巴萨这场应该是触底反弹了，面对比较面的拉科，巴萨这场估计没什么问题了                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
27'拉科今天的战术有些问题，开场之后进攻投入比较大，没有摆大巴                   24'巴萨第24分钟扩大比分，伊涅斯塔传球，梅西第一时间轻敲送出妙传，苏亚雷斯10码处单刀破门，2-0
53'布斯克茨中场拿球，在给到内少                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
53'阿尔巴得球，左路斜传给到梅西                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
53'巴萨又进球了，屠杀啊                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
54'苏神帽子戏法了                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
55'梅西送助攻，直塞禁区右侧，苏亚雷斯跟上！右脚外脚背打门，很巧妙的躲开了曼努的封堵                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
55'这下比赛没有什么悬念了                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
55'劳雷右路助攻上前，面对阿尔巴，突破制造角球                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
56'阿尔维斯和卡尼发生争执，两个六号                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
56'拉科右路战术角球，送入到门前，布斯克茨解围出来                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
56'外围拉科这拨进攻没有结束，还是劳雷这边                   53'巴萨第53分钟继续破门，梅西反击中直传，苏亚雷斯12码处顺势捅射入网上演帽子戏法，4-0
64'苏神大四喜了                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
64'刚刚哪位球迷预测的，苏神果然大四喜了，还有一个助攻呢                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
65'巴萨的过顶球送入禁区，拉科又是造越位失误，依然是劳雷拖在了最后，禁区内内马尔和苏神2打1                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
65'内马尔面对出击的曼努，横拨给另外一端的苏神，苏神推射被劳雷用身体挡出，第二下再射空门，想不进都难                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
66'劳雷不如叫地雷啊，埋在拉科禁区内的炸弹一样                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
66'拉科的进攻，打到了禁区内，有机会，里埃拉射门被挡出底线                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
67'角球开出，战术角球                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
67'右侧斜吊禁区被挡出                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
67'外围莫斯克拉停球之后远射，打高                   64'第64分钟，内马尔禁区左侧无私横传，苏亚雷斯近距离破门，5-0
73'苏神送助攻，梅西的破门，MSN还剩内少没进球                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
74'右路阿尔维斯上来，塞给禁区右肋的苏神，苏神巧妙转身闪开西德内伊，横拨给中路的梅西，梅西轻松推射打入空门                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
74'苏神4球2助攻了，难道要大四喜+助攻帽子戏法吗，醉了                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
74'梅西和裁判交流一下，不知道什么情况，镜头捕捉了半天                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
76'拉科斗志全无，小播都有点跟着打蔫了                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
76'右路劳雷有助攻上来了                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
76'劳雷传中真是不错啊，高质量，准确给到古铁雷斯头上                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
76'古铁雷斯冲顶，高出横梁。。把握不住机会呢                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
76'拉菲尼亚中路拿球，莫斯克拉铲抢犯规                   73'第73分钟，苏亚雷斯切入禁区右侧传中，梅西13码处第一时间推射破门，6-0
79'拉科真的是不防守，巴尔特拉居然是突破杀入禁区打进的这个球                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
80'前场中路巴尔特拉压上得球，自己推进，看没人防守，一路杀到了禁区里，闪开西德内伊，面对曼努，推射远角                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
80'巴尔特拉进这样的球，拉科在想什么                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
81'这边话音没落，又进了                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
81'苏神助攻戴帽，内少终于进球了                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
81'巴萨想收都难，拉科真是不防                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
82'右路苏神禁区内斜塞，低球给到后点，内少跟上包抄小角度铲入大门                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
82'拉科前场左侧，古铁雷斯一脚远射，布拉沃拍了一下，再把球抱住                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
82'还有10分钟，估计巴萨还得进球                   79'第79分钟，巴尔特拉前场抢断后强突禁区右肋12码处推射破门，7-0
