2'萨内回传一下拉波尔特！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
86'萨内横敲分球京多安！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'京多安再给禁区左路！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'皮球被解围出左侧底线！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'曼城的左侧角球！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'角球开到禁区内前点！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'被萨科解围出左侧底线！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'曼城再开角球给到禁区中路！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'被汤森德头球解围！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'中场附近奥塔门迪把球得到！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'低平球给身前的贝尔纳多-席尔瓦！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'再给右路跟进的斯特林！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'曼城前场右侧边线球！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'发球给贝尔纳多！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'转移球给前场左路拉波尔特！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'再给前场中路德布劳内！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'分球给前场右侧斯通斯！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'低平球给身前的沃克！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'沃克给插上的贝尔纳多！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'贝尔纳多回给前场右路德布劳内！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'德布劳内挑传到禁区内！！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'这球！！！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'GOOOOOOOOOOOOAL！！直接进了！2-3！！！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'德布劳内一脚惊为天人的吊门啊！！！曼城2-3水晶宫！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
87'继续比赛！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
87'沃克给前场右路贝尔纳多！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'贝尔纳多？！外围也来一脚吊门！！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'门将瓜伊塔把球扑出来！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'外围左侧德布劳内把球得到！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'搓传半高球给禁区内前点！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
88'边裁举旗！曼城球员的越位！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
