15'罗马尼奥利过了中圈直传球向前                   15'15分钟过后，南看台打出横幅，要求贝卢斯科尼卖掉俱乐部(Oh devi vendere, devi vendere, devi vendere)
46'任意球开出，前点被解围                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
46'阿莱士回传给了门将                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
47'毛里拿球长传球，直接被门将拿到                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
47'德西利奥左侧拿球过了半场后横传中路                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
47'巴卡拿球被踢倒                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
46'下半场比赛开始                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
46'米兰把球开出                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
47'蒙托利沃把球给到左侧                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
47'左侧弧线球传中                   44'第44分钟，罗马尼奥利对迪奥尼西犯规，弗罗西诺内在门前40米开外获得任意球，克拉格尔直接左脚轰门从唐纳鲁马手边入右下角，2比0
50'进球啦                   50'AC米兰第50分钟终于追回一分，本田圭佑精准直传，阿巴特禁区右侧底线低传，此前表现出色的巴尔迪意外脱手，巴卡左脚铲进空门，1比2
51'阿莱士低平球给到右侧，库茨卡到了底线附近右侧低平球传中，巴卡打门得手                   50'AC米兰第50分钟终于追回一分，本田圭佑精准直传，阿巴特禁区右侧底线低传，此前表现出色的巴尔迪意外脱手，巴卡左脚铲进空门，1比2
51'剧情真丰富啊                   50'AC米兰第50分钟终于追回一分，本田圭佑精准直传，阿巴特禁区右侧底线低传，此前表现出色的巴尔迪意外脱手，巴卡左脚铲进空门，1比2
52'弗洛辛诺内中圈把球大脚开出到了前场右路                   50'AC米兰第50分钟终于追回一分，本田圭佑精准直传，阿巴特禁区右侧底线低传，此前表现出色的巴尔迪意外脱手，巴卡左脚铲进空门，1比2
52'帕格尼尼禁区内倒地了，裁判没有理会                   50'AC米兰第50分钟终于追回一分，本田圭佑精准直传，阿巴特禁区右侧底线低传，此前表现出色的巴尔迪意外脱手，巴卡左脚铲进空门，1比2
74'进球啦                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
74'安东内利刚上场就进球                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
75'米兰右侧角球开出，阿莱士头球摆渡，安东内利倒钩打门球进                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
75'阿莱士把球点给身前蒙托利沃                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
76'克拉尔低平球往前传到了中圈附近                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
76'帕格尼尼中路突破被阿莱士断下                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
77'米兰再次换人                   74'第74分钟，巴洛特利右侧开出角球，阿莱士后点头球摆渡，安东内利在门前6米处胸部停球左脚倒钩入右上角，2比3
46'米兰禁区右侧的定位球                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
46'上半场补时2分钟                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
46'任意球开出，前点被解围                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
46'阿莱士回传给了门将                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
47'毛里拿球长传球，直接被门将拿到                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
47'德西利奥左侧拿球过了半场后横传中路                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
47'巴卡拿球被踢倒                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
48'任意球开出来，被头球解围                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
48'上半场比赛结束                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
46'下半场比赛开始                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
46'米兰把球开出                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
47'蒙托利沃把球给到左侧                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
47'左侧弧线球传中                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
48'禁区内一片混乱                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
48'弗洛辛诺内有人手球了                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
48'米兰获得了点球                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
49'巴洛特利点球被门将扑出，再补射又是偏出                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
49'弗洛辛诺内大脚把球开出                   46'补时第1分钟，安东内利左路传中，巴洛特利背身停球打在普里马手上，又是点球
50'进球啦                   50'补时第5分钟，巴洛特利几乎上演绝杀，他中场拿球长途奔袭，阿德里亚诺拉出空档，巴神在门前14米处轰中横梁
51'阿莱士低平球给到右侧，库茨卡到了底线附近右侧低平球传中，巴卡打门得手                   50'补时第5分钟，巴洛特利几乎上演绝杀，他中场拿球长途奔袭，阿德里亚诺拉出空档，巴神在门前14米处轰中横梁
51'剧情真丰富啊                   50'补时第5分钟，巴洛特利几乎上演绝杀，他中场拿球长途奔袭，阿德里亚诺拉出空档，巴神在门前14米处轰中横梁
52'弗洛辛诺内中圈把球大脚开出到了前场右路                   50'补时第5分钟，巴洛特利几乎上演绝杀，他中场拿球长途奔袭，阿德里亚诺拉出空档，巴神在门前14米处轰中横梁
52'帕格尼尼禁区内倒地了，裁判没有理会                   50'补时第5分钟，巴洛特利几乎上演绝杀，他中场拿球长途奔袭，阿德里亚诺拉出空档，巴神在门前14米处轰中横梁
