2'大连阿尔滨进球了                   2'阿尔滨取得梦幻般开局，开场2分钟便取得进球
21'北京国安队展开逼抢，凯塔把球控制住，回传给后防线                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
21'凯塔中路带球摆脱，分给了周通                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
22'周通传中被解围了                   19'第19分钟，周通直传球找到了瓦罗，后者刚进入禁区内便起脚射门，国安门将侯森倒地将球扑住
30'凯塔分边，周通传中被解围                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
30'阿尔滨围攻，获得角球的机会                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
31'罗申巴克角球发到前点，防守队员前点解围                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
31'雷腾龙底线把球碰出界外                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
31'阿尔滨获得角球的机会                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
31'罗申巴克角球还是前点，还是被解围了                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
32'瓦罗禁区内一脚抽射打在防守队员身体上弹出                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
33'北京国安队杨运外围起脚远射不幸打在队友身上弹出                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
33'北京国安队只能通过远射来威胁阿尔滨球门                   30'第30分钟，于大宝和瓦罗在国安禁区内制造混乱，乱军中国安后卫率先将球开出底线
35'于大宝分边，周通传中，瓦罗门前抢点没有顶上啊                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
36'毛剑卿中场拼抢的时候犯规了                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
36'毛剑卿在前场是孤立无援啊                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
37'郎征在边路防守中踢倒了于大宝                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
37'今天北京国安队员感觉对于大宝下脚都挺狠                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
37'于大宝向裁判抗议，强烈抗议                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
37'结果于大宝得到了黄牌                   35'第35分钟，上半场在边路表现异常活跃的周通传中球准确找到了瓦罗，可惜瓦罗稍慢半步，未能碰到皮球
40'利马前场断球成功，带球长驱直入                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
40'利马禁区线射门被挡出                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
40'毛剑卿跟上再射也被防守队员挡出                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
41'毛剑卿边路传中被防守队员解围                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
41'这段时间国安队仿佛逐渐适应了比赛                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
41'北京国安队进攻有所起色啊                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
43'于洋起高球到前场，利马摆渡，第二点防守队员解围                   40'第40分钟，利马利用个人能力长驱直入，大禁区线射门被阿尔滨后卫挡出，利马示意主裁判阿尔滨球员有手球嫌疑，裁判示意比赛继续
47'李提香向边路分球的时候失误了                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
47'国安队需要严加限制凯塔的发挥                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
49'凯塔和瓦罗做二过一配合突入禁区                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
49'凯塔传中被克里梅茨破坏                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
49'阿尔滨获得角球的机会                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
49'角球发到门前，近距离头球攻门，侯森将球得到                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
50'北京国安队发动反击，毛剑卿带球                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
50'利马把球传中到后点，防守队员解围                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
50'感觉国安队场上队员们缺乏配合的默契                   47'经过2分钟的伤停补时，两队上半场比赛结束，大连阿尔滨1-0暂时领先北京国安
49'凯塔和瓦罗做二过一配合突入禁区                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
49'凯塔传中被克里梅茨破坏                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
49'阿尔滨获得角球的机会                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
49'角球发到门前，近距离头球攻门，侯森将球得到                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
50'北京国安队发动反击，毛剑卿带球                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
50'利马把球传中到后点，防守队员解围                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
50'感觉国安队场上队员们缺乏配合的默契                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
51'北京国安队由守转攻                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
51'毛剑卿禁区外兜射远角被刘伟国扑出                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
51'北京国安队获得角球的机会                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
51'角球发出来被防守队员解围                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
52'外围雷腾龙再把球传禁区里被解围                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
52'下半场朴成换下杨运                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
52'更正：朴成换下王皓                   49'第49分钟，罗申巴克的角球直接飞向球门，侯森慌乱中扑球脱手，瓦罗头球补射力量太轻，正中侯森下怀
53'确实上半场王皓没有什么发挥                   53'第53分钟，阿尔滨改写场上比分
53'大连阿尔滨再下一城                   53'第53分钟，阿尔滨改写场上比分
53'进球的是—罗申巴克                   53'第53分钟，阿尔滨改写场上比分
54'进球回放：罗申巴克禁区外一脚远射，球贴地滚向球门左下角，侯森扑救不及                   53'第53分钟，阿尔滨改写场上比分
54'罗申巴克一脚贴地斩破门                   53'第53分钟，阿尔滨改写场上比分
55'阿尔滨现在球迷情绪很高涨                   53'第53分钟，阿尔滨改写场上比分
56'朴成禁区前横向带球摆脱，一脚远射打高了                   53'第53分钟，阿尔滨改写场上比分
56'国安队又要换人了                   53'第53分钟，阿尔滨改写场上比分
61'凯塔送身后球找瓦罗，侯森把球得到                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
61'邵佳一禁区内铲球犯规                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
62'邵佳一铲倒了罗申巴克                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
62'邵佳一被黄牌警告                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
62'于汉超换下周通                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
62'于汉超本赛季从辽宁队转投而来                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
63'于汉超是一名在边路非常有能力的队员                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
63'李提香左路传中打在防守队员身体上出界                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
63'北京国安队获得角球的机会                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
64'北京国安队连续获得角球的机会                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
64'张稀哲角球发出来，双方在阿尔滨禁区附近连续争夺                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
64'李提香外围远射被刘伟国扑住                   61'第61分钟，邵佳一在丢球后倒地飞铲，领到了国安本场比赛的第一张黄牌
64'北京国安队连续获得角球的机会                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
64'张稀哲角球发出来，双方在阿尔滨禁区附近连续争夺                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
64'李提香外围远射被刘伟国扑住                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
65'于大宝传中，于汉超争顶球被侯森打出                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
66'瓦罗射门被防守队员挡出底线                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
66'阿尔滨获得角球的机会                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
66'角球发出来北京国安队将球解围                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
66'毛剑卿带球反击，突破未成被断了                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
66'毛剑卿确实是不遗余力很拼                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
67'现在阿尔滨在中场控球，控制节奏                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
67'毕竟两球在握了                   64'第64分钟，国安利用角球开出阿尔滨头球解围不远李提香的远射再次被刘伟国侧身扑住
68'国安队中场控球失误                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
68'阿尔滨发动快速反击                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
68'瓦罗突入禁区射门被郎征挡出                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
69'谭天澄换下邵佳一                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
69'北京国安队要继续加强进攻了                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
70'凯塔禁区外和于大宝做配合                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
70'阿尔滨再进一球！                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
70'进球的是——凯塔！                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
71'进球回放：凯塔和于大宝在禁区前踢墙式配合，凯塔起脚远射，球直挂死角                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
71'这球进攻非常漂亮                   68'第68分钟，瓦罗接于汉超妙传闯入禁区稍有迟疑起脚射门，郎征的滑铲将球挡出底线
46'上半场比赛进入补时阶段                   46'仅仅1分钟后，场上比分再次被改写
46'国安队后场起高球，刘伟国把球摘下                   46'仅仅1分钟后，场上比分再次被改写
47'李提香向边路分球的时候失误了                   46'仅仅1分钟后，场上比分再次被改写
46'下半场比赛开始了                   46'仅仅1分钟后，场上比分再次被改写
46'从目前北京国安队并没有换人                   46'仅仅1分钟后，场上比分再次被改写
46'斯塔诺是一心为了亚冠吧                   46'仅仅1分钟后，场上比分再次被改写
46'李提香中场对凯塔犯规                   46'仅仅1分钟后，场上比分再次被改写
47'国安队需要严加限制凯塔的发挥                   46'仅仅1分钟后，场上比分再次被改写
49'凯塔和瓦罗做二过一配合突入禁区                   46'仅仅1分钟后，场上比分再次被改写
49'凯塔传中被克里梅茨破坏                   46'仅仅1分钟后，场上比分再次被改写
49'阿尔滨获得角球的机会                   46'仅仅1分钟后，场上比分再次被改写
49'角球发到门前，近距离头球攻门，侯森将球得到                   46'仅仅1分钟后，场上比分再次被改写
75'国安队还在继续努力进攻                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
75'大连阿尔滨要换人了                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
75'乌塔卡换下瓦罗                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
76'用快马换下高塔，阿尔滨还要继续进球                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
77'于汉超带球进攻，把球带丢了                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
77'谭天澄边路进攻制造了角球机会                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
78'张稀哲角球发到后点，外围北京国安队继续控制                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
78'高球传禁区里被阿尔滨队员解围                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
78'中场凯塔护球造成了国安队员的犯规                   75'金州体育场的看台上响起了球迷呼唤乌塔卡的声音，阿尔滨代理主帅李明也顺应民意，在第75分钟将乌塔卡派遣上阵
85'陈涛换下于大宝                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
85'于大宝今天打进一球                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
85'于大宝下场把队长袖标交给了凯塔                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
85'可见凯塔在队中的地位                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
85'陈涛本赛季从天津转会而来                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
86'于洋右路传中直接到了后点                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
87'谭天澄右路传中被晋鹏翔拦截                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
87'杨运在中场控球失误                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
88'乌塔卡右路突入禁区，传中传大了                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
88'乌塔卡这球要是传中能精准一点凯塔就能再下一城了                   85'阿尔滨在第85分钟用陈涛换下了场上队长于大宝，队长袖标戴在了凯塔的胳膊上
92'留给北京国安队的时间不多了                   92'第92分钟，朴成左边路内切后兜射球门远角，刘伟国跃起将球稳稳摘下
92'朴成左路内切兜射远角，刘伟国把球扑住                   92'第92分钟，朴成左边路内切后兜射球门远角，刘伟国跃起将球稳稳摘下
93'雷腾龙边路防守犯规                   92'第92分钟，朴成左边路内切后兜射球门远角，刘伟国跃起将球稳稳摘下
93'李提香中场对凯塔犯规                   92'第92分钟，朴成左边路内切后兜射球门远角，刘伟国跃起将球稳稳摘下
