2'球先被申鑫解围了出去                   2'开场第2分钟王栋右路起球直逼大门右点，叶重秋抢在陈雷之前顶球出界
15'这球比较可惜了                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
16'申鑫今天也是想要拿下比赛啊                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
16'开场后连续给对方的门前施压                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
16'力帆中场转移到了右路                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
16'边路起球到禁区内                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
16'林裕焕头球顶了出来                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'张池明前场拼抢下来                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'左路面对两人的夹击没有过去                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'申鑫这边组织反击                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'左路突破到底线后下底                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'球在前点被莱伊尔解围                   14'第14分钟杨家威左路突破连过两人，丹尼尔接力用身体扛住孙继海之后，继续往禁区腹地走，刘峻楠中路包抄到位，丹尼尔出人意料往外送球，于涛推射打偏
17'张池明前场拼抢下来                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
17'左路面对两人的夹击没有过去                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
17'申鑫这边组织反击                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
17'左路突破到底线后下底                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
17'球在前点被莱伊尔解围                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
18'力帆这边攻势也来了                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
18'吉利奥蒂禁区内接球后直接倒挂金钩                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
18'这球高出了横梁                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
18'奇玛禁区内拿球被孙继海铲倒                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
18'裁判没有吹点球                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
19'慢动作显示，孙继海这下铲的真是准                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
19'奇玛这下被铲倒后也是受伤了                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
19'队医也是进场查看                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
20'比赛恢复进行                   17'第17分钟继海解围失误，丹尼尔带球继续往里冲，禁区里继海双腿飞铲，铲到球的同时也铲到丹尼尔，后者痛苦倒地，主裁王津没有判罚
21'力帆中场拿球，也是要稳                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
21'长传直接转移到了左路                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
21'边路的起球送中路                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'边路接球后禁区中路                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'乔尼头球解围出来                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'申鑫今天是打一个往返                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'陈雷左路拿球将球摘了出来                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'禁区内，队友的爆射被后卫挡出                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'力帆这边还有机会                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
22'边路传球送后点                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
23'吉利奥蒂头球吊远角                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
23'这球也是蛮有威胁的                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
23'力帆这边在稳住阵脚后也是不断给对方门前施压                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
23'王栋斜传球送禁区内                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
24'落点没有掌控好                   21'第21分钟陈雷左路传中，张池明射门打在申鑫队员手臂上弹出，重庆队左路外围再次起球，吉利奥蒂头球顶偏
33'力帆中场这边抢球的时候犯规                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
33'申鑫这边快发球也是太着急                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'奇玛禁区前沿做了一个撞墙                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'于涛拿球到了禁区内低射近角                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'隋维杰注意力很集中将球扑出底线                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'申鑫角球机会                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'角球送后点                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
34'落点并不是太好                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
35'申鑫这段时间开始压上                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
35'力帆前场拿球转移到边路                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
36'将球挑传到禁区内                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
36'王栋接队友回传球后直接打门                   33'第33分钟于涛在禁区右路怒射，隋维杰飞身把球扑出
35'申鑫这段时间开始压上                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
35'力帆前场拿球转移到边路                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
36'将球挑传到禁区内                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
36'王栋接队友回传球后直接打门                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
37'球被门将封住了角度                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
37'力帆也是错过了一个破门的机会                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
37'力帆后场长传打到边路                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
38'张池明胸部停球下来后，第二下没有拿稳                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
38'孙继海这边倒在禁区内                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
38'奇玛这边抢球的时候有一个小动作                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
38'踩到了孙继海的后脚跟                   35'但重庆队也在时刻制造威胁，第35分钟吉利奥蒂禁区内回传，王栋不停顿拔腿怒射被张一诺挡出
45'池忠国禁区内领球后打近角                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
45'这球也是打偏了                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
45'这球池忠国领球的时候没有准备好                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'张池明左路带球突破被拉倒                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'姜嘉俊得到一张黄牌！                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'张池明这下也是有些受伤                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'担架也是进场了                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'王栋任意球送前点                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'球进了！！！                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'莱伊尔！！                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
48'王栋任意球送禁区内前点，莱伊尔前插后迎球顶近角破门，奇玛这球没有跟住                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'下半场比赛开始！                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'下半场比赛由上海申鑫开球                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'中场休息的时候，两队没有进行人员调整                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'力帆左路下底到禁区内被顶出                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
46'下半场对申鑫来说比较困难                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
47'张池明边路抢球的时候先犯规                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
48'申鑫中场长传打身后                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
48'杨家威底线拿球赢得边线球                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
48'申鑫边路起球找奇玛                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
48'这球奇玛没有争顶到                   45'第45分钟申鑫前场配合失误，姜嘉俊拦截拉拽张池明犯规吃到黄牌
53'力帆边路突破被碰了出去                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
53'上海申鑫换人，于涛下，贾天子上！                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
54'刘卫东右路带球突破了故去                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
54'底线的传球直接被张一诺封死                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
55'刘卫东前场右路在接球                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
55'内切后的打门直接被后卫挡了下来                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
55'申鑫这边打得也是比较着急                   53'第53分钟申鑫用贾天子换下于涛，第57分钟，重庆队用冯劲换下刘卫东，此时浦东这里下起大雨
59'这次是稍稍差了一点                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
60'冯劲右路拿球下底到后点                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
60'队友头球摆渡回来被申鑫解围                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
60'上海申鑫换人，池忠国下，埃杜阿尔多上！                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
61'力帆这边牢牢控制着球权                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
61'申鑫这边这段时间没有打过中场                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
61'申鑫这边中场出球险些失误                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
62'申鑫前场传球力量小了                   59'第59分钟申鑫用埃及杜阿尔多换下池忠国
71'刘峻楠前插没有拿到                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
71'申鑫右路传球到禁区内                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
71'球总是送不到奇玛的脚下                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
72'申鑫右路起球送禁区内                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
72'隋维杰将球扑出禁区                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
72'申鑫这段时间攻势很猛                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
72'力帆的后防压力也是比较大                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
72'奇玛禁区外围打门的机会                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
73'这球还是打偏了                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
73'上海申鑫换人，刘峻楠下，吴毅臻上！                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
74'吴毅臻左路带球突破后下底                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
74'力帆这边球员用身体将球挡出底线                   71'第71分钟申鑫形成围攻态势，孙凯一记力量很大的传球从门前划过，第72分钟杨家威右路内切后怒射打偏
74'吴毅臻左路带球突破后下底                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
74'力帆这边球员用身体将球挡出底线                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
75'申鑫的角球机会                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
75'角球送到了外围，队友打门没有打上力量                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
75'禁区内，奇玛脚后跟顺势磕了一下                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
75'隋维杰侧扑将球扑了出去                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
76'王栋拿球给到右边                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
76'张池明禁区前沿接球后扣了一下                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
76'跟着再打被后卫挡了出去                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
77'申鑫这边后防不能有半点马虎                   74'第74分钟申鑫右路开出角球，杨家威打门没打上力量，丹尼尔第一时间用脚后跟射门被隋维杰飞身扑出
80'全场比赛80分钟了，申鑫主场还是0-1落后力帆                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
81'申鑫前场拿球被断                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
81'中场附近，申鑫将球反抢回来                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
82'贾天子禁区前沿拿球送直塞                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
82'埃杜阿尔多禁区内接球后分到左路                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
82'吴毅臻这边有机会，无人看防的情况下抽射远角                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
82'这球是打偏了                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
83'奇玛如果能在中间碰一下，效果可能更好                   80'第80分钟申鑫配合打到重庆禁区腹地，埃杜阿尔多分球，吴毅臻怒射偏出
88'力帆这边球员被担架抬出场地                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
88'到了场边马上就站了起来                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
89'禁区外围，申鑫大力远射                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
89'隋维杰侧身将球扑了出去                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
89'打门的是杨家威                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
89'禁区内，奇玛的头球攻门又是打偏了                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
90'莱伊尔这边受伤倒地                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
90'担架再次进场                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
91'下半场补时5分钟！                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
91'力帆这边有杀死比赛的机会                   88'第88分钟杨家威外围射门被隋维杰扑出，申鑫左路再起球，丹尼尔跃起头球稍偏
93'任意球送后点，奇玛顶了一下                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
93'球没有往球门里面去                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
94'吴毅臻边路的传球被挡                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
94'埃杜阿尔多禁区外围尝试远射，将球打偏了                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
94'力帆这边有球员抽筋了                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
95'重庆力帆换人，王栋下，徐小波上！                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
96'申鑫右路拿球到底线                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
96'低平球送禁区内                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
96'禁区的两点都没有形成打门机会                   93'第93分钟埃杜阿尔多禁区外挑球后射门打偏
