16'沙奇里非常活跃，游弋到了右路，自己带球内切，突然一脚打门，偏出了                   16'开场16分钟，沙奇里左脚远射偏出
46'诺伊尔迅速手抛球发动进攻                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
46'阿斯兰战术犯规，被主裁出示黄牌警告                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
46'下半场比赛开始了，拜仁开球                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
46'期待下半场的拜仁能够给点力吧                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
47'汉堡长传球，诺伊尔出击摘下                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
48'汉堡队下半场好像加强了进攻，阵型有所前压                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
48'汉堡队险些改写比分啊                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
49'尼古拉-穆勒左侧拿球，往内线走，诺伊尔出击，穆勒选择挑射，球缓缓的沿着左侧立柱滚出底线                   46'下半时开始1分钟，拉索加中场直传反击，诺伊尔弃门出击，N-穆勒左侧禁区前沿斜射稍偏出近门柱
53'汉堡队的反击威胁不减，一记直塞，险些造出单刀，可惜霍尔特比越位                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
53'瓜迪奥拉看见这个态势，已经坐不住了                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
53'阿隆索，披挂上阵，替下霍伊別尔格                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
54'阿隆索刚刚上来，就制造威胁                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
55'右路传中球准确找到禁区内同伴，皮萨罗的打门，被门将倒地扑出                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
55'外围阿拉巴拿球，一脚远射，打高                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
55'阿隆索上来之后拜仁立马有了积极的变化                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
56'拜仁的进攻再来，禁区内一系列配合，阿拉巴第一下打门被挡住，第二下再射，打高                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
56'比赛节奏逐渐加快                   53'第53分钟，沙奇里突破贝赫拉米右路传中，拉姆在门前12米处左脚半凌空推射被德罗布尼封出
55'右路传中球准确找到禁区内同伴，皮萨罗的打门，被门将倒地扑出                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
55'外围阿拉巴拿球，一脚远射，打高                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
55'阿隆索上来之后拜仁立马有了积极的变化                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
56'拜仁的进攻再来，禁区内一系列配合，阿拉巴第一下打门被挡住，第二下再射，打高                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
56'比赛节奏逐渐加快                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
57'这边尼古拉穆勒和阿拉巴争抢一个50%机会的球，双双倒地                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
57'两个27号相撞，阿拉巴受伤了                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
58'这是看阿拉巴最近几分钟表现太活跃，把他撂倒歇一歇嘛                   55'第55分钟，穆勒回传，贝尔纳特射门被封堵
67'莱万多夫斯基上，换下沙奇里                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
67'汉堡这边也有换人，阿斯兰被伊拉切克换下                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
68'维斯特曼左路前插助攻，一脚吊门，惊出诺伊尔一身冷汗啊                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
68'诺伊尔后撤两步，摘下这个吊门                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
69'汉堡今天真的有爆冷的机会，就看他们能否把握的住了                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
69'拜仁左路还想用刚才的手段打击对手，但汉堡已经加强了这一侧的防守强度                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
69'博阿滕后场的长传出了边线                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
70'比赛进行了70分钟，拜仁已经用完了所有的换人名额                   67'第67分钟，韦斯特曼左路传中变成吊射，诺伊尔匆忙回跑将球托出
85'汉堡的反击，博阿滕非常稳健，把球拦下回交给诺伊尔                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
85'贝赫拉米后场断球，汉堡的进攻                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
86'霍尔特比杀到禁区前沿，接到同伴来球，在对手干扰下，一脚射门高出                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
86'汉堡的机会虽然不是绝对的破门良机，但面对拜仁必须高水平发挥才能赢                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
87'皮萨罗中路一记强力头球攻门，太正                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
87'尼古拉穆勒被斯泰曼换下                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
87'双方已经用完了所有的换人名额                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
88'穆勒啊，浪费了绝杀的机会                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
88'拜仁的长传，穆勒聪明的绕过后卫，形成一个半单刀的态势                   85'第85分钟，N-穆勒直传，霍尔特比突至禁区边缘抽射高出
88'穆勒啊，浪费了绝杀的机会                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
88'拜仁的长传，穆勒聪明的绕过后卫，形成一个半单刀的态势                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
89'最后打门的一下动作有些慢，被追上来的后卫挡了一下，变线出了底线                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
89'格策的角球，到后点被维斯特曼顶出                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
89'汉堡的进攻，左侧小范围配合，传了出来                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
90'又是丹特出现在关键位置拦截了这个球                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
90'拜仁的这个打法对丹特和博阿滕的个人能力要求非常高                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
90'这两名队员本场也是出色的完成了自己的任务，基本没给汉堡什么机会                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
91'下半场补时4分钟                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
91'拜仁又是选择长传，皮萨罗没有拿住，门将倒地没收                   88'第88分钟，汉堡后防停球失误，穆勒在门前14米处凌空推射被朱鲁挡出右门柱
50'这个球身后的博阿滕想追都来不及，全场目送皮球滚出界外，假如在往里偏十公分，就是个漂亮的进球了                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
50'拜仁右侧进攻，沙奇里传中，朱鲁倒地把球破坏                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
51'贝赫拉米中场凶狠的犯规，踢倒了对手                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
52'拜仁前场加快了比赛的节奏，霍伊別尔格左路交给穆勒，赢得角球机会                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
52'阿拉巴角球到禁区内，汉堡队解围，反击                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
53'汉堡队的反击威胁不减，一记直塞，险些造出单刀，可惜霍尔特比越位                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
53'瓜迪奥拉看见这个态势，已经坐不住了                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
53'阿隆索，披挂上阵，替下霍伊別尔格                   50'补时第5分钟出现戏剧性场面，诺伊尔冲到中线附近，在伊拉切克脚下铲球解围，球打在他手上，格林断球打偏，但主裁判此前已鸣哨，并黄牌警告诺伊尔
