6'比达尔的直塞球失误了                   6'开场6分钟，阿拉巴左路弧线球传中，穆勒在门前11米处头球偏出右门柱
48'球被扑出来                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
48'外围争抢球，裁判哨响                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
48'上半场比赛结束了                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
46'下半场开始了                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
46'拜仁进攻                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
46'基米西送出传中球                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
47'球被解围出来                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
47'罗本拿球，送出传中球                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
48'球被解围出了底线                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
48'拜仁角球机会                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
49'角球开出来，球被解围出来                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
49'外围比达尔拿球                   46'少打1人的贝西克塔斯3分钟后错过良机，基米希后场边路头球回顶失误，勒夫断球连突胡梅尔斯和博阿滕，禁区边缘推射稍稍高出
42'胡梅尔斯后场拿球                   42'拜仁第42分钟取得领先
42'直接送出长传球                   42'拜仁第42分钟取得领先
43'基米西前场拿球                   42'拜仁第42分钟取得领先
43'进球了！！！！！！！！！                   42'拜仁第42分钟取得领先
44'穆勒的进球                   42'拜仁第42分钟取得领先
44'科曼倒三角传球，阿拉巴接球直接传球，穆勒拿球，直接来一脚打门，将球打进                   42'拜仁第42分钟取得领先
45'OK继续看比赛                   42'拜仁第42分钟取得领先
50'争抢球，莱万被犯规了                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
50'任意球机会                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
50'莱万直接选择了打门                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
51'稍稍打偏了                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
51'门将大脚将球开出来                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
51'胡梅尔斯将球控制下来                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
53'进球了！！！！！！！                   50'拜仁第50分钟几乎扩大比分，莱万禁区边缘被阿德里亚诺放倒，主裁判认定犯规地点在禁区外，莱万主罚任意球击中右门柱外侧弹出
66'基米西横传球给到罗本，来一脚打门                   66'拜仁第66分钟又下一城
66'球被挡出来了                   66'拜仁第66分钟又下一城
66'外围基米西拿球                   66'拜仁第66分钟又下一城
67'进球了！！！！！                   66'拜仁第66分钟又下一城
67'基米西传球禁区，穆勒拿球直接打门，将球打进                   66'拜仁第66分钟又下一城
68'OK继续看比赛                   66'拜仁第66分钟又下一城
68'还是拜仁的进攻                   66'拜仁第66分钟又下一城
68'罗本传球禁区，出了底线                   66'拜仁第66分钟又下一城
69'门将大脚将球开出来                   66'拜仁第66分钟又下一城
69'争抢球，球出界了                   66'拜仁第66分钟又下一城
79'进球了！！！！！！！！！！                   79'拜仁第79分钟扩大战果，罗本右路低传，胡梅尔斯突至门前25米处左脚低射造成法布里脱手，莱万左侧距门4米处左脚推入近角，4比0，他本赛季16个主场只有对凯尔特人和多特蒙德（德国杯）没能进球
80'基米西传球禁区，胡梅尔斯的打门，球被挡出来，莱万的补射，将球打进                   79'拜仁第79分钟扩大战果，罗本右路低传，胡梅尔斯突至门前25米处左脚低射造成法布里脱手，莱万左侧距门4米处左脚推入近角，4比0，他本赛季16个主场只有对凯尔特人和多特蒙德（德国杯）没能进球
81'拜仁换人了，里贝里换下了科曼                   79'拜仁第79分钟扩大战果，罗本右路低传，胡梅尔斯突至门前25米处左脚低射造成法布里脱手，莱万左侧距门4米处左脚推入近角，4比0，他本赛季16个主场只有对凯尔特人和多特蒙德（德国杯）没能进球
82'OK，继续看比赛                   79'拜仁第79分钟扩大战果，罗本右路低传，胡梅尔斯突至门前25米处左脚低射造成法布里脱手，莱万左侧距门4米处左脚推入近角，4比0，他本赛季16个主场只有对凯尔特人和多特蒙德（德国杯）没能进球
82'拜仁进攻                   79'拜仁第79分钟扩大战果，罗本右路低传，胡梅尔斯突至门前25米处左脚低射造成法布里脱手，莱万左侧距门4米处左脚推入近角，4比0，他本赛季16个主场只有对凯尔特人和多特蒙德（德国杯）没能进球
88'现在拜仁角球机会                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
88'角球开出来，前点，球被解围出来                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
88'罗本外围拿球                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
89'又进球了呀！！！！！！！！                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
90'罗本分球穆勒，送出直塞球，莱万直接选择打门将球打进                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
90'OK继续看比赛                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
90'里贝里外围控制球                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
91'罗本带球突破，起脚分球禁区                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
91'球被解围出来                   88'第88分钟，罗本右路塞球，穆勒禁区右侧无私低传，莱万后点距门4米处左脚推进右下角，5比0
