1'比赛开始了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
7'李帅抢先解围，，，但是杨旭被李帅撞翻在地                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
7'刚才包抄的是杨旭                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
7'杨旭受伤倒地，，队医简单的来治疗一下，继续比赛                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'申花后场传递，，权健紧逼非常凶                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'孙可前场右侧把球断下来                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'自己带，，左突右带，，自己趟出了底线                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'李帅大脚开出门球                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'前场中路莫雷诺拿球，再给瓜林                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
8'斜传到了右侧，底线附近找荣昊                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
10'右侧界外球，给出来，登巴巴护球                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
10'再回敲身后荣昊，，右侧斜吊                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
10'禁区中路莫雷诺远距离的头球吊门                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
10'力量不足，被张鹭在门线上摘下                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
10'大脚开出来                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
10'前场中路的拼抢，，，帕托被吹了犯规                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
11'帕托是把荣昊顶翻在地                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
11'申花定位球，长传向前                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
11'中路莫雷诺组织，分左侧曹赟定                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
11'曹赟定左侧45度起球，落点不错                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
11'禁区中路跃起，，，刘奕鸣解围不远                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'后点李运秋上来，回做给外围瓜林                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'瓜林晃开空当，，，直接远射，，打高了                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'张鹭大脚开出门球                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'中圈附近的拼抢，权健回敲给后场                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'刘奕鸣拿球，低传给赵旭日                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
12'再分到右侧孙可脚下                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
13'带到前场，横敲，弧顶找到张修维                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
13'挑传，送到禁区内，栗鹏大脚解围                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
13'外围拼抢，，权敬源身后推搡登巴巴，犯规                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
13'申花中圈定位球，挑传给到身前的瓜林                   10'第10分钟申花右路进攻，瓜林假动作过掉赵旭日后，禁区外怒射稍稍高出
15'外围刘奕鸣拿下来，再吊起来                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
15'传到禁区内，，被李帅倒地没收                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
15'大脚把球开出来                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
15'中圈附近，，申花得球，短传给身前的瓜林                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
15'瓜林拿球，分给身边登巴巴，前场中路拿球                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
15'往左侧一拨，，，突施冷箭                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
16'势大力沉，但是偏了                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
16'张鹭大脚开出                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
16'中圈附近的拼抢，，第二点到了帕托脚下                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
16'分给杨旭，再回给帕托，交给中路王永珀                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
17'再给到左边郑达伦，回敲刘奕鸣                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
17'交给左侧的权敬源，，长传到前场                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
17'前点杨旭吸引防守，后点孙可收到中路插上                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
17'头球一点，，，点大了，李帅出击没收                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
17'后场大脚开起来                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
18'中圈右侧直接出了边线                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
18'权健左侧界外球，给到身前帕托                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
18'挑传弧顶附近，，荣昊把球拦截                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
18'破坏到外围，，，王永珀得球                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
18'分到右侧，，，横敲到门前                   15'第15分钟权健从左路起球，前点杨旭没争到，后点孙可勉强顶到，但被李帅轻松没收皮球
20'孙可选择停顿了一下，如果直接就打，效果可能更好                   20'前20分钟权健压制住了主队申花
20'权健右侧界外球                   20'前20分钟权健压制住了主队申花
20'大力给出，身前的防守队员一蹭，，出了底线                   20'前20分钟权健压制住了主队申花
20'右侧角球，，权健开起来                   20'前20分钟权健压制住了主队申花
20'禁区中央，，被防守队员破坏掉                   20'前20分钟权健压制住了主队申花
20'外围张诚中路拿球，直接打远射，，，偏了                   20'前20分钟权健压制住了主队申花
20'李帅门球开出                   20'前20分钟权健压制住了主队申花
20'大脚开到了前场，中路瓜林拿球                   20'前20分钟权健压制住了主队申花
21'分给了左侧，曹赟定得球                   20'前20分钟权健压制住了主队申花
21'杀到左侧，底线附近传中                   20'前20分钟权健压制住了主队申花
21'给到禁区中央，，，刘奕鸣把球解围                   20'前20分钟权健压制住了主队申花
21'直接出了底线                   20'前20分钟权健压制住了主队申花
21'左侧角球，曹赟定主罚                   20'前20分钟权健压制住了主队申花
21'开起来，送到了禁区后点                   20'前20分钟权健压制住了主队申花
21'第一点被解围掉                   20'前20分钟权健压制住了主队申花
22'外围右侧，瓜林瓜林低射，被挡出                   20'前20分钟权健压制住了主队申花
22'禁区内孙世林得球，无法转身，在给到后面                   20'前20分钟权健压制住了主队申花
22'左侧再给曹赟定，，横敲到中路                   20'前20分钟权健压制住了主队申花
22'乱战，，，艾迪险些得到射门机会，但还是被解围了                   20'前20分钟权健压制住了主队申花
22'左侧帕托拿球，反击打起来                   20'前20分钟权健压制住了主队申花
23'快步流星的推进，杀到禁区线，，被艾迪断下                   20'前20分钟权健压制住了主队申花
23'大脚开出来                   20'前20分钟权健压制住了主队申花
23'中圈的拼抢，，张修维拿球，左侧给张诚                   20'前20分钟权健压制住了主队申花
23'短传给身前郑达伦，回敲权敬源                   20'前20分钟权健压制住了主队申花
23'再给身前张修维                   20'前20分钟权健压制住了主队申花
23'分左侧的郑达伦，，回敲权敬源                   20'前20分钟权健压制住了主队申花
23'后场控制一下，送出一记长传                   20'前20分钟权健压制住了主队申花
32'短传给身前的杨旭                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
32'被瓜林阻拦                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
32'杨旭上前反抢                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
32'球是出了底线                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'但是裁判哨响，吹了杨旭的犯规                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'定位球，，申花大脚开出                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'到了权健后场，，，权敬源得球                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'分右侧刘奕鸣，，再给身前郑达伦                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'斜长传，，，到禁区内                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'艾迪的解围出了边线                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'权健右侧界外球                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
33'给到孙可脚下，未能停住，，出界                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
34'界外球，给出来                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
34'后场申花栗鹏大脚开出                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
34'裁判哨响了，，莫雷诺拼抢对张修维犯规                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
34'莫雷诺要倒钩，结果刮到了张修维的头部，，                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'比赛继续，左侧申花球权                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'曹赟定短传给到莫雷诺                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'遭到对手逼抢，刘奕鸣破坏出界外                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'申花界外球，转到右侧                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'李运秋拿球，低球向前，被张诚拦截                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
35'中圈位置艾迪拿球，分右侧，，，被防守队员碰了一下                   32'第32分钟张修维和莫雷诺争球时头被鞋蹭到，张修维治疗后申花队员也多少获得喘息机会
39'是王永珀，在跟莫雷诺的拼抢中被撞倒在地                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
39'问题不大，比赛继续                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'左侧权健拿球，分到禁区 内                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'艾迪的解围                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'中圈附近张修维拿球，回敲给张诚                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'给出一记长传球                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'前场右侧孙可头球回顶                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
40'郑达伦跟进，，，横敲到弧顶                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
41'赵旭日拿球，分到了右侧的杨旭                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
41'杨旭外围起脚打门，，被后卫挡出                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
41'左侧莫雷诺拿球，身前交给了登巴巴                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
41'带球往前走，腿长步子大啊                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
42'前场左侧底线附近，刘奕鸣把球破坏出界外                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
42'上半场进行到尾声了                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
42'申花左侧角球的机会                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
42'开起来，，到了后点                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
42'栗鹏，，后点包抄，，跟进头球                   39'第39分钟权健在申花禁区内连续配合，但申花死死卡住对方射门路线，赵旭日着急发炮偏出
44'曹赟定跟上，脚下速率很快                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'底线附近救到，但是趟出了底线                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'权健的门球，，开出来                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'中圈位置的拼抢，，杨旭得球                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'分身前跑位的帕托                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'孙世林把球拦截                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
44'解围到前场                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'权健后场回给了张鹭                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'左侧交给张诚，低球向前找郑达伦                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'在横敲给到王永珀，挑传                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'送到禁区内，，栗鹏解围出底线                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'右侧权健的角球机会                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'上半场最后一分钟                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
45'角球开起来                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'到了禁区后点，，，刘奕鸣，，机会                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'头球一甩，，李帅门神附体，，托出横梁                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'这球顶的漂亮，，李帅扑的也精彩，原地腾空跃起                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'上半场补时1分钟                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'权健角球再来                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'右侧开起来，禁区中央，被申花先解围出来                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'这时候柏家骏受伤倒在禁区内                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'裁判叫停了比赛                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'柏家骏接受队医的检查                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'柏家骏下场了，，估计上半场不用回来了                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'主裁判哨响，下半场开始了                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'权健开球，给到右侧孙可                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'孙可回敲，，后场中路给到权敬源                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'长传交出来                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'申花禁区内，李帅把球没收                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
46'李帅大脚开出                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'中圈附近，，权敬源把球拦截                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'向前给一脚                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'球被防守队员碰了一下                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'到了赵旭日脚下，分右侧给到张修维                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'接球，回敲，，瓜林把球断走                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
47'杨旭上前反抢，，犯规了                   44'第44分钟权健左路开出角球，刘奕鸣近距离头球被李帅飞身扑出
48'申花后场大脚开出                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'左侧帕托把球拦截                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'带球往前推进                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'横敲，给到张修维，，再给帕托                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'外围帕托有点着急了，，，直接远射                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'放了高射炮                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'李帅大脚开出门球                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'不等皮球落地，裁判哨响了，上半场结束                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'定位球给到李运秋，右侧拿球                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'大范围的转移                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'左侧给到曹赟定，，低球向前给登巴巴                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
48'跟进，插上，越位了                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'后场权健定位球                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'长传给出来，，没有什么威胁                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'后场申花艾迪拿球，给柏家骏                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'长传送出界外                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'右侧权健的界外球                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'给中路的帕托                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
49'简单的踢墙配合                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
50'挑传到禁区内，，，杨旭插上，头球，，一点，，，蹭进                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
50'杨旭风骚的跑位，，抢在栗鹏身前，头球顶进                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'前场中路帕托分球给了王永珀 王永珀挑传禁区，杨旭跟进头球一点，首开纪录                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'这是杨旭本赛季第7个进球                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
