5'后点，利物浦球员停球做给伊比                   5'第5分钟，埃尔菲克争顶角球破门，但他被判对洛夫伦拉人犯规在先，进球无效
27'利物浦左路起球送禁区内，库蒂尼奥前点争抢没有碰到，后点，本特克跟进将球踢进球门！                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
28'这球利物浦在传球的瞬间有越位的嫌疑                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
28'库蒂尼奥应该是处在了越位的位置上，也干扰到了门将的判断                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
29'利物浦前场右路又获得定位球                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
29'打了一个战术配合，直接横敲到了禁区弧顶                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
29'亨德森不做调整直接推射将球稍稍打高                   26'利物浦第26分钟取得领先，亨德森左路战术角球传中，越位位置的库迪尼奥抢点并未碰到皮球，后点的本特克近距离凌空捅射入网
60'伯恩茅斯左路进攻上来                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
60'横敲直接送到了右路                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
60'里奇这边不做调整直接抽射                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
60'这球速度很快，但稍稍偏了一点点                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
61'伯恩茅斯换人，约舒亚-金下，汤姆林上！                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
63'伯恩茅斯右路做小范围配合                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
63'威尔逊拿球给到禁区内                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
63'奥凯恩停球后小角度打门                   60'伯恩茅斯第60分钟险些扳平，约书亚-金传球，马特-里奇禁区右侧的射门憾中近角立柱
