1'曼联率先开球！                   1'曼联第1分钟展开积极攻势
71'双方被拉开了！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
71'裁判给了巴德斯利黄牌！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
71'给了拉什福德红牌！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
72'曼联左侧角球！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
72'角球给到前点！被头球解围了！                   69'曼联第69分钟错失良机，列农禁区内对拉什福德犯规，博格巴点球射左下角被乔-哈特神勇扑出
81'马蒂奇中场得球推进！中路转身分左侧博格巴！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
81'横传点球点卢卡库！转身扫射！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
81'球打中后卫出了底线！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
82'曼联右侧角球给前点！被解围出去！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
82'韦斯特伍德得球回传给塔尔科夫斯基！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
82'长传中场左侧！泰勒得球分边路巴恩斯！传中到禁区右侧！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
82'沃克斯头球攻门！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
82'球被德赫亚倒地抱住！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
83'曼联右侧进攻！卢卡库传中到禁区左侧！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
83'博格巴停球转身左脚扫射一气呵成！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
83'球偏出右侧底线！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
84'泰勒左侧回传科克！传中球被头球解围了！                   81'第81分钟，博格巴直传，卢卡库单刀晃倒乔-哈特，但在回防的本-米贴防下射偏出空门
