4'厄齐尔回防，控制住第二落点                   4'开场4分钟，小猪远射被法比安斯基得到
32'厄齐尔角球开出，吉鲁高高跃起，头球攻门，被诺伊尔得到                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
33'吉鲁前场接应队友过顶球，可惜被吹越位回接                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
33'阿森纳后场抢断，萨尼亚右路拿球                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
33'面对曼朱基齐的逼抢，转身回传给到默特萨克                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
34'默特萨克的过顶斜传找波多尔斯基，被抢断啦                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
34'马丁内斯拿球进攻，内切时被身后回防的波多尔斯基推倒在地                   31'第31分钟，厄齐尔右侧开出角球，吉鲁在门前8米处冲顶右下角被诺伊尔侧扑没收
38'吉鲁前场抢断，横传给到卡索拉                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
38'卡索拉拿球直塞找波多尔斯基，被马丁内斯上抢拦截                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
38'拜仁反击，右路传球到禁区，罗本得球打门，被后卫用身体挡出                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
40'法比安斯基的门球直接开出到前场右侧找厄齐尔                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
40'结果力量太大，送出了边线                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
40'罗本右路拿球，底线内切，面对科斯切尔尼，没机会                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
40'只能回传交给上来的拉姆                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
41'拉姆和罗本的配合，被断，阿森纳反击                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
41'张伯伦带球进攻，拉姆回防拉倒了张伯伦                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
41'阿森纳这边，张伯伦在进攻上给了拜仁不少问题                   38'第38分钟，罗本右路塞球，格策禁区右侧回敲，罗本在门前11米处左脚低射被科斯切尔尼封堵
45'阿拉巴左路传中到禁区，第一点被后卫顶出                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
45'格策抢到第二落点，停球后直接一脚扫射，被法比安斯基奋力扑出                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'阿森纳上半场目前为止只有一次打门，就是吉鲁的头球，而且还差点得分                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'拜仁的进攻再次获得右侧角球机会，罗本主罚                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'战术角球开出，拉姆斜传球到禁区，第一点被后卫解围                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
47'拉姆得到第二落点，再传，维尔马伦将球挡出                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'下半场比赛开始，拜仁开球                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'红衣红裤的拜仁下半场还会是控球为主吗？                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
46'厄齐尔在上半场基本隐身，温格这个调整还是很有必要                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
47'格策前场逼抢时放倒了卡索拉，犯规                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
47'波多尔斯基左侧和维尔马伦的配合                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
47'维尔马伦得球自己一趟，结果过大                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
48'吉鲁从中间过来拿球，被吹了越位在先                   45'第45分钟，阿拉巴左路传中，维尔马伦未能顶出禁区，格策在门前14米处胸部停球抽射被法比安斯基得到
55'拜仁进球啦！！！                   55'拜仁第55分钟打破僵局
55'小猪，施魏因斯泰格                   55'拜仁第55分钟打破僵局
56'里贝里左路拿球，突入禁区后穿裆横传到门前，小猪跟进，无人防守下的推射破门！！！                   55'拜仁第55分钟打破僵局
56'这球阿森纳防守失位很严重，门前的小猪周边无一人，卡索拉的位置啊                   55'拜仁第55分钟打破僵局
57'波多尔斯基，进一个！！！                   55'拜仁第55分钟打破僵局
58'波多尔斯基前插争抢，身后有个推倒拉姆的动作，但是裁判没吹罚，波多尔斯基得球进入禁区，零度角的打门，直接命中！！！                   55'拜仁第55分钟打破僵局
58'瓜迪奥拉对于主裁判的这次判罚很不满，站在场边抗议                   55'拜仁第55分钟打破僵局
47'拉姆得到第二落点，再传，维尔马伦将球挡出                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
47'格策前场逼抢时放倒了卡索拉，犯规                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
47'波多尔斯基左侧和维尔马伦的配合                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
47'维尔马伦得球自己一趟，结果过大                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
48'吉鲁从中间过来拿球，被吹了越位在先                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
49'阿尔特塔中场背身拿球，面对身后拜仁的两人围抢，回传后场控制                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
49'曼朱基奇中场争抢时被吹抬脚过高，差点踢爆科斯切尔尼的脑袋                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
49'罗西基右侧边路拿球，小猪身后上抢推人犯规                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
50'阿尔特塔后场抢断阿拉巴，可惜趟球力量过大                   47'仅过2分钟，拉姆禁区内卡身位，波多尔斯基背后推人断球内切，在门前6米处左脚小角度抽射钻入近角，1比1
58'波多尔斯基前插争抢，身后有个推倒拉姆的动作，但是裁判没吹罚，波多尔斯基得球进入禁区，零度角的打门，直接命中！！！                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
58'瓜迪奥拉对于主裁判的这次判罚很不满，站在场边抗议                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
59'阿森纳进攻再来，波多尔斯基左侧拿球传中，被后卫解围出底线                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
59'阿森纳左侧角球机会，开出第一点被后卫解围                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
59'张伯伦禁区外迎球直接一脚怒射，球擦着立柱出底线                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
60'拜仁换人：克罗斯被换上，换下格策                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
61'下半场温格也是站在场边来指挥，观看了半场后难道有信心了？？？                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
61'曼朱基奇前场和维尔马伦争抢，后者滑铲接球破坏，顺势带倒了曼朱基奇                   58'第58分钟，张伯伦外围弧线球被诺伊尔没收
64'克罗斯带球，抬头看了一眼法比安斯基的站位，起左脚搓球打门，被法比安斯基出击运动中直接得到                   64'第64分钟，小猪禁区外抽射高出
65'小猪中圈拿球，自己拿球往前带，连趟三步无人干涉啊                   64'第64分钟，小猪禁区外抽射高出
65'小猪也不好意思了，禁区外直接尝试一脚远射，可惜没啥力量，直接被法比安斯基没收                   64'第64分钟，小猪禁区外抽射高出
65'波多尔斯基前场拿球，准备和吉鲁的踢墙配合                   64'第64分钟，小猪禁区外抽射高出
66'可惜后者的转身直塞球被断掉                   64'第64分钟，小猪禁区外抽射高出
66'波多尔斯基一拿球，现场就是嘘声四起啊                   64'第64分钟，小猪禁区外抽射高出
66'波多尔斯基左侧拿球，下底传中被前点的马丁内斯挡出                   64'第64分钟，小猪禁区外抽射高出
67'再争抢第二落点时，身后撞倒了曼朱基奇，犯规                   64'第64分钟，小猪禁区外抽射高出
76'禁区线上横传交给小猪，小猪还是补射，挑传打身后                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
76'法比安斯基出击将球拿到                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
76'拜仁前场抢断，分边右侧给罗本                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
76'罗本拿球横切，禁区线上起左脚打门，太正，被法比安斯基拿到                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
77'看来还是罗老汉喜欢射门啊，其他人有机会补射，还是再传                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
77'吉鲁和蒂亚戈争抢中被放翻在地                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
77'阿森纳换人：阿尔特塔被换下，换上格纳布里                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
79'拉姆中路拿球，分边右侧给罗本                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
79'罗本拿球横切，面对逼抢，回传后场给丹特，控球吧                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
79'克罗斯禁区外拿球，挑传禁区找曼朱基奇，法比安斯基出击将球拿到                   76'第76分钟，罗本右路内切禁区边缘左脚低射被法比安斯基没收
89'蒂亚戈短角球，拜仁三人传接倒脚，控制节奏啦                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
89'下半场比赛进入尾声，比分1-1，总比分3-1，拜仁领先                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
89'格纳布里前场拿球，禁区外左脚打门，踢飞                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
91'罗本左路拿球，低平球送到门前，法比安斯基出击在吉鲁之前将球扑住                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
91'下半场比赛补时4分钟                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
91'格纳布里右路拿球，横传球被诺伊尔拿到                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
91'拜仁的反击，罗本拿球，禁区内单挑科斯切尔尼                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
92'科斯切尔尼身后防守，右脚上抢踢翻了罗本                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
92'主裁判判给拜仁点球                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
92'温格站在场边也笑啦                   89'第89分钟，格纳布里右路内切，在门前16米处左脚抽射高出
