3'琼斯右路过渡到中路，卡纳斯飞铲铲飞了克莱维利                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
62'兰杰尔快发任意球过不了费迪南德                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
63'这段时间曼联开始掌握场上主动                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
63'费迪南德直传给到瓦伦西亚                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
60'替补席上我们看到鲁尼已经准备上场                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
60'斯旺西左路的进攻，戴维斯斜传禁区，前点博尼甩头攻门偏出                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
61'曼联换上鲁尼，换下的是老将吉格斯！                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
61'相信大家都渴望看到一个状态出色的鲁尼                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
62'兰杰尔右路下底传中，博尼争顶没有顶着球后点戴维斯小角度打偏                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
63'瓦伦西亚右路拿球与鲁尼做撞墙式配合，戴维斯阻挡瓦伦西亚犯规                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
63'曼联获得一个前场右路的任意球机会                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
63'范佩西任意球传后点，传得有点高，直接出了底线                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
66'卡里克送身后球被兰杰尔拦截                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
66'上半场比赛进行了20分钟，场上比分还是0：0                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
67'琼斯长传弧顶处，范佩西接应左脚假射真扣过掉威廉姆斯后右脚打反角偏出                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'费迪南德后场高吊右路，瓦伦西亚头球摆渡下来被威廉姆斯头球顶出边线                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'曼联将球转移到左路，克莱维利交给范佩西，对方双人包夹将球断下                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'劳特里奇交给谢尔维，谢尔维带了几步后交给插到右路的劳特里奇                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
69'劳特里奇斜传禁区，维迪奇头球解围不远                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
69'米楚扛住身位右射小角度打门被德赫亚封出底线                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
69'代尔角球发到点球点附近，米楚甩头攻门偏出左门住                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
66'卡纳斯大力远射打在后卫身上                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
66'兰杰尔半空撩射打嗤了                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
67'博尼中场接应后分到左路                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
67'P埃尔南德斯斜传禁区，米楚被维迪奇挡在身后，推人了                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
67'主裁判放过米楚一马，没有给他黄牌                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'范佩西拉边接应被断球了，但威廉姆斯的传球又交给了卡里克                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'劳德鲁普有点坐不住了                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'鲁尼右路的传中打在戴维斯身上出了底线，角球                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
68'曼联获得一个前场右路的角球机会                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
69'范佩西角球落点很好，埃弗拉抢点头球攻门被门线上的卡纳斯挡出                   66'第66分钟，卡纳斯头球摆渡，兰杰尔右路25码处凌空抽射打偏
71'代尔右路得球，中路向人配合后由米楚分到左路空档                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
71'戴维斯插上稍慢传中之前已经出了底线                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
72'戴维斯左路拿球有点犹豫，瓦伦西亚上抢成功，戴维斯拉住了瓦伦西亚                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
72'本场比赛的主裁判是多德！他本赛季减肥成功，大肚子不见了！                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
73'维尔贝克沿左边线带球上来，过了兰杰尔但后面还有齐科                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
74'卡纳斯直传前场，代尔横敲给米楚                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
74'米楚回做由卡纳斯转方向到左路，戴维斯传中球被维迪奇头球解围                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
71'兰杰尔凌空打门没有命中目标！                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
71'卡纳斯后场拿球，范佩西背后踢倒了他                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
72'范佩西打出世界波！                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
72'范佩西中场接球利用鲁尼的跑位拉出的空档带球到弧顶前突破往左边一拐再大力劲射，球直挂球门左上角球进！                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
73'斯旺西获得一个前场右路的任意球机会                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
73'谢尔维任意球斜吊禁区，博尼起跳但没有顶着球                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
73'埃弗拉在后点解围                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
74'镜头给到了莫耶斯，他肩上的压力应该减少很多                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
74'鲁尼右路加速下底传中的打在后卫脚上出了底线                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
74'双方都准备换人                   71'第71分钟，巴勃罗-埃尔南德斯禁区左侧传中，无人防守的兰杰尔禁区右肋10码处凌空抽射偏出远角
75'谢尔维中路分到左路戴维斯，瓦伦西亚防得很紧                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
75'但中场依然是斯旺西的控球，布林顿禁区外大力轰门打在后卫身上                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
76'劳特里奇右路得球斜向带球，埃弗拉阻挡犯规                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
76'斯旺西获得一个禁区右犄角外一点的任意球机会                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
76'谢尔维任意球斜传门前落点不错但抢点的威廉姆斯没有顶着球                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
77'现场的天气情况有所好转，雨停了，雾气也散了不少                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
78'过了20分钟后，中场的控制权又落到了斯旺西脚下                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
78'卡纳斯                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
78'卡纳斯                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
78'卡纳斯交给米楚，米楚转身挑传禁区，德赫亚出击将球没收                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
75'先来看角球，范佩西低传门前                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
75'斯旺西后卫解围不及时，埃弗拉找到机会补射没有打上力量                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
75'博尼中场直塞禁区，兰杰尔拿球左脚低射被德赫亚倒地扑住                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
76'斯旺西换人，17号寄诚庸换下了21号卡纳斯                   75'第75分钟，埃弗拉角球混战中10码处射门被封堵
82'曼联将球分到左路，埃弗拉边路传中，威廉姆斯头球解围不远，后点瓦伦西亚横扫门前，维尔贝克包抄到位推射得手！                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
82'2分钟内曼联连进两球                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
82'劳特里奇左路得球，调整到右脚传中过不了费迪南德                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
83'斯旺西右路的进攻，兰杰尔插上变向突破，球被维迪奇拦截出底线                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
84'兰杰尔角球发到禁区内，争顶的威廉姆斯压人犯规                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
82'话音未落，博尼就进球了！                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
82'维尔贝克后场被断球，P埃尔南德斯断球与代尔做撞墙式配合来到弧顶处马上分给禁区左侧的空档，博尼球到人球推射球门右下角命中！                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
83'这位来自科特迪瓦的射手把握机会能力确实一流                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
84'寄诚庸分到左路P埃尔南德斯                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
84'P埃尔南德斯变向晃过琼斯后传中路被断                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
84'埃弗拉左路套上传对方后卫身后，鲁尼再次越位                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
85'鲁尼与队友的配合不很默契，这也可以理解                   82'斯旺西第82分钟扳回一城，巴勃罗-埃尔南德斯禁区前抢断维尔贝克又同代尔踢墙配合后传球，伯尼14码处推射右下角入网，1-3
92'代尔再传禁区被费迪南德顶了回来，第二点卡纳斯拿到                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
92'卡纳斯再斜传禁区也是被费迪南德将球端出禁区                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
93'上半场比赛结束！                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
92'镜头给到了正在压腿的博尼                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
92'安德森中路拿球，没有前传而是分给瓦伦西亚                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
92'维尔贝克也梅开二度，这球极其漂亮！                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
93'进球回放，鲁尼中路偏右的位置直塞，维尔贝克转身摆脱了齐科接应小角度挑射，球越过了沃姆落入球门远角！                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
93'相当漂亮的挑射，维尔贝克长球了                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
93'还有不到30秒的时间                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
94'曼联在低调中取得了开门红，而且是大胜                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
94'曼联获得右路的角球机会                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
94'角球刚发出来，主裁判终场哨响                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
94'全场比赛结束！                   92'第92分钟，鲁尼在两人夹防下直传球，维尔贝克禁区右侧10码处挑射破门梅开二度，4-1
