4'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.给他传球的是苏索.                   4'开场前4分钟，杰拉德两度外围射门均被封堵
41'利物浦球员苏索大禁区中央左脚射门,被防守球员封堵.给他传球的是杰拉德.                   41'第41分钟，苏索禁区内射门被卡巴耶挡出，随后纽卡解围角球，苏索20码处凌空抽射高出
41'卡巴耶将球处理出底线,利物浦获得角球.                   41'第41分钟，苏索禁区内射门被卡巴耶挡出，随后纽卡解围角球，苏索20码处凌空抽射高出
41'利物浦球员苏索大禁区外尝试右脚射门,可惜皮球高出球门.                   41'第41分钟，苏索禁区内射门被卡巴耶挡出，随后纽卡解围角球，苏索20码处凌空抽射高出
43'进球啦！！！纽卡斯尔球员卡巴耶大禁区左侧右脚射门,球从中路偏上飞进球门,球进了!助攻的是本-阿尔法. 利物浦 0-1 纽卡斯尔.                   41'第41分钟，苏索禁区内射门被卡巴耶挡出，随后纽卡解围角球，苏索20码处凌空抽射高出
45'纽卡斯尔球员卡巴耶大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   45'第45分钟，卡巴耶25码处射门偏出
45'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是斯科特尔.                   45'第45分钟，卡巴耶25码处射门偏出
45'+2'利物浦球员苏索手球犯规,对手获得球权.                   45'第45分钟，卡巴耶25码处射门偏出
45'+2'纽卡斯尔球员泰勒大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是P-西塞.                   45'第45分钟，卡巴耶25码处射门偏出
45'+3'上半场结束,利物浦 0-1 纽卡斯尔,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，卡巴耶25码处射门偏出
48'古铁雷斯将球处理出底线,利物浦获得角球.                   45'第45分钟，卡巴耶25码处射门偏出
48'辛普森将球处理出底线,利物浦获得角球.                   45'第45分钟，卡巴耶25码处射门偏出
50'纽卡斯尔换人,阿梅奥比上,登巴-巴因伤下场.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
50'纽卡斯尔球员安尼塔拼抢犯规,对手获得控球权.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
50'斯特林为利物浦在左路,赢得一个任意球.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
51'P-西塞为纽卡斯尔在对方半场,赢得一个任意球.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
51'利物浦球员斯特林拼抢犯规,对手获得控球权.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
53'纽卡斯尔P-西塞受伤倒地,比赛暂停                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
53'暂停结束,球员们重新开始比赛.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
53'纽卡斯尔球员安尼塔大禁区外尝试右脚射门,可惜皮球高出球门.                   50'第50分钟，登巴-巴受伤被阿梅奥比换下
58'射门!!!利物浦球员苏亚雷斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是沙辛.                   58'第58分钟，沙欣传球，苏亚雷斯左路25码处弧线球射门被克鲁尔扑出
58'克鲁尔将球处理出底线,利物浦获得角球.                   58'第58分钟，沙欣传球，苏亚雷斯左路25码处弧线球射门被克鲁尔扑出
59'利物浦球员沙辛大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是苏亚雷斯.                   58'第58分钟，沙欣传球，苏亚雷斯左路25码处弧线球射门被克鲁尔扑出
61'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   58'第58分钟，沙欣传球，苏亚雷斯左路25码处弧线球射门被克鲁尔扑出
61'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
63'纽卡斯尔球员辛普森拼抢犯规,对手获得控球权.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
63'斯特林为利物浦在左路,赢得一个任意球.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
64'P-西塞为纽卡斯尔在右路,赢得一个任意球.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
64'利物浦球员何塞-恩里克拼抢犯规,对手获得控球权.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
64'何塞-恩里克将球处理出底线,纽卡斯尔获得角球.                   61'第61分钟，苏亚雷斯传球，杰拉德25码处劲射被科洛奇尼封堵
67'进球啦！！！利物浦球员苏亚雷斯球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是何塞-恩里克. 利物浦 1-1 纽卡斯尔.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
68'纽卡斯尔换人,弗格森换下卡巴耶                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
70'射门!!!利物浦球员谢尔维大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
70'纽卡斯尔球员P-西塞拼抢犯规,对手获得控球权.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
70'维斯多姆为利物浦赢得一个任意球.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
70'古铁雷斯为纽卡斯尔赢得一个任意球.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
70'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   67'利物浦第67分钟扳平比分，恩里克长传，苏亚雷斯左肩停球摆脱科洛奇尼，随后又轻巧晃过克鲁尔射入空门，这是他本赛季第10粒入球
71'斯科特尔将球处理出底线,纽卡斯尔获得角球.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
71'阿梅奥比为纽卡斯尔在对方半场,赢得一个任意球.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
71'利物浦球员沙辛拼抢犯规,对手获得控球权.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
72'纽卡斯尔球员本-阿尔法大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
73'利物浦球员斯特林大禁区外右脚射门,被防守球员封堵.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
73'古铁雷斯将球处理出底线,利物浦获得角球.                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
74'利物浦换人,唐宁换下沙辛                   71'第71分钟，沙欣禁区前背后绊倒阿梅奥比，本-阿尔法25码处任意球左脚直接射门偏出
76'利物浦球员斯特林大禁区中央右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
76'泰勒将球处理出底线,利物浦获得角球.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
77'纽卡斯尔球员P-西塞大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
78'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
78'纽卡斯尔球员古铁雷斯拼抢犯规,对手获得控球权.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
78'斯特林为利物浦在右路,赢得一个任意球.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
79'辛普森将球处理出底线,利物浦获得角球.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
79'射门!!!纽卡斯尔球员本-阿尔法大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是阿梅奥比.                   76'第76分钟，苏亚雷斯反击中直传，斯特灵禁区右肋12码处射门被史蒂文-泰勒做出关键铲堵
79'辛普森将球处理出底线,利物浦获得角球.                   79'第79分钟，阿梅奥比传球，本-阿尔法突入禁区右侧的低射被琼斯没收
79'射门!!!纽卡斯尔球员本-阿尔法大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是阿梅奥比.                   79'第79分钟，阿梅奥比传球，本-阿尔法突入禁区右侧的低射被琼斯没收
90'射门!!!利物浦球员谢尔维大禁区中央头球,被对方守门员横身扑出.给他传球的是唐宁.                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
90'+3'纽卡斯尔球员桑顿拼抢犯规,对手获得控球权.                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
90'+3'斯特林为利物浦在对方半场,赢得一个任意球.                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
90'+3'黄牌！纽卡斯尔球员桑顿因为恶意犯规,被主裁判出示黄牌.                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
90'+4'P-西塞将球处理出底线,利物浦获得角球.                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
90'+4'下半场结束,利物浦 1-1 纽卡斯尔                   90'第90分钟，唐宁左路传中，无人防守的谢尔维10码处头球攻门正入克鲁尔下怀
