4'王燊超传中没有给好，落点太低                   4'上港开场即反客为主形成持续前压，比赛前4分钟即获得两次角球
58'中路争顶，人群中也不知道是被谁碰到，变成了吊门，颜骏凌门线上把球托出横梁                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
58'高增翔继续主罚，连续的角球给上港的防线施压                   55'第55分钟，孔卡右侧角球传中形成前点后蹭攻门，守护在后门柱的永昌球员在门线前将球顶出
62'孙祥传中制造角球                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
62'上港进攻能力还是很强的                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
62'孔卡把球送到后点，德芬迪把球解围                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
62'外围孔卡右侧45度在吊进去，传的不错，达维的头球，偏出远门柱                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
63'隆东前场拿球，得不到什么机会啊，很远的地方选择自己起脚，偏了                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
63'穆伦加中场附近积极的把球抢断                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
64'自己向前带，到了左侧，死胡同了啊，带的太多                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
64'穆伦加前场再次把球抢下来，黑又硬啊                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
64'穆伦加把球分边给右路，永昌打的很细，禁区外在搓进去                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
64'穆伦加越位了                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
65'上港左侧快速突破下底，来自于武磊                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
65'传向中间，李超抢在海森之前把球拦下                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
65'李超赶紧起身，再补一脚，解围出禁区，队长李超今天表现不俗啊                   62'第62分钟，孔卡右翼斜传永昌禁区，达维头球攻门顶偏
69'永昌的任意球直接送入禁区，门将颜骏凌出击把球得到                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
69'上港的长传，海森禁区内把球控下，横拨给中路的达维                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
69'达维迎头一脚射门，被关震扑出，关震虽然脱手，但第二下反应相当快                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
70'高增翔和对手相撞倒地                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
70'李超不断向裁判施压，不知道在说着什么，结果招致一张黄牌                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
71'刚才王燊超阻挡黄世博的那记犯规也被裁判出示了黄牌                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
71'高增翔受伤被换下，5号白鹤替补上来                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
71'高增翔在队医的搀扶下一瘸一拐的走回替补席，看来伤的不轻                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
72'上港左路进攻，胡伟把球解围出边线                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
72'上港还是在左路做配合，又是胡伟把球踢出了底线                   69'第69分钟，王龀右路前插时与高增翔剧烈接触，高增翔倒地不起；上港继续组织进攻中达维中路劲射被关震连续扑救没收
79'右路界外球交到孔卡脚下，孔卡起球到禁区后点，武磊力压胡伟，头球攻门被关震挡出，武磊第二下再补，把球打进                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
80'武磊的得分帮助球队扳平了比分                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
81'算上补时比赛大概还能有15分钟左右，这下比赛有意思了                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
81'永昌肯定想赢，毕竟两球领先被扳平不甘心，而上港这边连续追俩，气势也上来了                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
81'永昌的进攻，禁区内造混乱，后卫的解围差点又变成乌龙助攻                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
82'孔卡左侧得球，瞄了一眼禁区内，低球给进去                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
82'海森接的很舒服，一脚抽射，打偏了                   79'第79分钟，上港扳平比分――孔卡右路送出传中，武磊禁区内前插头球造成关震扑救脱手，武磊迅速补射破门
88'武磊左侧得球，来一脚打门，被后卫挡出底线                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
88'上港的角球，开出来，永昌队员全部回到自己禁区内防守                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
88'上港最后这几分钟围攻永昌的球门                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
89'上港中场附近起长传，关震出击摘下                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
89'隆东右路得球，自己突破，没有及时出球被断                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
89'隆东自己反抢，铲人犯规了                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
89'下半场补时4分钟                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
90'上港获得一个角球的机会                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
91'永昌换人，冯绍顺替下隆东                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
91'孔卡角球开出来，没有造成威胁                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
91'上港外围继续控球，穆伦加拼抢犯规                   88'第88分钟，武磊左侧劲射碰防守球员折线，关震已被晃倒但皮球也偏出底线
