1'上半场比赛开始                   1'上半场第1分钟，双方攻防转换速度很快
11'张鹭大脚开出，中路队员头球摆渡，球出了边线                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
12'永昌队右路界外球                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
12'隆东将球碰出了底线，球门球                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
12'丁海峰左路突破被抢断了                   9'第9分钟，永昌队快发任意球，毛剑卿左路传中越过了门将张鹭头顶，可惜包抄队员没有赶上
15'永昌队大脚找穆伦加被辽宁队解围                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
15'秦升转移到右路                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
16'丁捷起球，被顶了出来                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
16'秦升中路传球到禁区，守门员及时出击抱住了                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
16'差了一点点啊                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
17'隆东前场队杨善平犯规了                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
18'辽宁队右路突破被抢断了                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
18'冯绍顺拿球出了边线                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
18'穆伦加中路的远射，偏的有点多                   15'第15分钟，辽宁队前场拿球，秦升中路过顶长传到禁区，门将王国明出击将球得到
25'永昌队后场大脚找穆伦加，穆伦加犯规了                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
26'詹姆斯前场抢断，和邱卡做二过二配合，被断了                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
26'胡伟右路放倒了杨超声吃到了一张黄牌                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
26'辽宁队获得前场定位球                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
27'任意球开到禁区，被前点防守球员解围出底线，角球                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
28'角球开到前点，没有形成威胁                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
28'双方反击并没有好的机会                   25'第25分钟，永昌队胡伟放倒了杨超声吃到一张黄牌
28'角球开到前点，没有形成威胁                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
28'双方反击并没有好的机会                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
29'辽宁队后场大脚找詹姆斯，詹姆斯拿球之后回传，被冯绍顺解围出底线                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
29'詹姆斯示意裁判有手球，裁判没有理会                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
29'辽宁队把球回传到后场                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
30'米切尔倒在了地上                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
31'30分钟的比赛，双方打的都比较简单                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
31'辽宁队右路边线球                   28'第28分钟，辽宁队后场右侧长传到禁区，詹姆斯拿球摆脱许博防守后往里突破，被冯绍顺破坏出底线，辽宁队角球导致门前形成混战，但仍没有射门机会
34'隆东后场抢断，右路突破，被杨运放倒了                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
34'穆伦加禁区内头球攻门，没有打上力量被张鹭拿到                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
35'辽宁队右路传到禁区，给大了，詹姆斯停球回做                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
35'再起球，被解围了                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
36'邱卡左路拿球，被放倒了                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
36'辽宁队获得禁区左侧定位球                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
37'秦升直接大力打门，被人墙挡出                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
37'又到了秦升脚下，又是一脚打门啊，偏的有些多                   34'第34分钟，永昌队右路起高球到门前，穆伦加头球攻门没有打上力量，被张鹭没收
38'隆东右路突破被放倒了，没有犯规                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
38'邱卡中路的直接打门被封堵了                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
38'丁捷跟上又是一脚，高出了球门                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
38'冯绍顺受伤倒在了地上                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
39'这段时间，永昌队打的很被动，完全按着辽宁队的节奏在踢                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
39'比赛重新开始                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
40'永昌队左路进攻，起球到禁区，隆东高高跃起，差了一点点，没有碰到皮球                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
41'米切尔后场控球                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
41'邱卡中路拿球                   38'第38分钟，辽宁队丁捷外围大脚攻门高出横梁
43'永昌队进攻到前场又是出现了失误                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
43'进球啦                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
44'永昌队连续进攻，辽宁队解围没有踢远，毛剑卿禁区前沿右脚直接打门，皮球飞入远角，张鹭没有反应啊                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
45'这球打的相当漂亮啊                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
45'上半场进入了补时阶段                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'邱卡突破被放倒了，辽宁队获得禁区右侧定位球                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'扳平了                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'下半场比赛开始了                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'辽宁队后场控球，大脚开到前场被断了                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'詹姆斯禁区左侧传中，也被断了                   43'第43分钟，永昌率先打破场上僵局，隆东右路横传，乔罗拿球后被辽宁队解围出禁区，皮球来到毛剑卿的脚下，毛剑卿一脚小腿摆动弹射，皮球直入网窝，永昌队主场1-0取得领先
46'邱卡突破被放倒了，辽宁队获得禁区右侧定位球                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
46'扳平了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
47'丁海峰定位球开到禁区，秦升头球攻门，将球打进，1-1                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
47'比赛最后阶段出现了高潮啊                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
48'张鹭大脚开出来                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
48'上半场比赛结束了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
46'下半场比赛开始了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
46'辽宁队后场控球，大脚开到前场被断了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
46'詹姆斯禁区左侧传中，也被断了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
47'郑涛将球解围出底线，永昌队角球                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
47'角球开了出来，张鹭出击将球拿到                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
48'邱卡中路突破直塞被封堵，再传到右路                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
48'右路起球到禁区，被顶了出来                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
48'邱卡禁区内拿球之后打门，被封堵出底线                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
49'角球开到前点，被解围了                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
49'郑涛远射，没有对球门形成威胁                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
49'毛剑卿左路传中，被郑涛挡出边线                   46'下半场易边再战，第46分钟，郑涛将永昌队的射门挡出底线，永昌获得左侧角球机会，角球开出被张鹭得到
51'隆东前场分球被断了，冯绍顺反抢成功，起球到禁区，被张鹭拿到                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
52'毛剑卿前场抢断，穿裆过掉杨善平之后直接打门，被封堵了                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
53'辽宁队犯规，永昌队定位球                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
53'直接开到禁区，越位了                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
54'郑涛与邱卡做配合之后倒在了地上，裁判没有吹哨                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
54'穆伦加禁区内拿球，被断了，没有回传啊                   51'第51分钟，冯绍顺右路起球到门前，张鹭出击将球没收
64'永昌队大脚找穆伦加也是被解围                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
65'毛剑卿中路分球，隆东禁区外围来了一脚，没有力量，被张鹭轻松得到                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
65'辽宁队后场控球                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
66'杨超声前场铲球踢倒了白鹤                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
66'辽宁队换人了，张靖洋上，杨超声下                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
67'詹姆斯禁区弧顶的横传被断了                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
67'永昌队快速反击，被防守球员解围出边线                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
67'邱卡右路突破之后分球右路，李超对张靖洋犯规了                   64'第64分钟，隆东前场拿球一脚远射，张鹭倒地将球抱住
67'詹姆斯禁区弧顶的横传被断了                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
67'永昌队快速反击，被防守球员解围出边线                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
67'邱卡右路突破之后分球右路，李超对张靖洋犯规了                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
68'辽宁队右路定位球                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
68'丁海峰打到后点，第一点被解围，第二点米切尔头球被挡出底线                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
69'角球开到禁区，被解围了                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
69'辽宁队禁区外围的打门被封堵                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
70'丁海峰拿球之后又是一脚，还是被挡了出来                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
70'詹姆斯后场断球，辽宁队反击，最后一下被守门员拿到了                   67'第67分钟，张靖洋被李超放倒，辽宁队右路获得任意球机会，丁海峰将球开出到后点找詹姆斯，门前混战后永昌破坏出底线
76'不好意思，刚才掉线了                   74'第74分钟，前场永昌中路斜传禁区右路，隆东横敲门前，穆伦加获得直面门将机会，可惜脚下拌蒜没形成射门
76'永昌队右路进攻，队友滑到在了禁区内                   74'第74分钟，前场永昌中路斜传禁区右路，隆东横敲门前，穆伦加获得直面门将机会，可惜脚下拌蒜没形成射门
77'永昌队后场长传找穆伦加                   74'第74分钟，前场永昌中路斜传禁区右路，隆东横敲门前，穆伦加获得直面门将机会，可惜脚下拌蒜没形成射门
77'白鹤前场推倒了辽宁队队员                   74'第74分钟，前场永昌中路斜传禁区右路，隆东横敲门前，穆伦加获得直面门将机会，可惜脚下拌蒜没形成射门
82'隆东做球，第二点被解围了                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
82'辽宁队前场犯规了                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
83'隆东右路传中被挡出边线                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
84'邱卡右路拿球，没什么办法，还是自己单来                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
84'右路传中被门将拿到了                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
85'永昌队换人，黄凤涛上，毛剑卿下                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
85'辽宁队张靖洋受伤了                   82'第82分钟，辽宁队右路进攻，邱卡过人后横传门前，王国明出击将球得到
85'永昌队换人，黄凤涛上，毛剑卿下                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
85'辽宁队张靖洋受伤了                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
86'詹姆斯左路传中，邱卡头球没有顶好                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
86'辽宁队换人，杨宇上，张靖洋下                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
87'杨宇后场大脚解围，打在永昌队员腿上出了底线                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
88'永昌队左路进攻赢的一个界外球                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
88'乔罗手榴弹扔到禁区，被解围了                   85'第85分钟，辽宁队左路下底传中，邱卡头球抢点被王国明出击得到
88'永昌队左路进攻赢的一个界外球                   88'第88分钟，黄凤涛左路传中被张鹭没收
88'乔罗手榴弹扔到禁区，被解围了                   88'第88分钟，黄凤涛左路传中被张鹭没收
89'黄凤涛左路突破传中，被张鹭拿到                   88'第88分钟，黄凤涛左路传中被张鹭没收
90'永昌队后场失误了                   88'第88分钟，黄凤涛左路传中被张鹭没收
90'邱卡拿球之后被乔罗放倒在地上                   88'第88分钟，黄凤涛左路传中被张鹭没收
90'辽宁队获得前场定位球                   88'第88分钟，黄凤涛左路传中被张鹭没收
91'下半场补时3分钟                   88'第88分钟，黄凤涛左路传中被张鹭没收
91'秦升直接大力抽射，皮球穿过人墙，被守门员扑出底线                   88'第88分钟，黄凤涛左路传中被张鹭没收
91'角球开出被解围了                   88'第88分钟，黄凤涛左路传中被张鹭没收
48'张鹭大脚开出来                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
48'上半场比赛结束了                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
48'邱卡中路突破直塞被封堵，再传到右路                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
48'右路起球到禁区，被顶了出来                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
48'邱卡禁区内拿球之后打门，被封堵出底线                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
49'角球开到前点，被解围了                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
49'郑涛远射，没有对球门形成威胁                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
49'毛剑卿左路传中，被郑涛挡出边线                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
50'乔罗大力手抛球发到禁区，被解围出来                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
50'秦升后场长传，直接出了底线                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
51'隆东前场分球被断了，冯绍顺反抢成功，起球到禁区，被张鹭拿到                   48'下半场补时3分钟，第92分钟，邱卡中路分球，詹姆斯打门被封堵
