6'分给马内                   6'第6分钟，凯塔分球，马内左路传中，萨拉赫10码处凌空扫射被凯帕没收
49'打在埃莫森腿上出了底线！                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
49'利物浦右侧角球！！发出来！                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
49'禁区内凯塔跟上的凌空打门！                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
50'打飞了                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
50'切尔西后场开球！                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
51'阿诺德前场右路 分给身后的亨德森                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
51'马蒂普接球                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
51'球分到右边路给萨拉赫                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
51'萨拉赫右路分到禁区                   48'利物浦3分钟连入2球打破僵局，第51分钟，萨拉赫同菲尔米诺踢墙配合后突入禁区右侧受阻，跟进的亨德森传中，马内远点近距离头球破门
59'为切尔西获得一个左侧角球                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
59'战术角球！！！阿扎尔左路传中！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
59'到禁区内                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
59'被范迪克顶出                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
59'禁区外左侧！！奇克抢到球！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60'分到禁区！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60'阿扎尔单刀面对阿利森！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60'低射！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60'击中左侧立柱弹出啊                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60' 慢镜头看阿扎尔这个单刀低射还穿了阿利森的小门，但运气是真的真的真的太差了！！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
60'回到比赛                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'切尔西进攻继续                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'伊瓜因斜传转移给右路威廉                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'威廉传中到禁区                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'阿扎尔小禁区前沿跟上！！一脚抽射！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'被阿利森扑出！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
61'身边的马蒂普协防！！把球解围出去！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
62'埃莫森边线球发出分给若日尼奥！！！                   59'切尔西连续浪费机会错过机会，第59分钟，埃莫森长传，反越位成功的阿扎尔12码处单刀低射憾中左侧立柱
