3'广州富力队得到角球机会                   3'第3分钟，广州富力角球进攻制造混乱，无人防守的博基拉小角度攻门偏出
42'王永珀左路快速反击，对方犯规                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
43'塔尔德利中场拿球，交给王永珀，再转移到左路                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
44'塔尔德利挑传禁区，多好的机会啊，阿洛伊西奥调整没能形成打门！                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
44'广州富力队左路进攻，几脚传球也没有找到机会                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
45'广州富力队挑传球，博基拉左路横传，被挡出底线                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
45'汪嵩发角球到门将，王大雷把球打出来                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
45'塔尔德利控球，鲁能泰山队快速反击                   42'第42分钟，广州富力角球进攻，张贤秀头球攻门，王大雷毫无反应，幸亏蒿俊闵门线上头球解围
48'鲁能泰山队长传前场右路，王彤越位                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
49'塔尔德利右路突破到禁区线，突然一脚斜射，刘殿座没收                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
49'是传是射，塔尔德利有些犹豫                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
49'地上有积水，球不怎么走啊                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
50'鲁能泰山队进球啦，塔尔德利，3-1                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
50'王彤右路横传，塔尔德利横传给阿洛伊西奥，阿洛伊西奥直传，塔尔德利起脚打门球进！                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
50'鲁能泰山队的这次右路配合太漂亮啦！                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
51'博基拉右路强突内线，乌索把球断下来                   48'第48分钟，塔尔德利边路拿球内切，晃过一名防守队员后远射，结果力量不大被门将没收
51'博基拉右路强突内线，乌索把球断下来                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
52'鲁能泰山队长传进攻，阿洛伊西奥突破到禁区很漂亮，但有些独啦，回扣打门偏出！                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
52'右侧已经有队员在接应，非常好的机会                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
52'杨旭已经在右点等着，要是能传过去，是必进之球                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
53'乌索中后场抢到球，张贤秀铲球犯规                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
53'我已成僵尸粉 山东鲁能：看吧看吧，无论谁，送分童子都能送分[回复]鲁能泰山队今天的表现确实不错                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
53'广州富力队换上李健华                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
53'博基拉右路攻到前场，戴琳把球破坏出边线                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
54'戴琳和博基拉发生了争执，是博基拉推了戴琳一把，戴琳很生气                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
54'郑铮上前将双方分开                   51'第51分钟，山东鲁能快速反击，阿洛伊西奥带球突击与杨旭形成二打二局面，阿洛伊西奥扣球摆脱两名防守队员，直接兜射远角偏出，此球引起杨旭不满
57'目前鲁能泰山队的射门比对方多三次！                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
57'王大雷立功啦！！雷纳尔迪尼奥一脚远射，王大雷奋力把球托出                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
57'雷纳尔迪尼奥发角球到禁区内，对方解围出来                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
57'鲁能泰山队左路反击，塔尔德利接球被断                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
58'乌索后场得球解围，打在对方身上出底线，居然给了角球                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
58'角球发到禁区内，王大雷把球打出来                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
58'广州富力队外围远射，被破坏出边线                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
59'广州富力队再换人：21常飞亚换下汪嵩                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
59'阿隆右路转身突破横传，郑铮挡出底线                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
60'战术角球发出来，广州富力队横传中路，挑传禁区被对方解围                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
60'乌索后场抢球犯规，勾倒了雷纳尔迪尼奥，任意球机会                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
60'刚才是勾倒了姜宁！雷纳尔迪尼奥来主罚任意球                   57'第57分钟，广州富力禁区外远射，王大雷飞身将球扑出底线
60'战术角球发出来，广州富力队横传中路，挑传禁区被对方解围                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
60'乌索后场抢球犯规，勾倒了雷纳尔迪尼奥，任意球机会                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
60'刚才是勾倒了姜宁！雷纳尔迪尼奥来主罚任意球                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
61'雷纳尔迪尼奥发任意球直接打门，险些破门，被王大雷侧扑把球打出                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
61'鲁能泰山队后场得球快速反击，到中场传球失误                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
62'博基拉前场突破打门，王大雷没收                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
62'尤西雷在示意队友要把 节奏慢下来，压一下节奏                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
62'鲁能泰山队长传球，杨旭在前场抢到球，张耀坤抢球犯规                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
63'郑铮左路突破，对方两人包夹把球断下来                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
63'广州富力队连续换三人，阵容有些乱                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
63'雷纳尔迪尼奥左路强突，尤西雷把球破坏出边线                   60'第60分钟，姜宁制造乌索犯规，广州富力获得任意球，雷纳尔迪尼奥弧线球直奔球门，王大雷飞身将球扑出
75'雷纳尔迪尼奥直传球，奥拉纳尔右路下底强突内线，戴琳把球破坏                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
76'广州富力队得到角球机会                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
76'战术角球发出来！！常飞亚禁区内突破，李微犯规！！点球！                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
77'奥拉纳尔主罚点球！在左门柱！王大雷扑对了方向，但球还是进啦！                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
78'这一粒进球，对广州富力队来说非常重要，能提升士气！                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
78'鲁能泰山队攻到前场，对方断球反击                   75'第75分钟，李微禁区内侧面防守将球踢出，但是常飞亚也造成倒地，主裁判位置不好情况下认定是点球，阿隆操刀主罚大力推射，王大雷判断对方向并碰到皮球，但是未能阻止皮球入网，场上比分变为2-3
84'任意球发到禁区内，越位啦，但助理裁判没有举旗，进攻的两名队员都让球                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
84'皮球马上就要出底线，戴琳飞铲出边线                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
84'界外球发出来，雷纳尔迪尼奥回传，奥拉纳尔越位                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
85'奥拉纳尔左路突破下底横传，王大雷出击，后卫挡出来，雷纳尔迪尼奥再打门，王大雷回身把球没收                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
85'杨旭在前场拿球突破，金洋洋防守犯规！吃到了黄牌                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
86'这一脚铲得，杨旭受伤不轻                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
86'杨旭被抬出场外，希望不会有大问题                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
87'任意球发出来，鲁能泰山队回传球，再分边路乌索没能控到，球出边线                   84'第84分钟，广州富力打出快速反击，阿隆摆脱王大雷推射远角，蒿俊闵门前解围，雷纳尔迪尼奥补射打疵，王大雷回防将球没收
