11'马林-李奥华斯将球处理出底线,马德里竞技获得角球.                   11'马竞第11分钟取得领先，米兰达角球混战中小禁区边缘内推射破门
45'上半场结束,马德里竞技 3-0 奥地利维也纳,稍事休息,我们一会来看看下半场两队的表现.                   45'马竞第45分钟锁定胜局，胡安弗兰禁区右侧边缘传中，阿德里安10码处推射被扑出，费利佩小禁区左侧补射入网，3-0
45'马德里竞技换人,奥利弗上,阿德里安因伤下场.                   45'马竞第45分钟锁定胜局，胡安弗兰禁区右侧边缘传中，阿德里安10码处推射被扑出，费利佩小禁区左侧补射入网，3-0
47'奥地利维也纳球员马德尔大禁区外左脚射门,被防守球员封堵.                   45'马竞第45分钟锁定胜局，胡安弗兰禁区右侧边缘传中，阿德里安10码处推射被扑出，费利佩小禁区左侧补射入网，3-0
51'射门!!!马德里竞技球员迭戈-科斯塔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是科克.                   51'第51分钟，科凯传球，迭戈-科斯塔禁区边缘外抽射被没收
52'奥地利维也纳换人,马库斯-苏特纳换下莫格                   51'第51分钟，科凯传球，迭戈-科斯塔禁区边缘外抽射被没收
52'奥地利维也纳换人,霍西纳换下西姆科维奇                   51'第51分钟，科凯传球，迭戈-科斯塔禁区边缘外抽射被没收
54'奥地利维也纳球员马德尔拼抢犯规,对手获得控球权.                   51'第51分钟，科凯传球，迭戈-科斯塔禁区边缘外抽射被没收
54'科克为马德里竞技在右路,赢得一个任意球.                   51'第51分钟，科凯传球，迭戈-科斯塔禁区边缘外抽射被没收
75'奥地利维也纳球员曼努埃尔-奥特勒科内尔犯规,致使对方获得点球.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
75'点球,罗德里格斯在禁区内被侵犯,马德里竞技获得点球.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
75'黄牌！奥地利维也纳球员曼努埃尔-奥特勒科内尔因为恶意犯规,被主裁判出示黄牌.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
75'马德里竞技球员迭戈-科斯塔点球被对方守门员扑出.点球罚失.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
75'亨氏-林德纳将球处理出底线,马德里竞技获得角球.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
78'奥地利维也纳球员马林-李奥华斯拼抢犯规,对手获得控球权.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
78'劳尔-加西亚为马德里竞技在右路,赢得一个任意球.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
78'射门!!!马德里竞技球员迭戈-科斯塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是加比.                   75'看球买彩票第75分钟，奥特莱切内尔禁区内对克里斯蒂安-罗德里格斯犯规，迭戈-科斯塔主罚点球低射右下角被林德内尔扑出
82'进球啦！！！马德里竞技球员迭戈-科斯塔大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是劳尔-加西亚. 马德里竞技 4-0 奥地利维也纳.                   82'第82分钟，劳尔-加西亚脚后跟传球，迭戈-科斯塔禁区边缘的推射偏转入网，4-0
84'马德里竞技球员罗德里格斯大禁区外左脚射门,被防守球员封堵.                   82'第82分钟，劳尔-加西亚脚后跟传球，迭戈-科斯塔禁区边缘的推射偏转入网，4-0
85'奥地利维也纳球员迪拉维尔拼抢犯规,对手获得控球权.                   82'第82分钟，劳尔-加西亚脚后跟传球，迭戈-科斯塔禁区边缘的推射偏转入网，4-0
85'迭戈-科斯塔为马德里竞技在对方半场,赢得一个任意球.                   82'第82分钟，劳尔-加西亚脚后跟传球，迭戈-科斯塔禁区边缘的推射偏转入网，4-0
