1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎，寒冷天气也令比赛减缓节奏
46'任意球快速发出                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'左路接球转移                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'摩西右路起球送禁区                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'第一点被后卫顶出                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'左路切尔西拿球突到底线                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'下半场比赛开始！！                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'下半场比赛由哈德斯菲尔德开球                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'中场休息的时候，哈德斯菲尔德有换人调整                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'有2分钟的补时                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'哈德斯菲尔德右路起球送禁区                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'自己后卫的头球解围往门里顶啊                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'库尔图瓦救险了啊                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
46'1-3！！！                   43'切尔西第43分钟扩大比分，阿斯皮利奎塔斜传，阿隆索左路任意球传中，威廉小禁区边缘头球破门
50'0-3！！！                   50'切尔西第50分钟几近锁定胜局，阿隆索传中，辛德勒顶住威廉勉强解围，佩德罗禁区边缘内射入右上角，3-0
50'佩德罗！！！                   50'切尔西第50分钟几近锁定胜局，阿隆索传中，辛德勒顶住威廉勉强解围，佩德罗禁区边缘内射入右上角，3-0
51'切尔西左路起球送禁区，队友停球下来回做，佩德罗禁区内推射将球打进！！                   50'切尔西第50分钟几近锁定胜局，阿隆索传中，辛德勒顶住威廉勉强解围，佩德罗禁区边缘内射入右上角，3-0
53'哈德斯菲尔德中场大范围转移                   50'切尔西第50分钟几近锁定胜局，阿隆索传中，辛德勒顶住威廉勉强解围，佩德罗禁区边缘内射入右上角，3-0
53'直接出了边线                   50'切尔西第50分钟几近锁定胜局，阿隆索传中，辛德勒顶住威廉勉强解围，佩德罗禁区边缘内射入右上角，3-0
88'哈德斯菲尔德中场拿球                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'左路做撞墙配合                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'底线附近传到禁区                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'前点被破坏                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'禁区外围                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'威廉姆斯远射打门                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'球打在自己球员身上有一个折射                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
89'险些破门啊                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
90'常规的时间马上就要结束了                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
90'补时的时间应该不会太长                   88'第88分钟，摩西传中，巴舒亚伊前点小角度破门因手球犯规在先被判无效
