30'左路继续起球，第一点还是被顶出                   30'第30分钟，主裁判瓦莱里得到VAR提醒，到场边观看回防后吹罚尤文点球
62'角球到中路，曼朱基奇头球直上直下                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
62'奥德罗把球托出去，还是角球                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
62'这次角球混战，手球了                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
62'裁判很果断给了点球                   59'C罗第59分钟几乎梅开二度，阿莱士-桑德罗左侧掷入边线球，C罗内切距门28米处大力轰门击中右门柱弹回场内
47'尤文右侧任意球机会                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
47'去后点，基耶利尼头球顶偏了                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'桑德罗左路转移，穆鲁解围                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'左路起高球，被佩林没收了                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'上半场结束                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
47'卡普拉里前场回敲，再分左路                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
47'传大了一点                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
47'詹右路突进，埃克达尔先卡住身位                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
47'皮亚尼奇右路摆脱，被利内蒂绊倒                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'拉米雷斯拿球到禁区前，分左路                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'卡普拉里内切，晃开角度                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'低射太正，被佩林扑住了                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
48'迪巴拉斜传左路，桑德罗横敲                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
49'德西利奥右路推进，被铲截                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
49'德西利奥倒地了，穆鲁主动踢出去                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
49'这球铲的很干净，没有犯规                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
50'比赛继续，球权还给桑普                   47'补时第2分钟出现戏剧性场面，桑普两位替补打出配合，德弗雷禁区右侧回敲，萨波纳拉禁区边缘左脚弧线球挂远角，他脱下球衣庆祝吃到黄牌
