46'下半场比赛开始                   43'第43分钟，蒙蒂略任意球传中，佩莱头球被李帅没收
64'鲁能泰山队右路强行传中，被挡出底线                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
64'角球机会                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
64'蒿俊闵发角球到区内，对方顶出来！宋龙的远射高出                   62'第62分钟，山东鲁能换人调整，刘彬彬换下王永珀，李海龙换下齐天羽
76'上海申花队进球啦！莫雷诺！1-0                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
77'莫雷诺突破了李松益！一脚大力远射！皮球应声入网！                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
77'鲁能泰山队的机会！！佩莱的机会！可惜没进！                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
78'宋龙左路突破下底横传禁区！！佩莱侧身打门！！稍稍高了一丝丝！                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
78'马丁斯后场得球，横传到右路进攻                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
79'蒙蒂略在前场接球，被放倒啦！蒙蒂略倒在地上                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
76'蒙蒂略左路直传球给刘彬彬，横传禁区，佩莱抢点打门被破坏                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
76'上海申花队长传球，越位啦                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
76'上海申花队换人，王赟上场，换下吕征！                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
78'鲁能泰山队右路斜传球到禁区内，被破坏出来                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
79'鲁能泰山队右路斜传禁区，西塞抢点打门！高出                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
79'李帅发门球有些延误时间！！黄牌子！                   76'第76分钟，马丁斯带球快速反击，将球妙传给后插上的吕征，后者获得单刀机会，但是射门王大雷挡出
79'蒙蒂略在前场接球，被放倒啦！蒙蒂略倒在地上                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
80'犯规的是秦升，黄牌！鲁能泰山队得到任意球机会                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
80'蒙蒂略发任意球到禁区内，佩莱                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
81'蒙蒂略发任意球到禁区内，佩莱、尤西雷、吉尔三点齐发！佩莱没够到，尤西雷没顶到，吉尔错过                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
81'球直接出了底线                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
82'角球发到前点，对方顶出边线                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
79'鲁能泰山队右路斜传禁区，西塞抢点打门！高出                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
79'李帅发门球有些延误时间！！黄牌子！                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
80'后场吉尔得球，大脚长传前场，以坟把球开回来                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
80'蒙蒂略左路得球带到禁区内，再横带啊，带得太大了，被对方铲断下来、                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
81'莫雷诺带球到前场，突然停下来                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
81'西塞右路突破直传给佩莱，再分到右路                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
82'鲁能泰山队右咱横传禁区！！佩莱侧身打门被李帅挡出来！西塞补射偏出！                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
82'佩莱的头球顶门被挡出来！                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
82'上海申花队七名队员跑到助理裁判那儿！示意佩莱越位在先！                   79'第79分钟，蒙蒂略边路传中，刘彬彬抢射被挡出，后点的西塞抢点射门高出横梁
82'角球发到前点，对方顶出边线                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
83'鲁能泰山队长传前场，佩莱头球过渡                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
83'蒿俊闵右路斜传禁区！！可惜没有人能顶到，大了些，直接出底线                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'吕征右路突破，回传给莫雷诺                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'吕征在右路很积极啊！面对旧主，更积极表现                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
85'今天上海申花队进攻也很积极！在领先后，在中场压一下节奏                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
85'上海申花队长传前场左路，球出边线                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
82'鲁能泰山队右咱横传禁区！！佩莱侧身打门被李帅挡出来！西塞补射偏出！                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
82'佩莱的头球顶门被挡出来！                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
82'上海申花队七名队员跑到助理裁判那儿！示意佩莱越位在先！                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
83'主裁判给李建滨出示了黄牌！                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
83'上海申花队换人，陶金上场，换下曹赟定                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
83'对鲁能泰山队来说，时间已经不多了                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'刘彬彬左路突破横传禁区，蒙蒂略抢点传球，被捅出底线                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'鲁能泰山队得到角球机会                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'蒙蒂略发角球到禁区内，莫雷诺顶出来                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
84'鲁能泰山队再传禁区，李帅脱手，蒙蒂略左路横传，又被破坏出来                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
85'王大雷快到中场了，把球传到右路，交给吉尔                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
85'刘彬彬左路突破下底横传，被李帅没收                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
85'后场鲁能泰山队得球，长传球到前场                   82'第82分钟，李海龙边路传中，佩莱头球攻门被李帅挡出，西塞补射两连击偏出
