1'上半场比赛开始！！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
62'申花这边有球员抽筋，被担架抬出场外！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
62'申花换人：34号毕津浩上，换下抽筋的6号栗鹏                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
63'特维斯右侧角球开出到前点！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
63'陶金抢点垫射，打在了边网上！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
63'申花前场抢断，直塞给莫雷诺                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
64'莫雷诺的反击，强突到禁区                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
64'面对回防的黄政宇，左脚打门，被程月磊挡出底线！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
64'申花获得角球，开出到禁区，被富力球员解围                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
64'丛震外围拿球，再传左侧给莫雷诺                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
64'莫雷诺的凌空打门， 被防守球员挡出了边线！！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
65'李运秋中场防守，和雷纳迪尼奥相撞倒地！！                   62'第62分钟王赟左路直传球准确找到莫雷诺，哥伦比亚人禁区内左脚抽射稍稍高出
67'乌索分球卢琳，卢琳再给左侧进来的姜至鹏                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
67'姜至鹏停球一拨，禁区左上角起脚打门，被挡出                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
67'富力前场再攻，姜至鹏左侧强突下底，传中被挡出底线                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
67'富力获得左侧角球机会！！                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
68'富力换人：32号陈志钊被换下，换上13号叶楚贵！！！                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
68'姜至鹏左侧角球开出到前点，被申花球员解围                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
68'姜至鹏左侧再拿，横传肖智                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
68'肖智停球左脚打门，被挡出了边线！！                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
70'姜至鹏左路拿球，挑传到禁区                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
70'雷纳迪尼奥停球勾回到门前，毕津浩回防放铲                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
70'抢在扎哈维之前，将球破坏出底线！！                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
70'富力获得左侧角球机会！！！                   67'第67分钟富力连续围攻申花禁区，好在申花防守人数众多，富力总是拿不到最后一脚射门机会
73'莫雷诺前场中路拿球，强突往禁区走                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
73'可惜最后一下趟大了，程月磊出击将球拿到                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
74'特维斯前场左路拿球，内切后的远射                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
74'打偏了，球出底线！！！                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
75'乌索后场拿球，直塞给回来接应的卢琳                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
76'卢琳再给雷纳迪尼奥，后者横传叶楚贵                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
76'叶楚贵的斜传找姜至鹏，姜至鹏停球强突                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
76'熊飞回防，拉倒了姜至鹏，犯规！！                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
76'富力获得前场左路的任意球机会！！！                   73'第73分钟特维斯禁区外射门打偏，这是他全场第三次攻门
83'雷纳迪尼奥的左路传中，被金基熙头球解围出底线！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
83'富力再次获得左侧角球，卢琳主罚！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
83'卢琳战术球给到雷纳迪尼奥                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
83'雷纳迪尼奥回传卢琳，卢琳再给叶楚贵                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
83'叶楚贵强突，再回给卢琳                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
84'卢琳回带横切，传中球，被解围出底线！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
84'富力再次获得右侧角球，开出被解围！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
84'富力前场再攻，卢琳禁区弧顶的抽射，击中横梁弹回                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
85'申花球员解围，肖智禁区线上再打，被挡                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
85'扎哈维的凌空补射，打飞！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
86'申花前场右路拿球，强行内切到禁区                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
86'面对两人夹击，起脚打门，打进，可惜裁判吹罚手球在先，无效！！                   83'第83分钟金基熙解围把球踢给卢琳，后者推射，球中横梁弹下
86'申花前场右路拿球，强行内切到禁区                   86'第86分钟曾超换下肖智
86'面对两人夹击，起脚打门，打进，可惜裁判吹罚手球在先，无效！！                   86'第86分钟曾超换下肖智
87'慢镜回放显示，这球好球啊                   86'第86分钟曾超换下肖智
87'特维斯的强突，人球分过，球弹地起来打在了起右大腿上，并非打在手上！                   86'第86分钟曾超换下肖智
87'富力换人：14号曾超上，换下29号肖智！！                   86'第86分钟曾超换下肖智
88'特维斯终于开挂了，可惜进球被吹无效。。。这运气。。                   86'第86分钟曾超换下肖智
88'申花前场再攻，特维斯的远射，被程月磊拿到                   86'第86分钟曾超换下肖智
88'卢琳中圈附近拿球，横传给到上来的姜积弘                   86'第86分钟曾超换下肖智
89'姜积弘再给乌索，乌索分球卢琳                   86'第86分钟曾超换下肖智
89'卢琳再给扎哈维，扎哈维分球左侧姜至鹏                   86'第86分钟曾超换下肖智
89'力量有点轻，莫雷诺上抢放铲                   86'第86分钟曾超换下肖智
89'姜积弘再给乌索，乌索分球卢琳                   89'第89分钟李提香换下卢琳
89'卢琳再给扎哈维，扎哈维分球左侧姜至鹏                   89'第89分钟李提香换下卢琳
89'力量有点轻，莫雷诺上抢放铲                   89'第89分钟李提香换下卢琳
90'和姜至鹏相撞，双双倒地！！                   89'第89分钟李提香换下卢琳
90'裁判吹罚了姜至鹏的犯规！！                   89'第89分钟李提香换下卢琳
90'富力换人：35号李提香上，换下23号卢琳！！                   89'第89分钟李提香换下卢琳
90'下半场比赛补时4分钟！！                   89'第89分钟李提香换下卢琳
92'特维斯前场左路背身拿球！！                   89'第89分钟李提香换下卢琳
92'黄政宇身后上抢，将球破坏出边线！！！                   89'第89分钟李提香换下卢琳
92'金基熙后场拿球，扎哈维逼抢犯规！！                   89'第89分钟李提香换下卢琳
92'特维斯前场左路背身拿球！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
92'黄政宇身后上抢，将球破坏出边线！！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
92'金基熙后场拿球，扎哈维逼抢犯规！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
93'王赟中场拿球，过顶球给到特维斯                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
93'特维斯停球一扣，横传莫雷诺                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
93'莫雷诺停球起脚打门，被挡出！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
94'莫雷诺拿球再调整，遭遇三人围堵，失误了！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
94'富力的反击，姜至鹏左路拿球，内切到禁区弧顶                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
94'准备起脚打门，被申花球员解围！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
94'姜至鹏外围拿球，申花球员倒地                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
95'裁判示意其起来，并未如愿，姜至鹏将球踢出边线！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
95'抽筋的申花球员被担架抬出场外！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
95'申花将球权踢还给到了富力！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
95'张璐站在场边准备替换出场！！                   92'第92分钟特维斯禁区前沿送球，莫雷诺射门被封住路线，再想射门又被广州富力四名队员合力抢下
