8'胡斯蒂准备发球                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
21'是一次迟来的拦截                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
22'胡斯蒂点球大力低射球门右下角，球进！                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
22'张力前场铲断                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
23'范晓东插上挑传，给大了，伊哈洛没有追上                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
23'亚泰前场右路的界外球                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
23'蒋哲下底时趟球出底线                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
23'颜骏凌发门球                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
24'韦世豪得球交给林创益，斜吊禁区被伊斯梅洛夫顶出                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
24'林创益再拿球，来一脚远射，打偏了                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
24'陈金刚不断出来指点队员                   21'但失球还是在第21分钟来到，伊哈洛右路带球杀入禁区，面对石柯伊哈洛连续扣球摆脱，艾哈迈多夫上来把伊哈洛撞倒，点球
27'张力轻搓后点，混战中蒋哲倒地铲射，球进了！                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
27'这是张力的传球打在蔡慧康身后弹到门前，蒋哲抢前将球抽入大门！                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
27'长春亚泰2：0领先上海上港！                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
28'林创益的护球，谭龙背后踢倒了林创益                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
28'吕文君任意球送到禁区内，埃尔克森鱼跃头球攻门顶得太正，吴亚轲将球抱住                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'不过也先越位了                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'蒋哲回传给吴亚轲                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'孙捷接应交给吴亚轲                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'范晓东接应带球，一直带，到前场，分给张笑飞                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'传到禁区内                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
30'范晓东争顶蹭薄了，后点谭龙小角度爆射，球又进了！                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
30'这是周大地争顶蹭下来，谭龙爆射破门                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
30'上港有点乱，卡瓦略回传差点失误                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
30'颜骏凌将球踢出边线                   27'第27分钟胡斯蒂在禁区外右侧送球，张力把球起到禁区腹地，球打在蔡慧康身上弹下，蒋哲抢在张卫和石柯中间飞身捅射，皮球再次飞进上港大门，2比0
29'不过也先越位了                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
29'蒋哲回传给吴亚轲                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
29'孙捷接应交给吴亚轲                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
29'范晓东接应带球，一直带，到前场，分给张笑飞                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
29'传到禁区内                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
30'范晓东争顶蹭薄了，后点谭龙小角度爆射，球又进了！                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
30'这是周大地争顶蹭下来，谭龙爆射破门                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
30'上港有点乱，卡瓦略回传差点失误                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
30'颜骏凌将球踢出边线                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
32'蒋哲掷界外球                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
32'范晓东接应交给谭龙                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
32'传中打在张卫身上，张卫转身将球踢出边线                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
32'蒋哲过来掷界外球                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
32'张卫拉倒了胡斯蒂                   29'第29分钟上港再次丢球，范晓东左路带球杀到前场后传球，张笑飞左路传中，中路双方争顶周大地把球蹭到后点，球下来后谭龙抽射远角得分，3比0，长春今天打出美妙开局
39'孙捷交给范晓东                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'范晓东交给伊斯梅洛夫                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'横传给了孙捷，张力过来接应                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'直传，伊哈洛交给谭龙                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'谭龙一扣回传给蒋哲                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'转移给了左路的张笑飞                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
39'张笑飞直传被王燊超拦截出边线                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'张笑飞左路传中，蔡慧康头球解围                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'艾哈迈多夫带球，一扣，被断了                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'胡斯蒂的推进，直传，张卫下底传中，卡瓦略头球顶得不远                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'谭龙迎球打门打高了一点点                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'是被张卫挡了一下                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
40'亚泰右路的角球机会                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
41'胡斯蒂发后点，伊斯梅洛夫头球吊门，高了                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
41'颜骏凌发门球上来，孙捷顶到中场                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
41'埃尔克森带球交给艾哈迈多夫                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
41'交给吕文君                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
41'吕文君再交给韦世豪                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
42'韦世豪往右路突，没有看队友了，自己带出了底线                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
42'蒋哲回传给了孙捷                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
42'孙捷一漏洞，吴亚轲交给伊斯梅洛夫，长传左侧的张笑飞                   39'第39分钟长春又险些进球，左路传中后石柯头球解围太轻，谭龙禁区内拔脚怒射，球打在张卫腿上稍稍高出界外
42'韦世豪往右路突，没有看队友了，自己带出了底线                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
42'蒋哲回传给了孙捷                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
42'孙捷一漏洞，吴亚轲交给伊斯梅洛夫，长传左侧的张笑飞                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'周大地拿球，内切远射，打高了                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'周大地今天打得很有信心                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'他可是经常短时间内被换下的                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'今天至少能踢完半场                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'孙捷直传，伊斯梅洛夫接应，很稳                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'转移给了谭龙                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
43'回传给蒋哲                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'大范围转移给了张笑飞                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'传中，石柯头球解围                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'范晓东控球，直传，王燊超解围                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'周大地的传中被张卫顶一下                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'石柯接应传左侧                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
44'这球张卫很难拿，勉强一捅，球出边线                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
45'谭龙接应倒地传球，石柯将球铲走                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
45'埃尔克森接应转身长传，吕文君回传给林创益                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
45'林创益转身后分给空档的吕文君                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
45'吕文君带球进了禁区内小角度直接打门，打飞了                   42'第42分钟周大地从左路冲杀而来，在卡瓦略干扰下，周大地怒射高出
47'伊哈洛接应，分边给了谭龙                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'横传给伊哈洛                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'横带，卡瓦略犯规了                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'亚泰获得一个对方禁区弧顶外一点的任意球机会                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
48'胡斯蒂任意不堪直接休门，被颜骏凌扑出                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
48'上半场比赛结束！                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'于海打右前卫                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'于海右路快速下底传中，被张笑飞封出底线                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'上港前场右路的角球机会                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
47'韦世豪发角球，到门前，埃尔克森争顶时冲撞门将犯规                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'回复： 伟度空间 16:34 举报回复 怎么亚泰的比赛都是中午？还有延边也是中午？搞不懂大夏天的正午踢球也算是主场优势了（这个是主队自己定的，很多时候是因为省了灯光的费用）                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'孙捷得球回传给吴亚轲                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'吴亚轲长传上来，谭龙头球后蹭                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'石柯回传给颜骏凌                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'长传上来，蔡慧康交给吕文君                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'吕文君带多了，被胡斯蒂断了，直传找到伊哈洛                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
49'卡瓦略补防很准                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'不过传球被蒋哲断下                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'伊斯梅洛夫交给张力                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'范晓东转移给了伊斯梅洛夫，回传给了孙捷                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'孙捷回传给吴亚轲，张力过来要球分给蒋哲                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'再回给张力                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
50'斜长传找到了周大地，周大地越位                   47'第47分钟伊哈洛带球被卡瓦略踢倒，胡斯蒂任意球被颜骏凌奋力扑出
91'胡斯蒂与伊哈洛站在一起，陈彬彬过来将球拦截出底线                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
91'亚泰继续发角球，消耗时间                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
91'再次用同一招要得一个角球                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
91'卡瓦略过来招呼伊哈洛                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
91'发出来了                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
92'但林创益双是带球出了边线                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
92'胡斯蒂接应，继续在角旗区护球，继续要到角球                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
92'蒋哲过来接应                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
92'发出来了，颜骏凌将球得到                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
92'长传上来                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
93'李圣龙胸部停球大了，被伊斯梅洛夫踢到半空                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
93'蒋哲传给了谭龙                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
93'这是范晓东事上来，斜塞，给得太靠前了                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
93'不过也耗了不少时间                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
94'李圣龙因为对助理裁判判罚不满吃到黄牌                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
94'吕文君将球挑骊禁区内，吴亚轲将球没收                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
94'全场比赛结束！                   91'第46分钟韦世豪右路角球开出，埃尔克森和吴亚轲跃起对撞双双倒地
55'周大地控球，被林创益抢断                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
55'直传过不了伊斯梅洛夫                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
55'胡斯蒂接应再送对方身后，蔡慧康断球                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
55'于海右路得球，变向被范晓东拦截出边线                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
55'伊哈洛接应，带球多了，蔡慧康抢断                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
55'埃尔克森接应直传，吕文君横传，吴亚轲倒地将球摁住                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
56'范晓东控制一下节奏                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
56'交给蒋哲，范晓东接应                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
56'带球出来，推进直传                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
56'谭龙没有追上，球出底线                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
56'长春亚泰换人，8号杜震宇换下了37号周大地！                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
57'艾哈迈多夫控球，传右侧，于海得球，倒三角传，张力将球破坏                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
57'又是于海，右路得球，回传给蔡慧康                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
57'蔡慧康再交给韦世豪                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'送给林创益，起球传中太低了                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'埃尔克森控球，回传给了石柯                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'回传给颜骏凌                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'长传右路，找到于海                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'林创益接应交给韦世豪                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'被断球了                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
58'张力交给胡斯蒂，直传                   55'第55分钟上港沿左路渗透进攻，韦世豪似传似射一脚被吴亚轲扑住
57'艾哈迈多夫控球，传右侧，于海得球，倒三角传，张力将球破坏                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
57'又是于海，右路得球，回传给蔡慧康                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
57'蔡慧康再交给韦世豪                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'送给林创益，起球传中太低了                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'埃尔克森控球，回传给了石柯                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'回传给颜骏凌                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'长传右路，找到于海                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'林创益接应交给韦世豪                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'被断球了                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
58'张力交给胡斯蒂，直传                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
59'伊哈洛加速甩开了卡瓦略拿球顺势盘过了颜骏凌，打空门了，球进！                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
59'长春亚泰4：1领先上海上港                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'林创益掷界外球，蔡慧康过渡于海接应回传给蔡慧康                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'横传给艾哈迈多夫                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
