4'接着送出直塞，给到李春郁                   4'第4分钟申鑫今天的左翼锋杨家威20米突然远射稍稍高出
15'申鑫的前场进攻，赢得左侧角球机会                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
16'安东尼奥主罚开到后点，张烈出击没能拿到，萨利将球解围出底线                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
16'申鑫继续角球，这次转移到右侧来罚                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
16'安东尼奥角球开到后点，没有人能碰到，人和球员抢到第二落点将球解围                   13'第13分钟贵州队中路长传找到左路埋伏的范云龙，他顺势过掉宋星逸怒射，皮球擦门楣飞出
20'葛振左路拿球，横传给到中间的于涛                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
21'申鑫不紧不慢，将球控制在自己脚下，来寻求进攻良机                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
21'杨家威前场中路拿球，挑传禁区找刘俊楠                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
22'刘俊楠和萨利的争抢中，身体劣势体现，萨利卡住身位，将球让给张烈                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
22'葛振左路拿球，过了中线，面对逼抢，回传邹仲霆                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
23'邹仲霆转移球给到右路的宋星逸                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
23'宋星逸拿球斜传禁区，王赟面对萨利的防守胸部停球                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
23'停球过大，再次上抢，萨利将球护送出了底线                   20'第20分钟朱宝杰禁区外搓传到禁区，刘骏楠正欲跟上射门，但被萨利有效破坏
34'杨家威中场背身拿球，陈昌源身后上抢直接撞翻了杨家威                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
35'申鑫左路的进攻，王赟拿球，回敲给到刘俊楠                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
35'刘俊楠和朱宝杰的踢墙配合，后者拿球再传杨家威                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
35'杨家威得球，闪开角度，直接打门，踢偏                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
36'人和前场进攻，葛振中路的防守放倒了杨昊，犯规                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
36'孙继海任意球吊到禁区，申鑫前点队友冒顶                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
36'后点的萨利准备也不足，没能碰到                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
37'上半场36分钟，比分还是0-0                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
37'人和目前除了长传冲吊，基本没什么好的办法来撕开申鑫的防线                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
37'张成林左路拿球，强行超车下底，宋星逸放铲，将球解围出底线                   34'第34分钟杨家威从左路带到中路，和朱宝杰打了一个二过一之后，杨家威怒射踢高
39'申鑫左路的传接球，曲波回防将球破坏出边线                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
39'杨昊前场抢断，转移球给到李春郁                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
39'李春郁拿球，中路强突，球丢啦                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
40'不过人和队中场又将球反抢回来，张成林左路拿球进攻                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
41'人和进球啦！！                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
41'拉法！！！                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
42'曲波右路拿球斜传禁区，邹仲霆头球解围到后点，拉法插上，无人看守下的头球冲顶，破门得分                   39'第39分钟张成林左路似传似射，精神集中的刘殿座将球接住
50'人和最大牌的外援米西莫维奇出场热身，引来现场球迷无数掌声                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
51'王赟前场和陈昌源争顶，在球落下后，陈昌源上抢左手直接打在了王赟的眼眶上                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
51'王赟也是受伤倒地，队医进场查看，比赛暂时中断                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
53'经过简单处理后，王赟起身，跟着队医出场                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
53'比赛继续，人和的左路界外球                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
53'人和的斜长传转移给到右路的曲波                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
53'曲波拿球强行下底传中，被后卫将球解围出底线                   50'第50分钟陈昌源拼抢中不慎左手打到王S眼睛上，王S立刻倒在地上，近镜显示他眼睛附近部位有流血迹象
54'人和获得右侧角球机会，范云龙主罚                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
54'范云龙角球开出，人和队员攻门被挡出                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
54'禁区内混战，穆斯利再抢第二点，面对出击的刘殿座被吹冲撞门将                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
55'孙继海后场的过顶长传找拉法，边裁举旗，又越位啦                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
55'这是人和本场目前为止的第五次越位，申鑫越位陷阱很到位啊                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
56'申鑫换人：姜至鹏换下杨家威                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
56'姜至鹏替补登场，还是回到了左边后卫的位置，葛振来到右边后卫                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
57'宋星逸迁移，推到了中场位置，打左边前卫                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
57'宋星逸前场左路拿球，横带中准备直塞                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
57'被人和球员上抢直接拦截，人和的反击                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
57'后场过顶长传找拉法，拉法拿球横带                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
57'拉法禁区线上斜塞找插上的穆斯利，可惜后者慢了半拍                   54'第54分钟曲波换到左路带球传中，范云龙转身射门偏出
59'看到人和现场球迷的烟火，再想想昨天合肥体育中心，唉！！！                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
59'申鑫前场的传接配合失误，张成林将球抢断                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
59'穆斯利中线位置背身拿球，转身斜传找拉法                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
60'可惜没能成功，球被申鑫队员拦截                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
60'申鑫队左路的进攻，姜至鹏自己趟球过大，再调整，出了边线                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
60'人和前场进攻，曲波右路拿球内切，进入禁区                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
61'摆脱申鑫两名防守球员，禁区中路的低射，被后卫伸腿挡出                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
61'申鑫的反击，刘俊楠拿球进入禁区，扣球摆脱时被断                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
62'现场贵州球迷打出的横幅，球迷真心伤不起了啊                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
62'人和做出换人：陈杰换下范云龙                   59'第59分钟贵州队前场大开大合连续长球配合，但最后曲波拿球后射门打疵
61'摆脱申鑫两名防守球员，禁区中路的低射，被后卫伸腿挡出                   61'第61分钟贵州队用陈杰换下范云龙
61'申鑫的反击，刘俊楠拿球进入禁区，扣球摆脱时被断                   61'第61分钟贵州队用陈杰换下范云龙
62'现场贵州球迷打出的横幅，球迷真心伤不起了啊                   61'第61分钟贵州队用陈杰换下范云龙
62'人和做出换人：陈杰换下范云龙                   61'第61分钟贵州队用陈杰换下范云龙
63'申鑫前场进攻赢得左侧任意球机会                   61'第61分钟贵州队用陈杰换下范云龙
63'安东尼奥任意球斜传禁区，萨利抢先将球解围                   61'第61分钟贵州队用陈杰换下范云龙
64'穆斯利中场拿球，穿裆过掉宋星逸                   61'第61分钟贵州队用陈杰换下范云龙
64'短传给曲波时失误了，申鑫球员将球踢向前场                   61'第61分钟贵州队用陈杰换下范云龙
64'萨利在和宋星逸的争抢中被踢倒在地，人和球权                   61'第61分钟贵州队用陈杰换下范云龙
67'陈杰右路拿球，直塞找穆斯利，被申鑫球员挡出边线                   67'第67分钟申鑫用叶重秋换下宋星逸
67'人和中场的过顶长传找曲波                   67'第67分钟申鑫用叶重秋换下宋星逸
68'曲波禁区内拿球，面对防守，挑传小禁区右侧找拉法                   67'第67分钟申鑫用叶重秋换下宋星逸
68'球被邹仲霆抢先一步解围，可惜啦                   67'第67分钟申鑫用叶重秋换下宋星逸
68'这球如果曲波选择直接打门，效果可能更好些                   67'第67分钟申鑫用叶重秋换下宋星逸
69'申鑫再次换人：叶重秋换下宋星逸                   67'第67分钟申鑫用叶重秋换下宋星逸
69'杨昊的拼抢中受伤，担架进场将其抬出场接受治疗                   67'第67分钟申鑫用叶重秋换下宋星逸
70'申鑫中场的长传球，陈昌源回防中直接头球回顶给到张烈                   67'第67分钟申鑫用叶重秋换下宋星逸
72'人和的右边路过顶长传找曲波，曲波启动又早而来                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
72'边裁举旗，曲波越位，人和本场第6次越位                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
72'人和的抢断，米西莫维奇中路斜塞给到右路的穆斯利                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
73'穆斯利拿球内切，大禁区线上的横传球，被于涛放铲挡出底线                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
73'人和获得右侧角球机会，米西莫维奇主罚                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
73'米西莫维奇角球开出，穆斯利的头球攻门顶偏                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
74'叶重秋前场拿球，米西莫维奇上抢放倒了叶重秋，犯规                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
74'申鑫队获得前场任意球机会，距离比较远                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
74'安东尼奥任意球传到禁区，第一点还是被人和球员解围                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
75'申鑫后场抢断，过度球给到安东尼奥                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
75'安东尼奥拿球过了中线，面对萨利的上抢，转移给到叶重秋                   72'第72分钟米西莫维奇右路开出角球，穆斯利中路头球顶高
80'面对出击的刘殿座，一脚推射，被门将倒地将球挡出，自己也是有点受伤倒地                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
80'张成林在队医的陪伴下出场接受治疗，比赛继续                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
81'申鑫最后一次换人：王佳玉换下受伤的于涛                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
82'于涛在之前的一次防守中受伤，下场时一瘸一拐，申鑫压力大啊                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
83'刘俊楠中前场拿球，横带时被李春郁直接放铲抢断                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
83'穆斯利拿球，回敲时被抢断                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
83'申鑫左路进攻，王赟的打门偏出立柱                   80'第80分钟申鑫最后一次换人，防守张成林时受伤的于涛换下王佳玉
86'人和中场的直塞球，直接被刘殿座出来控制                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
86'刘殿座压力大啊，开后场球直接踢出了左侧边线                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
86'王佳玉前场背身拿球，人和队员上抢放倒了王佳玉，犯规                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
87'申鑫获得前场任意球机会，位置在大禁区外靠右侧                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
87'姜至鹏任意球直接传至禁区，张烈毫无压力，轻松将球揽入怀中                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
88'穆斯利禁区左侧拿球，一扣摆脱防守，右脚低射近角                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
88'刘殿座侧扑，将球压在身下                   85'第85分钟王佳玉前场背身拿球被张成林放倒，姜至鹏30米外直接射门被张烈稳稳接住
89'申鑫后场解围失误，好在邹仲霆反应迅速，将球大脚解围                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
90'人和的中路直塞找拉法，后者再次被吹越位啦                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
90'吴伟之前在和叶重秋的争抢中被踢倒在地，受伤了                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
91'叶重秋的这次犯规，还被出示了黄牌警告                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
91'下半场补时5分钟                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
92'比赛没结束，人和现场再次播报了本场最佳球员，拉法获得最佳                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
92'王赟前场拿球，回敲给到叶重秋                   89'第89分钟叶重秋撞伤吴伟吃到黄牌，接着申鑫联系踢球配合渗透，叶重秋最后一脚射门稍稍高出
95'叶重秋的禁区外远射也是偏出球门                   95'第95分钟米西莫维奇吊门稍稍偏出，接着比赛结束，贵州人和主场1比0战胜了上海申鑫
95'申鑫的机会一次浪费，时间所剩无几啦                   95'第95分钟米西莫维奇吊门稍稍偏出，接着比赛结束，贵州人和主场1比0战胜了上海申鑫
95'申鑫左侧界外球进场，直接被人和球员抢断                   95'第95分钟米西莫维奇吊门稍稍偏出，接着比赛结束，贵州人和主场1比0战胜了上海申鑫
96'人和的反击，米西莫维奇拿球传中找陈杰，被后卫解围                   95'第95分钟米西莫维奇吊门稍稍偏出，接着比赛结束，贵州人和主场1比0战胜了上海申鑫
96'米西莫维奇得球直接远射，球滑门而过，出底线                   95'第95分钟米西莫维奇吊门稍稍偏出，接着比赛结束，贵州人和主场1比0战胜了上海申鑫
