1'上半场比赛开始！                   1'第1分钟双方打得不急不忙，显然都做好了应付高温天气的准备
27'戴琳右路顶防放倒了冯刚犯规                   25'25分钟后绿城攻势大盛
27'冯刚中场斜传禁区，李建滨把球拦截                   25'25分钟后绿城攻势大盛
27'绿城后场控制球                   25'25分钟后绿城攻势大盛
28'高迪回撤接应被李建滨上抢破坏                   25'25分钟后绿城攻势大盛
28'宋博轩左路接应，下底传中出了底线                   25'25分钟后绿城攻势大盛
32'宋博轩左路拿球被回防的马佐拉断球                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
32'马佐拉拿球转移左路的金东进                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
32'金东进趟一步远射打偏！                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
32'申花场边准备要换人了                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
32'达迪换下了莫雷诺                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
33'队长袖标交到了斯基亚维手臂上                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
33'申花这边体能问题非常明显                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
34'哈蒂布左路拿球进禁区被刘斌铲倒                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
34'裁判给了角球！慢镜头显示刘斌完全没有碰到球！                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
34'哈蒂布对裁判的判罚非常不解                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
34'托兰佐角球开中路，顾超出击把球没收                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
35'王林右路拿球在和柏佳骏拼抢中倒地                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
35'申花把球踢出边线                   32'第32分钟哈蒂布强突刘斌时被放倒在地，裁判判罚角球，全场大哗
41'冯刚左路下底，球被斯基亚维让出底线                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
41'达迪前场争头球犯规了                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
42'王林右路拿球传中，去后点传的有点大                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
42'绿城进球了！！                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
42'但是裁判示意进球无效！！                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
43'高迪后点头球摆渡回门前，马佐拉中路包抄把球垫进球门！但是抬脚过高！危险动作！                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
43'绿城再把球转移右路，柏佳骏抢在王林之前把球捅出界外                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
44'刘斌右路掷界外球违例                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
44'绿城继续沿右路推进                   41'第41分钟王林右路长传，此球传得高度似乎过了，但高迪在左路艰难把球顶回中路，马佐拉高抬腿力压李建滨射门，皮球斜飞入门，但主裁吹哨：马佐拉抬腿过高
56'柏佳骏左路拿球被刘斌卡住身位                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
56'柏佳骏反抢，球被石柯解围出边线                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
56'宋博轩左路传中去后点，哈蒂布另一侧拿好球                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
56'哈蒂布传中去点球点附近，达迪做球被解围                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
56'马佐拉接高迪转移球，李建滨把球铲截                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
56'托兰佐拿球过中场被唐家庶绊倒                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
57'柏佳骏左路传中去后点被头球解围                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
57'绿城换人，王林被陈中流换下                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
58'托兰佐把球转移左路，宋博轩脚下跟不上了                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
59'陈中流中场转移球被王长庆断下                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
59'哈蒂布右路拿球进禁区，传中被曹轩破坏                   56'第56分钟绿城用陈中流换下王林，第57分钟宋博轩左路突破被刘斌放倒，主裁石祯禄没有判罚
63'宋博轩左路下底，传中被顾超跃起没收                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
63'宋博轩推禁区内，插上的托兰佐跟不上了                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
64'唐家庶转移左路，冯刚传中去后点，马佐拉把球垫出底线                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
65'申花左路连续边线球机会                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
65'托兰佐前场拿球，找哈蒂布传丢了                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
65'斯基亚维补防右路，抢在冯刚之前回传门将                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
66'达迪中路接应分边，姜坤传中落点不好                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
66'戴琳禁区外远射打高！                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
66'顾超球门球直接开出了边线                   63'绿城也有机会，第63分钟冯刚左路长传，马佐拉近乎零角度怒射打高
67'李建滨后场防守卡位，阻挡了李建滨犯规                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
67'阻挡了高迪犯规                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
68'冯刚任意球开后点，邱盛炯把球击出                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
68'冯刚右路拿球再传，前点包抄的队友捅射被邱盛炯没收！                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
69'姜坤右路拿球，传中去禁区内，哈蒂布头球顶偏！                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
70'宋博轩斜传前场，曹轩头球回传门将                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
70'金东进左路助攻被王长庆破坏，角球                   67'第67分钟李建滨左路防守高迪犯规，冯刚任意球被邱盛炯打出，外围绿城再次拿球，卢卡转移到右路，冯刚低平球扫到禁区，陈中流门前垫射被邱盛炯打出
70'宋博轩斜传前场，曹轩头球回传门将                   70'第70分钟绿城用大黑将志换下马佐拉
70'金东进左路助攻被王长庆破坏，角球                   70'第70分钟绿城用大黑将志换下马佐拉
71'角球开门前，斯基亚维头球解围                   70'第70分钟绿城用大黑将志换下马佐拉
71'绿城换人，大黑将志换下马佐拉                   70'第70分钟绿城用大黑将志换下马佐拉
72'宋博轩左路和托兰佐双鬼拍门，自己趟开斜射打偏！                   70'第70分钟绿城用大黑将志换下马佐拉
72'申花换人，宋博轩被曹赟定换下！                   70'第70分钟绿城用大黑将志换下马佐拉
73'哈蒂布左路拿球，失误了                   70'第70分钟绿城用大黑将志换下马佐拉
74'陈中流右路传中去后点，力量大了                   74'第74分钟绿城用宋志伟换下受伤的石柯
74'曹赟定左路底线前拿球回敲给到哈蒂布                   74'第74分钟绿城用宋志伟换下受伤的石柯
75'柏佳骏插上到禁区内，撞人犯规了                   74'第74分钟绿城用宋志伟换下受伤的石柯
75'绿城换人，石柯被宋志伟换下                   74'第74分钟绿城用宋志伟换下受伤的石柯
75'石柯有些受伤了                   74'第74分钟绿城用宋志伟换下受伤的石柯
76'比赛继续                   74'第74分钟绿城用宋志伟换下受伤的石柯
77'戴琳中场处理球被高迪断下                   74'第74分钟绿城用宋志伟换下受伤的石柯
77'王长庆右路防守拦截了冯刚的突破                   74'第74分钟绿城用宋志伟换下受伤的石柯
77'曹赟定左路突破进禁区，倒三角传回门前被顾超破坏                   74'第74分钟绿城用宋志伟换下受伤的石柯
81'托兰佐传球被阻挡，自己把球再控制一下                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
81'陈中流中场拿球被托兰佐绊倒                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
82'唐家庶右路传中，球被邱盛炯没收                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
82'达迪中场拿球被卢卡绊倒                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
82'卢卡被裁判黄牌警告！                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
82'曹赟定左路突破被刘斌阻挡                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
83'姜坤任意球开后角，球被顾超没收                   81'第81分钟卢卡防守达迪犯规，在报名单上卢卡的球衣号码是40号，但在现场他穿着70号
88'大黑将志突破进禁区被斯基亚维拦截                   88'申花抓紧最后机会进攻，第88分钟曹S定左路带球被放倒，戴琳着急远射偏出
90'曹赟定左路突破带回禁区前，戴琳跟上远射打偏！                   88'申花抓紧最后机会进攻，第88分钟曹S定左路带球被放倒，戴琳着急远射偏出
90'下半场补时4分钟！                   88'申花抓紧最后机会进攻，第88分钟曹S定左路带球被放倒，戴琳着急远射偏出
91'曹赟定前场争头球犯规                   88'申花抓紧最后机会进攻，第88分钟曹S定左路带球被放倒，戴琳着急远射偏出
93'李建滨后场控球失误，玩火被大黑将志断球                   93'第93分钟哈蒂布快攻到前场，面对多人防守，他把球送到外围，柏佳骏射门被顾超扑出
93'大黑将志单刀面对出击的邱盛炯，推远角偏出！                   93'第93分钟哈蒂布快攻到前场，面对多人防守，他把球送到外围，柏佳骏射门被顾超扑出
94'哈蒂布禁区内停球回敲，柏佳骏射门被顾超托出横梁                   93'第93分钟哈蒂布快攻到前场，面对多人防守，他把球送到外围，柏佳骏射门被顾超扑出
95'哈蒂布连续角球开出，邱盛炯也冲上来了                   93'第93分钟哈蒂布快攻到前场，面对多人防守，他把球送到外围，柏佳骏射门被顾超扑出
95'全场比赛结束！                   93'第93分钟哈蒂布快攻到前场，面对多人防守，他把球送到外围，柏佳骏射门被顾超扑出
