1'上半场比赛开始                   1'沙尔克第1分钟显得积极主动，舒波-莫廷禁区边缘的射门偏出
40'沙尔克04再进一球！！！                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
40'亨特拉尔的补射得手！！！                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
41'沙尔克前场进攻，迈尔禁区内起脚打门，被卡西侧扑封堵，亨特拉尔跟进，抢在瓦拉内之前，补射打进！！！                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
42'皇马前场再次失误，沙尔克的反击                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
42'沙尔克右路斜传球到左路给亨特拉尔                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
42'亨特拉尔拿球，大空挡，面对上来的阿韦洛亚，起脚打门，被挡出底线                   39'皇马第39分钟险些再次落后，瓦拉内回传卡西利亚斯失误，亨特拉尔抢先铲断令皮球滚向空门，幸亏皮球稍稍偏出方向，阿韦罗亚及时解围
40'沙尔克04再进一球！！！                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
40'亨特拉尔的补射得手！！！                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
41'沙尔克前场进攻，迈尔禁区内起脚打门，被卡西侧扑封堵，亨特拉尔跟进，抢在瓦拉内之前，补射打进！！！                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
42'皇马前场再次失误，沙尔克的反击                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
42'沙尔克右路斜传球到左路给亨特拉尔                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
42'亨特拉尔拿球，大空挡，面对上来的阿韦洛亚，起脚打门，被挡出底线                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
43'沙尔克获得左侧角球机会，巴内塔主罚                   40'沙尔克第40分钟再次领先，迈尔禁区边缘的射门被卡西利亚斯勉强扑出，亨特拉尔抢在瓦拉内之前补射上角入网，1-2
52'纳斯塔西奇左路争顶头球，推翻了贝尔，犯规                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
52'皇马再进一个！！！                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
53'本泽马禁区内横切，闪开空挡，起脚打门得手！！！                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
54'科恩特朗禁区内拿球，一捅给到本泽马，本泽马禁区内拿球横切，趟过纳斯塔西奇，再扣福克斯和出击的韦伦罗伊特，有脚抽射，打进                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
55'科恩特朗中场防守中，身后明显一个拉人犯规，拉住了迈尔                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
55'科恩特朗主裁判出示了黄牌警告！！！                   52'皇马第52分钟反超比分，本泽马左路同科恩特朗踢墙配合在禁区左侧横切，连过3人后射入右下角，3-2
57'萨内禁区外的左脚弧线球，越过卡西，挂远角，打进！！！                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
57'皇马换人：摩德里奇上，换下赫迪拉                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
58'沙尔克换人：戈雷茨卡上，换下赫格尔                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
58'皇马同时用马塞洛，换下了科恩特朗                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
58'这样双方都做出了两次人员调整，看看效果如何                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
59'摩德里奇伤愈归来首演，表现值得关注                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
59'莫德里奇中场拿球，横传给到伊斯科                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
59'伊斯科拿球，分边左侧给上来的马塞洛                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
60'马塞洛边路传中到禁区，第一点被沙尔克球员破坏                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
60'全场比赛60分钟，比分3-3，总比分3-5，皇马领先                   57'沙尔克也在第57分钟追平，富克斯传球，无人防守的萨内右路禁区边缘弧线球射入远角，3-3
65'皇马前场进攻，克罗斯的直塞到禁区                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
66'贝尔插上起脚打门，被及时出击的韦伦罗伊特倒地封堵                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
66'贝尔前场右路拿球，横传左侧给马塞洛                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
67'马塞洛停球，边路强突，再横传找本泽马，被赫韦德斯出脚碰出边线                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
67'本泽马前场背身拿球，转身分边右侧给上来的阿韦洛亚                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
68'阿韦洛亚挑传禁区到后点，伊斯科胸部停球                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
68'顺势一趟，扣掉福克斯，下底后的倒三角回传，被赫韦德斯拦截，并出脚解围                   65'第65分钟，贝尔直传，阿韦罗亚禁区内的单刀射门被韦伦罗伊特用胸口挡出
84'亨特拉尔禁区线上的劲射，击中横梁下檐进网！！！                   84'沙尔克第84分钟也反超比分，萨内直传，反越位成功的亨特拉尔禁区边缘内劲射上角入网，4-3
85'19岁小将萨内中场拿球，强突直塞打身后，亨特拉尔插上，抢在回防球员之前，禁区线上起脚爆射，打进                   84'沙尔克第84分钟也反超比分，萨内直传，反越位成功的亨特拉尔禁区边缘内劲射上角入网，4-3
85'亨特拉尔面对老东家，脚下不软啊                   84'沙尔克第84分钟也反超比分，萨内直传，反越位成功的亨特拉尔禁区边缘内劲射上角入网，4-3
87'萨内前场拿球，禁区外的抽射，卡西侧扑将球封堵                   84'沙尔克第84分钟也反超比分，萨内直传，反越位成功的亨特拉尔禁区边缘内劲射上角入网，4-3
90'下半场比赛进入尾声，比分3-4，沙尔克领先，总比分皇马5-4领先                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
91'沙尔克中场斜传球到禁区，亨特拉尔头球回摆                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
91'赫韦德斯停球，一扣，接着起脚打门，被卡西倒地封堵                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
92'佩佩在刚刚和亨特拉尔的争顶时，被后者抬起的胳膊打在了脸上                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
92'下半场比赛补时3分钟                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
92'瓦拉内后场抢断，大脚将球解围到中场                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
93'本泽马头球一摆，想给C罗，被马蒂普拦截                   90'第90分钟，赫韦德斯14码处抽射又被卡西利亚斯救下
