5'皇马换人：14号埃尔南德斯上，换下受伤的11号贝尔                   5'贝尔开场不久左小腿受伤，他在第5分钟被埃尔南德斯换下
37'马拉加前场进攻，达德尔点球点位置的左脚凌空打门，竟然打飞啦                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
37'这球达德尔身前基本没有防守球员啊，可惜啦                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
39'J罗前场右路拿球，横传给到莫德里奇                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
39'莫德里奇再回传J罗，J罗斜传球到左侧给伊斯科                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
39'伊斯科的内切，球被马拉加球员断掉啦                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
39'马拉加的反击，雷西奥禁区外围的远射，直接踢向了看台                   36'马拉加第36分钟浪费机会，马塞洛挡出胡安米传中，达尔德尔10码处射门偏出
67'这个犯规很明显，卡斯蒂列霍根本无法碰到皮球啊                   67'皇马第67分钟错失良机，C-罗纳尔多突破传球，哈梅斯-罗德里格斯禁区边缘内被卡斯蒂列霍绊倒，C-罗纳尔多主罚点球击中左侧立柱弹回
67'C罗主罚，击中了左侧立柱弹出！！！                   67'皇马第67分钟错失良机，C-罗纳尔多突破传球，哈梅斯-罗德里格斯禁区边缘内被卡斯蒂列霍绊倒，C-罗纳尔多主罚点球击中左侧立柱弹回
68'这个球太追求角度，越过了卡梅尼，可惜还是被门柱弹了出来                   67'皇马第67分钟错失良机，C-罗纳尔多突破传球，哈梅斯-罗德里格斯禁区边缘内被卡斯蒂列霍绊倒，C-罗纳尔多主罚点球击中左侧立柱弹回
69'世界波啊！！！J罗！！！！                   67'皇马第67分钟错失良机，C-罗纳尔多突破传球，哈梅斯-罗德里格斯禁区边缘内被卡斯蒂列霍绊倒，C-罗纳尔多主罚点球击中左侧立柱弹回
69'世界波啊！！！J罗！！！！                   69'皇马第69分钟扩大比分，哈梅斯-罗德里格斯同C-罗纳尔多踢墙配合后禁区弧顶劲射，卡梅尼扑挡到皮球仍入网，2-0
71'J罗右路拿球，横切给到伊斯科，伊斯科再回做J罗，J罗再给C罗，C罗再回做J罗，J罗禁区弧顶左脚怒射，尽管卡梅尼扑到了皮球，但还是无力阻截进网！！！                   69'皇马第69分钟扩大比分，哈梅斯-罗德里格斯同C-罗纳尔多踢墙配合后禁区弧顶劲射，卡梅尼扑挡到皮球仍入网，2-0
71'马拉加扳回一个！！！                   69'皇马第69分钟扩大比分，哈梅斯-罗德里格斯同C-罗纳尔多踢墙配合后禁区弧顶劲射，卡梅尼扑挡到皮球仍入网，2-0
71'胡安米的头球破门！！！                   69'皇马第69分钟扩大比分，哈梅斯-罗德里格斯同C-罗纳尔多踢墙配合后禁区弧顶劲射，卡梅尼扑挡到皮球仍入网，2-0
72'马拉加右路的进攻，博卡斜传球到禁区，胡安米无人防守，原地的甩头攻门，顶进网窝！！！                   69'皇马第69分钟扩大比分，哈梅斯-罗德里格斯同C-罗纳尔多踢墙配合后禁区弧顶劲射，卡梅尼扑挡到皮球仍入网，2-0
71'J罗右路拿球，横切给到伊斯科，伊斯科再回做J罗，J罗再给C罗，C罗再回做J罗，J罗禁区弧顶左脚怒射，尽管卡梅尼扑到了皮球，但还是无力阻截进网！！！                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
71'马拉加扳回一个！！！                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
71'胡安米的头球破门！！！                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
72'马拉加右路的进攻，博卡斜传球到禁区，胡安米无人防守，原地的甩头攻门，顶进网窝！！！                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
73'不好意思，刚刚马拉加的进球，是罗萨莱斯的传中                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
73'克罗斯中场拿球，直塞给到C罗                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
73'C罗背身拿球，禁区弧顶直接转身抽射，被卡梅尼奋力扑出                   71'马拉加第71分钟扳回一城，罗萨莱斯右路传中，无人防守的胡安米8码处头球破门，1-2
