2'先被破坏出边线                   2'开场2分钟，基米希右路传中，比达尔后点头球顶到半空，门将卡斯特尔斯托出底线
56'球居然进了！！                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
56'阿诺德!!!                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
57'乌尔里希想用拳击球，但是球在空中偏转的还是比较明显的                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
57'阿诺德这球罚的质量相当的不错                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
57'阿诺德的任意球直接破门帮助球队扳回一球                   54'9分钟后，拉菲尼亚中路左脚捅传，罗本带球突破距门17米处左脚低射入网，2比0
56'距离稍微有些远                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
56'2-1！！！！！                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
56'球居然进了！！                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
56'阿诺德!!!                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
57'乌尔里希想用拳击球，但是球在空中偏转的还是比较明显的                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
57'阿诺德这球罚的质量相当的不错                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
57'阿诺德的任意球直接破门帮助球队扳回一球                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'比赛的悬念再次回来                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'拜仁中场长传打身后                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'罗本这边反越位成功                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'胸部停球后到了禁区                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'面对出击的门将打近角破门！！                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
58'罗本在射门的时候也是被干扰                   56'狼堡第56分钟扳回一分，阿诺尔德在门前27米处左脚任意球挂右上角，1比2，他成为史上第2位代表狼堡连续6个赛季德甲破门的球员，乌尔赖希在德甲10次被对手直接任意球破门，其中4粒失球是对阵狼堡
83'2-2！！！！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
83'迪达维！！！！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
83'迪达维也是刚刚被换上来的                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
83'6轮比赛第三个联赛进球！！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
83'沃尔夫斯堡右路起球送禁区，前点，迪达维高速插上头球一蹭，球打在立柱内侧弹入球网！！！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
84'这球鲁迪没有盯住啊                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'沃尔夫斯堡这边进行调整                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'奥里吉下，巴佐尔上！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'拜仁这边也进行调整                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'罗本下，J罗上！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'里贝里下，科曼上！                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
85'拜仁也是换下两个边路                   83'第83分钟，费尔哈赫右路斜传，迪达维插到前点距门10米处头球一蹭弹地击中远门柱内侧入网，2比2
