1'上半场比赛开始！                   1'第1分钟，夸利亚雷拉和萨帕塔接连两脚远射
33'因西涅再突破，被加利亚迪尼拦截                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
33'那不勒斯前场把球权抢回来                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
34'默滕斯突破，被什克里尼亚拦截                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
34'那不勒斯中场直接吊禁区，被汉达诺维奇没收                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
35'哈姆西克禁区前传后门柱，因西涅头球被汉达扑出                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
35'坎德雷瓦右路传后点，大了                   32'国米第32分钟扩大比分，伊卡尔迪左路大范围转移，坎德雷瓦右路卸球回敲，贝西诺斜吊禁区，对方后卫头球解围不远，伊卡尔迪左侧距门12米处斜射窜入远角，2比0
54'坎德雷瓦右路拿球反击，传中被雷纳拿到                   54'中场休息，卡普拉里换下拉米雷斯，下半时开始9分钟，国米又下一城
54'默滕斯左路拿球一对三，球被捅掉                   54'中场休息，卡普拉里换下拉米雷斯，下半时开始9分钟，国米又下一城
56'高球进禁区，哈姆西克接应头球回敲                   54'中场休息，卡普拉里换下拉米雷斯，下半时开始9分钟，国米又下一城
56'抢点打门偏出                   54'中场休息，卡普拉里换下拉米雷斯，下半时开始9分钟，国米又下一城
57'什克里尼亚右路断球                   54'中场休息，卡普拉里换下拉米雷斯，下半时开始9分钟，国米又下一城
63'米兰达后场带球上来，丢了                   63'国米第63分钟再度中框
63'因西涅左路还是被什克里尼亚先断球                   63'国米第63分钟再度中框
64'默滕斯左路被包夹，拿到一个角球                   63'国米第63分钟再度中框
65'默滕斯肋部突破被阻挡                   63'国米第63分钟再度中框
65'外围因西涅打门着急了，偏出                   63'国米第63分钟再度中框
65'伊卡尔迪前场一对三，扛倒了希萨伊犯规                   63'国米第63分钟再度中框
66'米兰达上抢绊倒默滕斯                   63'国米第63分钟再度中框
66'裁判黄牌警告了米兰达                   63'国米第63分钟再度中框
46'上半场比赛结束                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
46'国米中圈开球                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
46'巴莱罗右路拿球，被库利巴利断下                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
47'希萨伊右路助攻上来，传丢了                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
47'佩里西奇找伊卡尔迪，库利巴利拦截                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
47'贝西诺拿球推进到前场                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
48'和伊卡尔迪配合进禁区，传门前被顶出                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
49'佩里西奇肋部拿球，推进去，被雷纳没收                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
49'巴莱罗横敲，加利亚迪尼被绊倒                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
49'阿兰的犯规，任意球                   46'桑普1分钟后追回一分，夸利亚雷拉右侧禁区角上挑传，科夫纳基后点左脚小角度抽射入网，1比3
85'欧纳斯禁区内正面被米兰达拦截                   85'桑普第85分钟又追一球
86'默滕斯边路被什克里尼亚破坏                   85'桑普第85分钟又追一球
87'国米换人，伊卡尔迪被埃德尔换下                   85'桑普第85分钟又追一球
87'国米中场拦截，贝西诺犯规                   85'桑普第85分钟又追一球
88'坎塞洛右路拿球推进                   85'桑普第85分钟又追一球
88'被包夹，回传雷纳                   85'桑普第85分钟又追一球
