2'钟晋宝为河南建业在左路,赢得一个任意球.                   2'第2分钟，迪亚涅拿球到对方禁区右侧，皮球被对方球员破坏出底线
17'天津泰达球员蒂亚戈内 拼抢犯规,对手获得控球权.                   14'第14分钟，迪亚涅在对方禁区内中央接到队友传球后射门，皮球击中门柱弹出底线
22'射门!!!天津泰达球员惠家康大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿切安庞.                   21'第21分钟，天津亿利球员惠家康在对方禁区前沿起脚射门，皮球被吴龑扑住
23'天津泰达球员阿切安庞大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是买提江.                   21'第21分钟，天津亿利球员惠家康在对方禁区前沿起脚射门，皮球被吴龑扑住
29'天津泰达球员惠家康大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿切安庞.                   29'第29分钟，阿奇姆彭送出传球，惠家康在对方禁区外右脚射门，皮球稍稍偏出了右侧门柱
29'河南建业球员王飞拼抢犯规,对手获得控球权.                   29'第29分钟，阿奇姆彭送出传球，惠家康在对方禁区外右脚射门，皮球稍稍偏出了右侧门柱
29'惠家康为天津泰达赢得一个任意球.                   29'第29分钟，阿奇姆彭送出传球，惠家康在对方禁区外右脚射门，皮球稍稍偏出了右侧门柱
31'胡靖航为河南建业赢得一个任意球.                   29'第29分钟，阿奇姆彭送出传球，惠家康在对方禁区外右脚射门，皮球稍稍偏出了右侧门柱
31'天津泰达球员蒂亚戈内 拼抢犯规,对手获得控球权.                   29'第29分钟，阿奇姆彭送出传球，惠家康在对方禁区外右脚射门，皮球稍稍偏出了右侧门柱
41'河南建业球员路尧拼抢犯规,对手获得控球权.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
41'阿切安庞为天津泰达赢得一个任意球.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
42'柯钊为河南建业赢得一个任意球.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
42'天津泰达球员阿切安庞拼抢犯规,对手获得控球权.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
42'黄牌！天津泰达球员阿切安庞因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
43'天津泰达球员蒂亚戈内 大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是买提江.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
44'冯卓毅为河南建业赢得一个任意球.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
44'天津泰达球员阿切安庞拼抢犯规,对手获得控球权.                   41'第41分钟，阿奇姆彭在拼抢中对柯钊犯规，领到一张黄牌
48'钟晋宝为河南建业在左路,赢得一个任意球.                   48'第48分钟，河南建业传球到对方禁区内，杜佳出击拿到皮球
48'天津泰达球员白岳峰拼抢犯规,对手获得控球权.                   48'第48分钟，河南建业传球到对方禁区内，杜佳出击拿到皮球
50'河南建业球员王飞拼抢犯规,对手获得控球权.                   48'第48分钟，河南建业传球到对方禁区内，杜佳出击拿到皮球
50'惠家康为天津泰达在左路,赢得一个任意球.                   48'第48分钟，河南建业传球到对方禁区内，杜佳出击拿到皮球
69'河南建业球员顾操拼抢犯规,对手获得控球权.                   69'第69分钟，天津亿利获得前场任意球，买提江直接任意球攻门，皮球稍稍偏离了目标
69'杨立瑜为天津泰达在对方半场,赢得一个任意球.                   69'第69分钟，天津亿利获得前场任意球，买提江直接任意球攻门，皮球稍稍偏离了目标
70'天津泰达球员买提江大禁区外尝试左脚射门,可惜皮球偏出球门.                   69'第69分钟，天津亿利获得前场任意球，买提江直接任意球攻门，皮球稍稍偏离了目标
76'暂停结束,球员们重新开始比赛.                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
77'天津泰达球员阿切安庞大禁区右侧左脚射门,被防守球员封堵.给他传球的是蒂亚戈内 .                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
79'河南建业球员陈灏拼抢犯规,对手获得控球权.                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
79'赵宏略为天津泰达赢得一个任意球.                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
79'冯卓毅为河南建业赢得一个任意球.                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
79'天津泰达球员买提江拼抢犯规,对手获得控球权.                   76'第76分钟，阿奇姆彭带球到对方禁区内射门，皮球被防守球员挡出
87'天津泰达换人,Zhao Yingjie换下阿切安庞                   87'第87分钟，赵英杰换下阿奇姆彭
87'河南建业球员冯卓毅拼抢犯规,对手获得控球权.                   87'第87分钟，赵英杰换下阿奇姆彭
87'蒂亚戈内 为天津泰达在对方半场,赢得一个任意球.                   87'第87分钟，赵英杰换下阿奇姆彭
88'河南建业球员王飞拼抢犯规,对手获得控球权.                   87'第87分钟，赵英杰换下阿奇姆彭
88'惠家康为天津泰达在左路,赢得一个任意球.                   87'第87分钟，赵英杰换下阿奇姆彭
88'黄牌！河南建业球员王飞因为恶意犯规,被主裁判出示黄牌.                   87'第87分钟，赵英杰换下阿奇姆彭
89'河南建业换人,杜长杰上,柯钊因伤下场.                   87'第87分钟，赵英杰换下阿奇姆彭
89'天津泰达球员Zhao Yingjie大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是惠家康.                   87'第87分钟，赵英杰换下阿奇姆彭
90'+1'河南建业球员杜长杰拼抢犯规,对手获得控球权.                   87'第87分钟，赵英杰换下阿奇姆彭
90'+1'Zhao Yingjie为天津泰达在右路,赢得一个任意球.                   87'第87分钟，赵英杰换下阿奇姆彭
90'+1'河南建业换人,刘恒换下胡靖航                   87'第87分钟，赵英杰换下阿奇姆彭
90'+2'射门!!!天津泰达球员Zhao Yingjie大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒂亚戈内 .                   87'第87分钟，赵英杰换下阿奇姆彭
90'+2'天津泰达换人,王秋明换下惠家康                   87'第87分钟，赵英杰换下阿奇姆彭
90'+3'河南建业换人,Long Wei换下钟晋宝                   87'第87分钟，赵英杰换下阿奇姆彭
90'+4'下半场结束,天津泰达 1-0 河南建业                   87'第87分钟，赵英杰换下阿奇姆彭
