2'胡靖航右路传中，隋东陆手球犯规吃到黄牌                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
44'邓小飞后场开球，直接开出了界外                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
44'力帆换人，冯劲替下受伤的费尔南多                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'建业右路斜传禁区，出了底线                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'上半场补时1分钟                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'冯劲左路得球被放倒                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'下半场比赛开始                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'力帆开出皮球                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'这个球要重新开                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
46'建业右路斜传禁区，出了底线                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
46'上半场补时1分钟                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
46'冯劲左路得球被放倒                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
47'郑又荣任意球开出了底线                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
46'下半场比赛开始                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
46'力帆开出皮球                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
46'这个球要重新开                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
47'巴索戈左路拿球被破坏出去                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
48'建业左路传中，禁区弧顶的拼抢，胡靖航转身低射偏出                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
49'胡靖航右路超车啊，被刘欢放倒                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
49'吴庆上前理论吃到了黄牌                   46'第46分钟，阿布都外力发出边线球，胡靖航禁区外中路一脚似传似射直接出了底线
64'冯劲禁区前突破，被上抢的顾操踢倒                   64'第64分钟，巴索戈带球杀入禁区连续摆脱后一脚低射出了底线
64'力帆获得禁区前沿定位球                   64'第64分钟，巴索戈带球杀入禁区连续摆脱后一脚低射出了底线
65'郑又荣任意球直接打门，皮球打在人墙上弹出                   64'第64分钟，巴索戈带球杀入禁区连续摆脱后一脚低射出了底线
66'建业右路反击，巴索戈禁区右侧连续两脚打门被封堵                   64'第64分钟，巴索戈带球杀入禁区连续摆脱后一脚低射出了底线
67'杜长杰左路吊到禁区，胡靖航后插上头球攻门偏出                   64'第64分钟，巴索戈带球杀入禁区连续摆脱后一脚低射出了底线
67'杜长杰左路吊到禁区，胡靖航后插上头球攻门偏出                   67'第67分钟，冯劲带球左路内切，禁区内左脚低平球抽射，皮球击中立柱反弹出来，力帆与进球失之交臂
68'卡尔德克前场反抢拉倒了顾操                   67'第67分钟，冯劲带球左路内切，禁区内左脚低平球抽射，皮球击中立柱反弹出来，力帆与进球失之交臂
69'冯劲禁区左侧带球突破后直接射门，皮球击中近立柱弹出                   67'第67分钟，冯劲带球左路内切，禁区内左脚低平球抽射，皮球击中立柱反弹出来，力帆与进球失之交臂
69'巴索戈反击过来，禁区右侧推射打高                   67'第67分钟，冯劲带球左路内切，禁区内左脚低平球抽射，皮球击中立柱反弹出来，力帆与进球失之交臂
77'巴索戈左路横传，多奇卡尔得球扣过防守球员，左脚抽射偏出                   76'第76分钟，胡靖航右路带球一脚横传，直接被邓小飞没收
77'胡靖航右路带球一脚横传，直接被邓小飞没收                   76'第76分钟，胡靖航右路带球一脚横传，直接被邓小飞没收
78'多奇卡尔外围挑传，陈雷顶出底线                   76'第76分钟，胡靖航右路带球一脚横传，直接被邓小飞没收
78'多奇卡尔角球开出，中路被顶出                   76'第76分钟，胡靖航右路带球一脚横传，直接被邓小飞没收
89'被外力倒地抢先破坏出边线                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
89'巴索戈右路大范围转移，被刘宇拦截下来                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
90'巴索戈右路接球直接传中了，被顶了出去                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
90'建业换人，胡靖航下，杨昌鹏上                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
91'建业右路传中球，杜长杰禁区内无人防守情况下头球攻门被邓小飞拿到                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
91'下半场补时3分钟                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
92'隋东陆禁区内防守被干倒了                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
92'力帆换人，郑涛替下南松                   89'第89分钟，建业继续进攻，巴索戈一记45°的传中球吊向禁区，杜长杰禁区内头球太正了，被邓小飞没收
