2'皇马后场抢断，马塞洛大脚踢到前场                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
42'贝尔的狮子甩头攻门，顶进远角！！！                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
43'皇马角球开出到禁区，第一点被阿尔梅里亚球员解围出来，克罗斯右路停球，再传禁区，贝尔前点甩头攻门，顶进远角！！！                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
43'阿尔梅里亚的进攻，瓦拉内抢点撞翻了索里亚诺，犯规                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
43'阿尔梅里亚获得大禁区右上角的任意球机会                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
43'任意球挑传后点，卡西出击将球直接没收                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
44'伊斯科左路拿球，面对逼抢，回传瓦拉内                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
45'上半场比赛进入尾声，皇马2-1领先                   42'皇马第42分钟再度超出比分，克罗斯右路传中，贝尔10码处头球顶入左下角，2-1
54'纳瓦诺斜传球到右路给到贝尔萨                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
54'贝尔萨大范围转移球到左路给杜巴比耶，杜巴比耶的传球失误                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
55'皇马反击，贝尔拿球强突，禁区内的横传球门前                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
55'C罗后点包抄，慢了点，球滑门而过，出了底线                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
56'索里亚诺前场拿球，直塞给到杜巴比耶                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
56'杜巴比耶背身拿球，转不了身，横传给到赫梅德                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
56'赫梅德停球失误，皇马的反击                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
57'C罗前场拿球，面对两人逼抢，控制一下，分给中间上来的伊斯科                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
57'伊斯科挑传再找C罗，被后卫化解                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
57'伊斯科前场拿球，横切后直塞想给本泽马，被后卫挡出                   54'皇马第54分钟险些再度破门，托马斯滑倒丢球，C-罗纳尔多传球，贝尔禁区右侧12码处低射偏出远角
62'阿尔梅里亚前场进攻，马塞洛回防，禁区内和门德斯身体接触，后者倒地啦                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
62'主裁判给阿尔梅里亚点球                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
63'贝尔萨主罚，卡西扑出！！！                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
63'卡西立功了啊                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
63'伊利亚拉门迪刚刚被主裁判出示了黄牌警告！！！                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
64'贝尔萨主罚点球，踢出半高球推射球门右侧，被卡西一个侧扑，封堵，圣卡西回来了啊                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
64'C罗前场右路拿球，人球分过，被维勒兹放倒在地                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
65'维勒兹被主裁判出示了黄牌警告！！！                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
65'皇马获得前场的任意球机会，克罗斯主罚                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
65'任意球斜传禁区，被阿尔梅里亚球员头球解围出底线                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
65'角球：阿尔梅里亚1个，皇马5个                   62'阿尔梅里亚第62分钟错失扳平良机，埃德加突入禁区右侧在马塞洛防守下摔倒，裁判判罚极刑颇具争议，但维萨射出的点球却被卡西利亚斯神勇扑出
81'马塞洛得球下底横传，被后卫挡出底线                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
81'皇马再次获得角球机会，开出到门前                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
81'贝尔争抢时被吹越位在先                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
81'3-1！！！                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
82'C罗终于进球了！！！                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
83'贝尔前场中路拿球，脚后跟横传C罗，C罗斜塞左侧给前插的本泽马，本泽马拿球，小禁区左侧横传门前，C罗跟进推射得手                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
83'皇马前场BBC组合的完美配合，都不贪功                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
84'皇马前场进攻，C罗禁区外的远射，打在了上前封堵的米歇尔小腿上                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
84'米歇尔这次被打的，躺在地上休息了好久才起身                   81'皇马第81分钟锁定胜局，C-罗纳尔多直传，本泽马禁区左侧面对出击的门将无私传中，C-罗纳尔多10码处推射空门入网，3-1
90'卡瓦哈尔右路拿球，强突下底后倒三角回传，C罗跟进右脚抽射，打进近角                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
90'贝尔前场接到界外球，单刀赴会，面对回防的纳瓦诺，左脚捅射被马丁内斯挡出                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
91'贝尔跟进右脚补射，球滑门而过，出了底线                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
91'下半场比赛补时2分钟                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
91'C罗前场右路拿球，狂奔后的传中，贝尔中路跟进没能碰到                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
91'后点的伊斯科拿球，回传马塞洛                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
92'马塞洛起脚打门，被挡出                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
92'禁区内的克罗斯再补，没能踢到                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
92'马塞洛挑传打身后，贝尔前插接应，攻门打进，不过越位在先，进球无效                   90'第90分钟，贝尔禁区右侧小角度射空门偏出
