3'中场鲁能泰山队得球，转移到右路进攻                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
25'鲁能泰山队进球后攻势不减！！                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
25'我们开始的话题是猜谁先进球！鲁能进啦！您猜对了吗？                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
26'用户5191515954：耶！鲁能必胜！[回复]不出意外的话，应该能拿下！                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
26'江苏舜天队长传球到前场，汪强把球控下来                   23'第23分钟，山东鲁能打破僵局，禁区前送出直塞，吕征插上小角度劲射，皮球打在防守队员身上后吊入球门，山东鲁能1-0领先
29'鲁能泰山队传球到禁区内，对方挡出来，洛维抢点劲射，被邓小飞挡出来！！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
29'鲁能泰山队进球啦！！蒙蒂略！！2-0                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
30'蒙蒂略在前场右翼接球，一脚挑射破门得分！！！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
30'蒙蒂略由于脱衣庆祝！！吃到了黄牌！！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
30'用户2387841373：一统只让鲁能球迷上墙？我们舜天球迷不适合待在这里？[回复]我们非常欢迎江苏舜天队球迷！！各为其主。江苏进球时请大家贺电！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
31'Much-to-offer-vast：菏泽人民发来贺电！[回复]菏泽第二！！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
31'鲁能泰山队快速反击，乌索挑传禁区，吕征插上抢点打门！！可惜越位啦！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
32'54断砚：聊城人民发来贺电！[回复]聊城贺电第三！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
32'张驰后场抢球犯规，送给江苏舜天队任意球机会！                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
32'放倒了任航                   29'第29分钟，蒙蒂略禁区内回做，洛维劲射被门将挡出，但山东鲁能马上得球再进攻，蒙蒂略禁区内巧妙吊射得手，山东鲁能2-0领先
31'Much-to-offer-vast：菏泽人民发来贺电！[回复]菏泽第二！！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
31'鲁能泰山队快速反击，乌索挑传禁区，吕征插上抢点打门！！可惜越位啦！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
32'54断砚：聊城人民发来贺电！[回复]聊城贺电第三！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
32'张驰后场抢球犯规，送给江苏舜天队任意球机会！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
32'放倒了任航                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
33'用户1719448481：滨州人民发来贺电[回复]济宁、滨州贺电第四五！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
33'埃利亚斯前场得球直传李昂，动作慢啦，在对方控球后反抢犯规                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
33'用户2876755951：一统，你不让我这个神预测上墙？？？[回复]你猜一下最终比分吧！！你要猜中了我服！                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
34'鲁能泰山队右路长传，乌索中场拿球横传转移                   31'第31分钟，山东鲁能又觅得良机，乌索送出直塞，吕征单刀直入，可惜将球打高
39'戏剧化2010：一统先生，在津大鲁能球迷求上墙！来个gogogogo[回复]上吧上吧不是梦！                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
39'莱钢小夏：莱芜人民发来贺电！刚来就领先好多，加油[回复]应该上墙！不过发得有点晚，以后早发！                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
39'洛维中场拿球，分到右路给蒙蒂略，传得大了些                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
39'张驰再把球交给蒙蒂略，蒙蒂略直传，张驰横传禁区                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
40'蒙蒂略横传交给洛维，对方包夹，没法转身                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
40'用户1719448481：江苏舜天加油，山东人为你加油、喝彩！[回复]好球迷啊！只有双方都加油，场面才好看！                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
41'用户2157508754：我在西 藏给鲁能加油！求上墙[回复]铁杆球迷！                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
42'风的港湾1985：阳谷人民发来贺电[回复]阳谷是聊城的吧！阳谷电缆出名，井阳岗1号好喝！                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
42'江苏舜天队远射，王大雷把球没收                   39'第39分钟，江苏舜天队进攻，陶源禁区外远射稍稍偏出
44'陶源左路横传禁区，埃利亚斯凌空打门，皮球弹地后被王大雷没收                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
44'洛维左路强突，埃雷尔森手上有犯规动作，侵犯了洛维                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
44'鲁能泰山队得到前场左路位置不错的任意球机会                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
45'射程之内！                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
45'郑铮虚晃，蒙蒂略直接打门，稍稍偏了一些！                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
45'上半场要补时 1 分钟                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
45'江苏舜天队攻到前场，对方抢断回传门将                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
46'戏剧化2010：一统,给你来个天津麻花，给我大鲁能加油↖(^ω^)↗[回复]干嘛呢干嘛呢！！一个能够吃嘛！                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'主裁判吹响了哨子！                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'上半场比赛结束，鲁能泰山队2-0领先于江苏舜天队！                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
46'下半场比赛开始                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
46'鲁能泰山队继续加强进攻                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
46'吕征这么快的速度还是没追上球，传得确实有些大了                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'中前场乌索得球，直传给了洛维，挑传禁区被对方顶出来                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'托洛萨右路带球快速进攻到前场，横传中路                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'麦克格文铲球犯规，放倒了埃利亚斯                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'江苏舜天队得到了前场大禁区外一点儿地方的任意球机会                   44'第44分钟，江苏舜天快速反击，艾利亚斯门前劲射被王大雷没收
47'主裁判吹响了哨子！                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
47'上半场比赛结束，鲁能泰山队2-0领先于江苏舜天队！                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
47'中前场乌索得球，直传给了洛维，挑传禁区被对方顶出来                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
47'托洛萨右路带球快速进攻到前场，横传中路                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
47'麦克格文铲球犯规，放倒了埃利亚斯                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
47'江苏舜天队得到了前场大禁区外一点儿地方的任意球机会                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
48'邓卓翔也站在球前，他和安塔尔、邓小飞都是鲁能旧将                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
48'邓卓翔发任意球直接打门，打高啦！                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
49'王大雷大脚开门球过中场，对方顶下来，乌索把球抢断一来                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
49'乌索分球到右路，传给了洛维                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
49'洛维横传中路，蒙蒂略分左路，郑铮横传禁区被对方破坏出来                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
50'江苏舜天队长传球，张驰把球断下来                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
50'郑铮左路直传球，吕征接球后被埃雷尔森放倒，但主裁判吹了吕征的越位                   47'下半场易边再战，第47分钟，江苏舜天赢得任意球，邓卓翔弧线球射门高出
46'戏剧化2010：一统,给你来个天津麻花，给我大鲁能加油↖(^ω^)↗[回复]干嘛呢干嘛呢！！一个能够吃嘛！                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'主裁判吹响了哨子！                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'上半场比赛结束，鲁能泰山队2-0领先于江苏舜天队！                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
46'下半场比赛开始                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
46'鲁能泰山队继续加强进攻                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
46'吕征这么快的速度还是没追上球，传得确实有些大了                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'中前场乌索得球，直传给了洛维，挑传禁区被对方顶出来                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'托洛萨右路带球快速进攻到前场，横传中路                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'麦克格文铲球犯规，放倒了埃利亚斯                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
47'江苏舜天队得到了前场大禁区外一点儿地方的任意球机会                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
48'邓卓翔也站在球前，他和安塔尔、邓小飞都是鲁能旧将                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
48'邓卓翔发任意球直接打门，打高啦！                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
49'王大雷大脚开门球过中场，对方顶下来，乌索把球抢断一来                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
49'乌索分球到右路，传给了洛维                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
49'洛维横传中路，蒙蒂略分左路，郑铮横传禁区被对方破坏出来                   46'刚刚登场1分钟的孙可就在门前觅得机会，搓射攻破王大雷十指关，场上比分变为2-1
61'但主裁判吹了江苏舜天队的角球！                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
61'角球发到禁区内，任航头球顶门，偏出                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
62'鲁能泰山队攻到前场，直传球被埃雷尔森抢断                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
62'蒙蒂略后场拿球，交给乌索                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
63'乌索横传球交给洛维，被对方抢断下来                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
63'邓卓翔带球进攻，张驰抢球犯规                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
64'孙可左路带球突破下底，在对方两人逼抢下球出边线                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
64'鲁能泰山队换人：王彤上场换下张驰                   61'第61分钟，江苏舜天角球发到禁区，任航后点头球攻门高出
67'后场鲁能泰山队把球抢断下来                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
67'蒙蒂略中路突破被绊倒，还是把球捅出来                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
67'洛维左路横传球被顶出来，吕征一脚凌空远射很有威胁，但被邓小飞没收！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
68'更正一下，任航还在场上，是换下的13号陶源                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
68'洛维一对一突破，埃雷尔森把球碰出底线，角球！！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
69'主裁判掏出黄牌，跑到场边给了阿洛伊西奥黄牌！！阿洛伊西奥在场边等着，还没上场啊！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
69'战术角球发出来，杨昊把球破坏                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
69'江苏舜天队断球直传，王彤快速回防把球控下来                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
70'托洛萨左路突破到禁区小角度打门，王大雷扑了一下脱手，孙可上抢补射，郑铮卡好位置，让王大雷把球没收！！！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
70'太危险啦！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
70'鲁能泰山队换人：阿洛伊西奥上场，换下洛维！                   67'第67分钟，山东鲁能边路进攻被阻挡，吕征凌空打门被门将挡出
70'托洛萨左路突破到禁区小角度打门，王大雷扑了一下脱手，孙可上抢补射，郑铮卡好位置，让王大雷把球没收！！！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
70'太危险啦！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
70'鲁能泰山队换人：阿洛伊西奥上场，换下洛维！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
71'埃利亚斯前场带球，郑铮背后犯规                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
71'江苏舜天队进球啦，埃雷尔森！2-2                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
72'邓卓翔发任意球到禁区内，王大雷出击没能扑到球，埃雷尔森头球顶门球进！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
72'鲁能泰山队领先了半场球，被对方扳平啦！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
73'蒙蒂略一脚远射，被邓小飞扑出！                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
73'阿洛伊西奥上抢，被吹了越位                   70'第70分钟，托洛扎禁区内过人后劲射，球被王大雷挡出
71'埃利亚斯前场带球，郑铮背后犯规                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
71'江苏舜天队进球啦，埃雷尔森！2-2                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
72'邓卓翔发任意球到禁区内，王大雷出击没能扑到球，埃雷尔森头球顶门球进！                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
72'鲁能泰山队领先了半场球，被对方扳平啦！                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
73'蒙蒂略一脚远射，被邓小飞扑出！                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
73'阿洛伊西奥上抢，被吹了越位                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
74'乌索中场拿球，攻到前场，几脚传球，刘彬彬左路横传，大啦！                   71'第71分钟，江苏舜天扳平比分，邓卓翔任意球传中，埃雷尔森头球破门，比分变为2-2
75'鲁能泰山队换人：张文钊上场换下了吕征                   75'第75分钟，张文钊替下吕征
75'后场江苏舜天队断球反击，王彤战术犯规，吃到了黄牌                   75'第75分钟，张文钊替下吕征
76'这个铲球动作较大，亮了鞋底                   75'第75分钟，张文钊替下吕征
76'中后场鲁能泰山队断球，走右路进攻                   75'第75分钟，张文钊替下吕征
76'阿洛伊西奥右睡带球突破，分给宽，再分到右睡                   75'第75分钟，张文钊替下吕征
76'王彤回传球，交给刘彬彬                   75'第75分钟，张文钊替下吕征
77'阿洛伊西奥中路突破被挡了一下，张文钊凌空抽射，撞在横梁弹出！！！可惜了了！                   75'第75分钟，张文钊替下吕征
77'江苏舜天队换人：周云上场换下邓卓翔                   75'第75分钟，张文钊替下吕征
77'乌索中场拿球，回传后场                   75'第75分钟，张文钊替下吕征
78'阿洛伊西奥的绝好机会。乌索挑传禁区，阿洛伊西奥没有越位，打门猛啦！高出！                   75'第75分钟，张文钊替下吕征
77'阿洛伊西奥中路突破被挡了一下，张文钊凌空抽射，撞在横梁弹出！！！可惜了了！                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
77'江苏舜天队换人：周云上场换下邓卓翔                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
77'乌索中场拿球，回传后场                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
78'阿洛伊西奥的绝好机会。乌索挑传禁区，阿洛伊西奥没有越位，打门猛啦！高出！                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
80'鲁能泰山队右路突破下底横传，阿洛伊西奥一脚劲射被邓小飞没收！                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
