24'界外球发出来，王彤右路横传禁区！佩莱抢点头球顶门，皮球应声入网！！！                   24'第24分钟，王彤弧线球传中，王彤头球破门
65'崔鹏直传球！王彤横传禁区！                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
65'格德斯在禁区内拼抢，把球分出来！                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
65'王彤右路横传球，佩莱过渡！格德斯转身打门被挡出来                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
65'米克尔前场突破，被吉尔将球破坏                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
66'佩莱真是大公无私！！瞄着格德斯给他送球！                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
66'可惜格德斯没能抓住机会                   63'第18分钟，格德斯禁区内拿球回做，刘军帅远射偏出
38'天津泰达队得到前场左路任意球机会                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
38'任意球发到禁区内后点，韩镕泽把球摘下来！                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
38'裁判哨响！助理裁判示意越位！                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
39'杨启鹏禁区内接球，大脚传球从右翼出边线                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
39'郑铮发出界外球！佩莱回传                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
40'郑铮左路接球！被撤跤放倒在地                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
40'任意球机会                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
40'任意球发到禁区内后点！吉尔回顶，格德斯抢到球转身打门，被挡了一下出底线！                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
40'鲁能泰山队得到角球机会                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
40'格德斯发角球                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
41'角球发得太靠外了，阿切安庞回后场接球！                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
41'中场王彤头球顶到前场，对方争下来                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
41'天津泰达队左路进攻，张驰回来把球铲出边线                   38'第38分钟，戴琳在防守阿奇姆彭时犯规，被主裁判黄牌警告
44'中场米克尔得球，分边                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
45'上半场比赛要补时 2 分钟                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
45'中场米克尔接球，回传给巴斯蒂安斯                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'前场鲁能泰山队横传转移！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'再分到左路！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'吴兴涵左路突破横传球，被对方破坏                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'球出边线啦！天津泰达队后场界外球                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'赵英杰左路接球直传，丢啦                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'补时的时间也已经到了！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'王彤分球！张驰右路横传禁区，吴兴涵抢点冲顶！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'被挡出底线，不过裁判哨响                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'上半场比赛结束，鲁能泰山队1-0领先天津泰达队！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'下半场比赛开始                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'天津泰达队左路直传进攻                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'崔鹏被换上场，换下了谁呢？                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'换下了张驰吧！                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
46'算是对位换人                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'李源一右路突破下底横传，韩镕泽没收                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'鲁能泰山队左路长传球到前场，佩莱后顶！格德斯插上，对方破坏出边线                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'界外球发出来！佩莱和队友配合！对方大脚破坏                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'张驰在前场得球，突然一脚远射，被挡了一下，变向啦！门将没收                   44'第44分钟，天津泰达任意球进攻同样具有威胁，赵英杰弧线球直奔下角，韩镕泽飞身将球扑出，杨万顺跟进补射击中边网
47'赵英杰左路接球直传，丢啦                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'补时的时间也已经到了！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'王彤分球！张驰右路横传禁区，吴兴涵抢点冲顶！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'被挡出底线，不过裁判哨响                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'上半场比赛结束，鲁能泰山队1-0领先天津泰达队！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'李源一右路突破下底横传，韩镕泽没收                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'鲁能泰山队左路长传球到前场，佩莱后顶！格德斯插上，对方破坏出边线                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'界外球发出来！佩莱和队友配合！对方大脚破坏                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
47'张驰在前场得球，突然一脚远射，被挡了一下，变向啦！门将没收                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
48'中场天津泰达队得球，回传一脚交给米克尔！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
48'米克尔右路长传球到前场，队友回传，再前传大了些！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
49'崔鹏上场后传球成功率更高了一些！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
49'王彤右路带球突破！被放倒在地                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
50'鲁能泰山队传球到禁区内！！！佩莱在门线上抢点打门，没有踢到球，杨启鹏没收！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
50'太可惜啦！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
50'天津泰达队右路攻到前场，直传球！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
50'米克尔右路下底横传，吉尔将球破坏出底线！                   47'第47分钟，崔鹏前场断球成功，张弛得球连续摆脱两人纠缠后低射，球打在后卫身上变向，仍被门将没收
55'王彤发界外球，右路传球被破坏                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
55'中场王彤得球，右路直传球！张驰插上倒地                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
55'这球是被天津泰达队破坏出底线，鲁能泰山队得到角球机会                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
55'蒿俊闵发角球到禁区内！佩莱头球顶门，打在了吴兴涵身上挡出来！！！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
55'有点可惜！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
56'吴兴涵当起了后卫角色！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
56'天津泰达队右路长传球，直接出边线                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
56'界外球发出来！佩莱横传禁区！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
56'张驰右路接球横传，谭望嵩头球顶出底线                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
57'蒿俊闵发角球到禁区内，对方抢点顶出来！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
57'戴琳倒勾传球到门前，杨启鹏没收                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
58'格德斯左路带球突破！被破坏出边线                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
58'郑铮去发界外球                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
58'球发出来！格德斯分边！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
58'天津泰达队后场得球，直传给巴斯蒂安斯！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
58'巴斯蒂安斯左路下底横传，没能传过去！                   55'第55分钟，佩莱强力头球攻门，打在吴兴涵身上弹出
71'鲁能泰山队左路进攻！谭望嵩抢球犯规                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
71'崔鹏发任意球到禁区内，巴斯蒂安斯钯球顶出来                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
71'蒿俊闵右路斜传球到禁区内！杨启鹏出击没收                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
71'崔鹏后场得球，转身快速反击！                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
72'谭望嵩拉人犯规！吃到节黄牌！                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
72'鲁能泰山队进球啦！格德斯！2-0                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
73'格德斯显得非常兴奋！                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
73'任意球发出来，鲁能泰山队长传球，佩莱头球过渡，格德斯抢点打门球进！！！                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
73'佩莱连续喂球啊！终于让格德斯有机会进球啦！！                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
74'米克尔左路横向带球到禁区内，戴琳破坏出底线                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
74'天津泰达队得到角球机会                   71'第71分钟，谭望嵩拉人犯规被黄牌警告
79'金敬道传球到禁区内！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
79'金敬道塞球过人，队友回传球，金敬道抢点打门！偏出！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
79'太可惜啦！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
80'戴琳受伤倒在禁区内！！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
80'天津泰达队还是友好地将球踢出界外                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
81'戴琳站了起来！问题不大！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
81'前场天津泰达队直传球，吉尔断球                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
81'鲁能泰山队左路反击！被断                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
81'买提江前场得球直传，没能过去                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
82'崔鹏得球反击！被放倒！                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
82'任意球发出来！鲁能泰山队右路长传球，巴斯蒂安斯头球解围                   79'第79分钟，山东鲁能打出默契配合，金敬道单刀球被门将阻挡，佩莱推射空门，球打在后卫身上出了底线
86'王彤右路横传禁区！佩莱抢点顶门，对方率先破坏出底线                   86'第86分钟，崔鹏受伤，被周海滨换下
86'鲁能泰山队得到角球机会                   86'第86分钟，崔鹏受伤，被周海滨换下
86'崔鹏受伤倒在地上                   86'第86分钟，崔鹏受伤，被周海滨换下
86'鲁能泰山队要把崔鹏换下！                   86'第86分钟，崔鹏受伤，被周海滨换下
86'周海滨上场！                   86'第86分钟，崔鹏受伤，被周海滨换下
87'看不懂！崔鹏是下半场才上场的！                   86'第86分钟，崔鹏受伤，被周海滨换下
87'格德斯发战术角球！                   86'第86分钟，崔鹏受伤，被周海滨换下
87'金敬道左路传球，格德斯接球，被破坏出底线                   86'第86分钟，崔鹏受伤，被周海滨换下
87'继续角球！                   86'第86分钟，崔鹏受伤，被周海滨换下
87'角球发到禁区内，对方破坏                   86'第86分钟，崔鹏受伤，被周海滨换下
88'蒿俊闵外围远射！打高啦！                   86'第86分钟，崔鹏受伤，被周海滨换下
88'佩莱前场拿球，回传给格德斯！                   86'第86分钟，崔鹏受伤，被周海滨换下
88'格德斯直传球！张驰越位啦！                   86'第86分钟，崔鹏受伤，被周海滨换下
89'米克尔中场得球，格德斯上去铲抢                   86'第86分钟，崔鹏受伤，被周海滨换下
89'周海滨抢球犯规啦！侵犯了谭望嵩1                   86'第86分钟，崔鹏受伤，被周海滨换下
89'中场任意球发出来！天津泰达队左路组织进攻                   86'第86分钟，崔鹏受伤，被周海滨换下
89'巴斯蒂安斯接球，真卖主示！                   86'第86分钟，崔鹏受伤，被周海滨换下
89'张驰右路把球抢断下来                   86'第86分钟，崔鹏受伤，被周海滨换下
89'佩莱中场接球，横传转移交给郑铮！                   86'第86分钟，崔鹏受伤，被周海滨换下
