1'巴塞罗那球员马蒂厄拼抢犯规,对手获得控球权.                   1'巴萨第1分钟就控制比赛向主队施压，马拉加收缩防线应对
65'略伦特为马拉加赢得一个任意球.                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
65'巴塞罗那球员内马尔拼抢犯规,对手获得控球权.                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
65'巴塞罗那球员内马尔因为恶意犯规,被裁判出示了第二张黄牌.                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
67'马拉加换人,佩尼亚兰达换下卷皮                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
67'马拉加球员I-卡马乔一脚直塞球给拉米雷斯,但是边裁举旗显示后者已经越位.                   64'巴萨第64分钟再次错过机会，苏亚雷斯禁区右侧引出卡梅尼后传中，内马尔12码处头球攻门高出
71'略伦特为马拉加赢得一个任意球.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
71'巴塞罗那球员苏亚雷斯拼抢犯规,对手获得控球权.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
71'马拉加球员拉米雷斯一脚直塞球给佩尼亚兰达,但是边裁举旗显示后者已经越位.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
72'马拉加球员Juankar拼抢犯规,对手获得控球权.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
72'梅西为巴塞罗那在右路,赢得一个任意球.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
72'弗纳尔斯为马拉加在对方半场,赢得一个任意球.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
72'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
73'马拉加球员拉米雷斯大禁区外右脚射门,被防守球员封堵.                   71'第71分钟，桑德罗直传，佩尼亚兰达禁区左侧小角度射空门入网，但边裁误判越位
88'射门!!!巴塞罗那球员塞尔吉-罗伯托大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马斯切拉诺.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
89'马拉加球员佩尼亚兰达拼抢犯规,对手获得控球权.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
89'布斯克茨为巴塞罗那赢得一个任意球.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'进球啦！！！马拉加球员乔尼大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是弗纳尔斯. 马拉加 2-0 巴塞罗那.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+2'马拉加球员里卡拼抢犯规,对手获得控球权.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+2'苏亚雷斯为巴塞罗那在对方半场,赢得一个任意球.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+3'Charles Dias为马拉加在左路,赢得一个任意球.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+3'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+4'马拉加球员I-卡马乔拼抢犯规,对手获得控球权.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+4'梅西为巴塞罗那在对方半场,赢得一个任意球.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+5'巴塞罗那球员梅西大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
90'+5'下半场结束,马拉加 2-0 巴塞罗那                   88'巴萨第88分钟再次错过机会，马斯切拉诺右路直传，塞尔吉-罗伯托前点12码处第一时间射门被卡梅尼挡出
