3'皮克后场拿球，面对科雷亚的逼抢                   3'3分钟后，阿尔巴传球，伊涅斯塔禁区左侧的射门正入奥布拉克下怀
42'横传中路给到跟进的梅西                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
42'梅西停球变向，摆脱科凯                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
42'再往禁区突，遭遇夹击，摔倒在地                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
42'裁判没理会，球被马竞球员破坏                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
43'来自戈丁和回防的加比的夹击！！                   40'第40分钟，伊涅斯塔传球，苏亚雷斯小禁区左上角外的转身射门被萨维奇做出关键封堵
57'外加脚上上抢，踢翻了梅西，犯规                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
57'巴萨获得大禁区弧正前方的任意球机会                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
57'梅西的任意球直接轰门                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
58'击中右侧立柱外侧弹出底线！！                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
58'巴萨距离扳平比分，就差了一个立柱的距离啊！！！                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
58'马竞换人：22号盖坦上，换下11号科雷亚                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
60'塞梅多前场右路拿球，分球拉基蒂奇                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
60'拉基蒂奇横传苏亚雷斯                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
60'苏亚雷斯背身拿球，没机会，回传中路给到布斯克茨                   57'第57分钟，梅西禁区弧顶外任意球直接射门，皮球划出弧线绕过人墙，但最后击中右侧立柱外侧弹出
71'巴萨中场抢断，梅西拿球反击                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
71'梅西中路强突，斜塞给到插上的拉基蒂奇                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
71'拉基蒂奇停球遭遇夹击，费利佩出脚将球捅走                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
72'球到了禁区弧附近梅西的脚下                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
72'梅西停球一趟，起脚打门                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
72'在戈丁倒地干扰下，打偏了！！                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
73'皮克中场抢断，自己带至前场                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
73'皮克横传球给到接应的戈麦斯                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
73'戈麦斯停球调整一下，大禁区左上角起脚打门，踢飞了                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
73'马竞再次换人：5号帕蒂上，换下了10号卡拉斯科                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
74'帕蒂中线附近拿球，面对逼抢，回传胡安弗兰                   71'第71分钟，拉基蒂奇突破受阻，跟进的梅西禁区边缘内劲射，皮球再次击中左侧立柱外侧弹出
82'巴萨扳平比分！！                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
82'苏亚雷斯的进球！！！                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
82'罗贝托右路拿球，内切到大禁区角上，斜传到后点，苏亚雷斯插上甩头轰门，顶出反弹，打进近角！！                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
83'德罗费乌右路拿球，强突下底                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
83'底线内切，最后一下趟大了，球先出底线！！                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
84'梅西前场中路拿球，强突遭遇多人围抢                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
84'禁区右上角，再挑传想给苏亚雷斯                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
85'可惜梅西的假动作太逼真，连苏亚雷斯都忽悠了                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
85'苏亚雷斯并未启动前插接应，目送球直接出底线                   82'巴萨第82分钟扳平，塞尔吉-罗伯托右路传中，苏亚雷斯小禁区左侧近距离头球破门，1-1
93'梅西前场抢断，分球保利尼奥                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
93'保利尼奥再回传梅西，梅西被放倒在地                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
93'大禁区弧内的位置                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
93'格里兹曼的犯规，被出示了黄牌警告！1                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
94'这球差一点点就到禁区了啊                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
94'梅西的左脚任意球直接轰门                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
94'穿过人墙，直接钻进了奥布拉克的怀中                   93'第93分钟，格列兹曼禁区前传球失误后在禁区弧内铲倒梅西，但梅西任意球直接射门打穿人墙后正入奥布拉克下怀
